,precision,recall,f1-score,support
adenocarcinoma,1.0,0.9298245614035088,0.9636363636363636,171.0
adhesion,1.0,0.9464285714285714,0.9724770642201835,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,0.9407407407407408,0.9694656488549618,0.9548872180451128,131.0
asthma,0.8736842105263158,1.0,0.9325842696629213,83.0
benign prostatic hypertrophy,0.9512195121951219,0.9873417721518988,0.968944099378882,79.0
biliary calculus,0.9447852760736196,0.7938144329896907,0.8627450980392157,194.0
carcinoma breast,1.0,0.9529411764705882,0.9759036144578314,170.0
chronic obstructive airway disease,0.9071428571428571,0.9136690647482014,0.910394265232975,139.0
cirrhosis,0.9763313609467456,0.9269662921348315,0.9510086455331412,178.0
colitis,1.0,0.8426966292134831,0.9146341463414634,178.0
coronary arteriosclerosis,0.6196078431372549,0.9753086419753086,0.7577937649880095,162.0
deep vein thrombosis,1.0,0.9404761904761905,0.9693251533742331,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.8613861386138614,0.9775280898876404,0.9157894736842105,178.0
dependence,0.9542857142857143,1.0,0.9766081871345029,167.0
effusion pericardial,0.9593023255813954,0.9763313609467456,0.967741935483871,169.0
epilepsy,1.0,0.9302325581395349,0.963855421686747,172.0
failure heart,0.9263803680981595,0.9263803680981595,0.9263803680981595,163.0
fibroid tumor,1.0,0.9938650306748467,0.9969230769230769,163.0
gastritis,0.9529411764705882,0.9473684210526315,0.9501466275659824,171.0
gastroenteritis,1.0,0.9024390243902439,0.9487179487179487,164.0
glaucoma,0.9694656488549618,0.9694656488549618,0.9694656488549618,131.0
gout,0.9432624113475178,0.9708029197080292,0.9568345323741008,137.0
hepatitis,0.9488636363636364,0.912568306010929,0.9303621169916435,183.0
hepatitis B,1.0,0.9866666666666667,0.9932885906040269,75.0
hepatitis C,1.0,0.9933774834437086,0.9966777408637874,151.0
hyperbilirubinemia,1.0,0.9333333333333333,0.9655172413793104,75.0
hyperglycemia,1.0,0.9248554913294798,0.960960960960961,173.0
hyperlipidemia,0.8104265402843602,0.7953488372093023,0.8028169014084507,215.0
hypertension pulmonary,1.0,0.9733333333333334,0.9864864864864865,75.0
hypertensive disease,0.88268156424581,0.7523809523809524,0.8123393316195373,210.0
hypoglycemia,1.0,0.9868421052631579,0.9933774834437086,152.0
infection,0.91005291005291,0.9772727272727273,0.9424657534246575,176.0
infection urinary tract,1.0,0.9760479041916168,0.9878787878787879,167.0
kidney failure acute,1.0,0.9136690647482014,0.9548872180451128,139.0
malignant neoplasms ,0.8797814207650273,1.0,0.936046511627907,161.0
manic disorder,0.9542857142857143,0.9766081871345029,0.9653179190751445,171.0
melanoma,0.8275862068965517,0.9,0.8622754491017964,80.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,1.0,0.9090909090909091,0.9523809523809523,176.0
obesity,1.0,0.975609756097561,0.9876543209876543,164.0
obesity morbid,1.0,0.9302325581395349,0.963855421686747,172.0
osteomyelitis,1.0,0.9011627906976745,0.9480122324159022,172.0
overload fluid,0.9759036144578314,0.9473684210526315,0.9614243323442137,171.0
pancreatitis,0.5581395348837209,0.96,0.7058823529411765,100.0
paroxysmal dyspnea,0.9464285714285714,0.8112244897959183,0.8736263736263736,196.0
peripheral vascular disease,0.9746835443037974,0.9746835443037974,0.9746835443037974,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.6622222222222223,0.9490445859872612,0.7801047120418848,157.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,0.9447852760736196,0.9506172839506173,0.9476923076923077,162.0
tachycardia sinus,0.99375,0.9298245614035088,0.9607250755287009,171.0
thrombocytopaenia,1.0,0.9864864864864865,0.9931972789115646,74.0
thrombus,0.9743589743589743,0.95,0.9620253164556962,160.0
tricuspid valve insufficiency,0.9044117647058824,0.9389312977099237,0.9213483146067416,131.0
ulcer peptic,1.0,0.9937888198757764,0.9968847352024922,161.0
accuracy,0.9378250056522722,0.9378250056522722,0.9378250056522722,0.9378250056522722
macro avg,0.9479474081244658,0.9431510561405616,0.9424426961281274,8846.0
weighted avg,0.9483849434758193,0.9378250056522722,0.9401303271586633,8846.0
