,precision,recall,f1-score,support
adenocarcinoma,0.9329608938547486,0.9766081871345029,0.9542857142857143,171.0
adhesion,1.0,0.9523809523809523,0.975609756097561,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,0.916083916083916,1.0,0.9562043795620438,131.0
asthma,0.9493670886075949,0.9036144578313253,0.9259259259259259,83.0
benign prostatic hypertrophy,0.9866666666666667,0.9367088607594937,0.961038961038961,79.0
biliary calculus,0.9101123595505618,0.8350515463917526,0.8709677419354839,194.0
carcinoma breast,0.9497206703910615,1.0,0.9742120343839542,170.0
chronic obstructive airway disease,0.8709677419354839,0.9712230215827338,0.9183673469387755,139.0
cirrhosis,0.9764705882352941,0.9325842696629213,0.9540229885057471,178.0
colitis,0.9746835443037974,0.8651685393258427,0.9166666666666666,178.0
coronary arteriosclerosis,0.6952380952380952,0.9012345679012346,0.7849462365591398,162.0
deep vein thrombosis,1.0,0.9404761904761905,0.9693251533742331,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.8762886597938144,0.9550561797752809,0.9139784946236559,178.0
dependence,0.9760479041916168,0.9760479041916168,0.9760479041916168,167.0
effusion pericardial,0.9388888888888889,1.0,0.9684813753581661,169.0
epilepsy,0.9761904761904762,0.9534883720930233,0.9647058823529412,172.0
failure heart,0.8534031413612565,1.0,0.9209039548022598,163.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,0.9298245614035088,0.9636363636363636,171.0
gastroenteritis,0.9743589743589743,0.926829268292683,0.95,164.0
glaucoma,1.0,0.9312977099236641,0.9644268774703557,131.0
gout,0.9432624113475178,0.9708029197080292,0.9568345323741008,137.0
hepatitis,0.912568306010929,0.912568306010929,0.912568306010929,183.0
hepatitis B,1.0,1.0,1.0,75.0
hepatitis C,1.0,0.9933774834437086,0.9966777408637874,151.0
hyperbilirubinemia,1.0,0.9866666666666667,0.9932885906040269,75.0
hyperglycemia,1.0,0.930635838150289,0.9640718562874252,173.0
hyperlipidemia,0.7543103448275862,0.813953488372093,0.7829977628635347,215.0
hypertension pulmonary,1.0,0.9866666666666667,0.9932885906040269,75.0
hypertensive disease,0.9080459770114943,0.7523809523809524,0.8229166666666666,210.0
hypoglycemia,1.0,0.993421052631579,0.9966996699669967,152.0
infection,0.9281767955801105,0.9545454545454546,0.9411764705882353,176.0
infection urinary tract,0.9766081871345029,1.0,0.9881656804733728,167.0
kidney failure acute,1.0,0.9136690647482014,0.9548872180451128,139.0
malignant neoplasms ,0.9161676646706587,0.9503105590062112,0.9329268292682927,161.0
manic disorder,0.9542857142857143,0.9766081871345029,0.9653179190751445,171.0
melanoma,1.0,0.8875,0.9403973509933775,80.0
neoplasm metastasis,0.991869918699187,0.9838709677419355,0.9878542510121457,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,0.9761904761904762,0.9318181818181818,0.9534883720930233,176.0
obesity,0.9761904761904762,1.0,0.9879518072289156,164.0
obesity morbid,1.0,0.9302325581395349,0.963855421686747,172.0
osteomyelitis,0.975609756097561,0.9302325581395349,0.9523809523809523,172.0
overload fluid,1.0,0.9239766081871345,0.9604863221884499,171.0
pancreatitis,0.6,0.96,0.7384615384615385,100.0
paroxysmal dyspnea,0.96875,0.7908163265306123,0.8707865168539326,196.0
peripheral vascular disease,0.9746835443037974,0.9746835443037974,0.9746835443037974,158.0
pneumothorax,0.9866666666666667,0.9024390243902439,0.9426751592356688,82.0
pyelonephritis,0.6682926829268293,0.8726114649681529,0.7569060773480663,157.0
schizophrenia,0.9763313609467456,0.9763313609467456,0.9763313609467456,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,1.0,0.9012345679012346,0.948051948051948,162.0
tachycardia sinus,0.99375,0.9298245614035088,0.9607250755287009,171.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,1.0,0.925,0.961038961038961,160.0
tricuspid valve insufficiency,0.9111111111111111,0.9389312977099237,0.924812030075188,131.0
ulcer peptic,0.9757575757575757,1.0,0.9877300613496932,161.0
accuracy,0.9397467782048383,0.9397467782048383,0.9397467782048383,0.9397467782048383
macro avg,0.9495945521934099,0.9441682635344146,0.944660496323601,8846.0
weighted avg,0.9469564766286951,0.9397467782048383,0.941232484969872,8846.0
