,precision,recall,f1-score,support
adenocarcinoma,0.9421965317919075,0.9532163742690059,0.9476744186046512,171.0
adhesion,1.0,0.9523809523809523,0.975609756097561,168.0
affect labile,0.9868421052631579,0.9493670886075949,0.967741935483871,79.0
arthritis,0.9407407407407408,0.9694656488549618,0.9548872180451128,131.0
asthma,0.9493670886075949,0.9036144578313253,0.9259259259259259,83.0
benign prostatic hypertrophy,0.9866666666666667,0.9367088607594937,0.961038961038961,79.0
biliary calculus,0.9506172839506173,0.7938144329896907,0.8651685393258427,194.0
carcinoma breast,0.9764705882352941,0.9764705882352941,0.9764705882352941,170.0
chronic obstructive airway disease,0.8653846153846154,0.9712230215827338,0.9152542372881356,139.0
cirrhosis,0.9764705882352941,0.9325842696629213,0.9540229885057471,178.0
colitis,1.0,0.8426966292134831,0.9146341463414634,178.0
coronary arteriosclerosis,0.632,0.9753086419753086,0.7669902912621359,162.0
deep vein thrombosis,0.99375,0.9464285714285714,0.9695121951219512,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.8613861386138614,0.9775280898876404,0.9157894736842105,178.0
dependence,0.9542857142857143,1.0,0.9766081871345029,167.0
effusion pericardial,0.9649122807017544,0.9763313609467456,0.9705882352941176,169.0
epilepsy,1.0,0.9302325581395349,0.963855421686747,172.0
failure heart,0.9064327485380117,0.950920245398773,0.9281437125748503,163.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,0.9298245614035088,0.9636363636363636,171.0
gastroenteritis,1.0,0.9024390243902439,0.9487179487179487,164.0
glaucoma,0.9694656488549618,0.9694656488549618,0.9694656488549618,131.0
gout,0.9432624113475178,0.9708029197080292,0.9568345323741008,137.0
hepatitis,0.9760479041916168,0.8907103825136612,0.9314285714285714,183.0
hepatitis B,1.0,1.0,1.0,75.0
hepatitis C,1.0,0.9933774834437086,0.9966777408637874,151.0
hyperbilirubinemia,1.0,0.9866666666666667,0.9932885906040269,75.0
hyperglycemia,0.9763313609467456,0.953757225433526,0.9649122807017544,173.0
hyperlipidemia,0.8457446808510638,0.7395348837209302,0.7890818858560794,215.0
hypertension pulmonary,1.0,1.0,1.0,75.0
hypertensive disease,0.8736842105263158,0.7904761904761904,0.83,210.0
hypoglycemia,1.0,0.993421052631579,0.9966996699669967,152.0
infection,0.8688524590163934,0.9034090909090909,0.8857938718662952,176.0
infection urinary tract,0.9766081871345029,1.0,0.9881656804733728,167.0
kidney failure acute,1.0,0.9136690647482014,0.9548872180451128,139.0
malignant neoplasms ,0.8895027624309392,1.0,0.9415204678362573,161.0
manic disorder,0.9542857142857143,0.9766081871345029,0.9653179190751445,171.0
melanoma,1.0,0.9,0.9473684210526315,80.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,0.9545454545454546,0.9545454545454546,0.9545454545454546,176.0
obesity,0.9761904761904762,1.0,0.9879518072289156,164.0
obesity morbid,1.0,0.9302325581395349,0.963855421686747,172.0
osteomyelitis,0.9281767955801105,0.9767441860465116,0.9518413597733711,172.0
overload fluid,0.9540229885057471,0.9707602339181286,0.9623188405797102,171.0
pancreatitis,0.696969696969697,0.92,0.7931034482758621,100.0
paroxysmal dyspnea,1.0,0.7704081632653061,0.8703170028818443,196.0
peripheral vascular disease,0.9746835443037974,0.9746835443037974,0.9746835443037974,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.6286919831223629,0.9490445859872612,0.7563451776649747,157.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,0.974025974025974,0.9259259259259259,0.9493670886075949,162.0
tachycardia sinus,1.0,0.9298245614035088,0.9636363636363636,171.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,0.9743589743589743,0.95,0.9620253164556962,160.0
tricuspid valve insufficiency,0.9111111111111111,0.9389312977099237,0.924812030075188,131.0
ulcer peptic,0.9757575757575757,1.0,0.9877300613496932,161.0
accuracy,0.9400859145376441,0.9400859145376441,0.9400859145376441,0.9400859145376441
macro avg,0.9510142882215641,0.9450234509935623,0.9454126503412175,8846.0
weighted avg,0.9484860996835609,0.9400859145376441,0.9415251162174868,8846.0
