,precision,recall,f1-score,support
adenocarcinoma,1.0,0.9298245614035088,0.9636363636363636,171.0
adhesion,1.0,0.9523809523809523,0.975609756097561,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,0.9407407407407408,0.9694656488549618,0.9548872180451128,131.0
asthma,0.8736842105263158,1.0,0.9325842696629213,83.0
benign prostatic hypertrophy,1.0,0.9367088607594937,0.9673202614379085,79.0
biliary calculus,0.8691099476439791,0.8556701030927835,0.8623376623376623,194.0
carcinoma breast,1.0,0.9529411764705882,0.9759036144578314,170.0
chronic obstructive airway disease,0.8758620689655172,0.9136690647482014,0.8943661971830986,139.0
cirrhosis,0.9764705882352941,0.9325842696629213,0.9540229885057471,178.0
colitis,0.9867549668874173,0.8370786516853933,0.9057750759878419,178.0
coronary arteriosclerosis,0.6497695852534562,0.8703703703703703,0.7440633245382586,162.0
deep vein thrombosis,0.9875,0.9404761904761905,0.9634146341463414,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.9139784946236559,0.9550561797752809,0.9340659340659341,178.0
dependence,0.9542857142857143,1.0,0.9766081871345029,167.0
effusion pericardial,0.9388888888888889,1.0,0.9684813753581661,169.0
epilepsy,1.0,0.9302325581395349,0.963855421686747,172.0
failure heart,0.9096385542168675,0.9263803680981595,0.9179331306990881,163.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,0.9298245614035088,0.9636363636363636,171.0
gastroenteritis,0.95,0.926829268292683,0.9382716049382716,164.0
glaucoma,0.9694656488549618,0.9694656488549618,0.9694656488549618,131.0
gout,0.9366197183098591,0.9708029197080292,0.953405017921147,137.0
hepatitis,0.9760479041916168,0.8907103825136612,0.9314285714285714,183.0
hepatitis B,1.0,0.9733333333333334,0.9864864864864865,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,0.9866666666666667,0.9932885906040269,75.0
hyperglycemia,1.0,0.9190751445086706,0.9578313253012049,173.0
hyperlipidemia,0.7721518987341772,0.8511627906976744,0.8097345132743363,215.0
hypertension pulmonary,1.0,0.9733333333333334,0.9864864864864865,75.0
hypertensive disease,0.9080459770114943,0.7523809523809524,0.8229166666666666,210.0
hypoglycemia,1.0,0.9868421052631579,0.9933774834437086,152.0
infection,0.9302325581395349,0.9090909090909091,0.9195402298850575,176.0
infection urinary tract,0.9766081871345029,1.0,0.9881656804733728,167.0
kidney failure acute,1.0,0.9136690647482014,0.9548872180451128,139.0
malignant neoplasms ,0.9329268292682927,0.9503105590062112,0.9415384615384615,161.0
manic disorder,0.9542857142857143,0.9766081871345029,0.9653179190751445,171.0
melanoma,0.96,0.9,0.9290322580645162,80.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,0.9760479041916168,0.9261363636363636,0.9504373177842566,176.0
obesity,1.0,0.975609756097561,0.9876543209876543,164.0
obesity morbid,1.0,0.9244186046511628,0.9607250755287009,172.0
osteomyelitis,0.9333333333333333,0.9767441860465116,0.9545454545454546,172.0
overload fluid,1.0,0.9239766081871345,0.9604863221884499,171.0
pancreatitis,0.696969696969697,0.92,0.7931034482758621,100.0
paroxysmal dyspnea,0.9310344827586207,0.826530612244898,0.8756756756756757,196.0
peripheral vascular disease,0.9080459770114943,1.0,0.9518072289156626,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.6592920353982301,0.9490445859872612,0.7780678851174935,157.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,0.9506172839506173,0.9506172839506173,0.9506172839506173,162.0
tachycardia sinus,0.99375,0.9298245614035088,0.9607250755287009,171.0
thrombocytopaenia,1.0,0.972972972972973,0.9863013698630136,74.0
thrombus,1.0,0.925,0.961038961038961,160.0
tricuspid valve insufficiency,0.7257142857142858,0.9694656488549618,0.8300653594771242,131.0
ulcer peptic,1.0,0.9937888198757764,0.9968847352024922,161.0
accuracy,0.9380510965408094,0.9380510965408094,0.9380510965408094,0.9380510965408094
macro avg,0.947760562636032,0.9425300135346969,0.9429650481232745,8846.0
weighted avg,0.9459225618368231,0.9380510965408094,0.9398199401430087,8846.0
