,precision,recall,f1-score,support
adenocarcinoma,1.0,0.9298245614035088,0.9636363636363636,171.0
adhesion,1.0,0.9523809523809523,0.975609756097561,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,1.0,0.9389312977099237,0.968503937007874,131.0
asthma,0.9493670886075949,0.9036144578313253,0.9259259259259259,83.0
benign prostatic hypertrophy,0.9506172839506173,0.9746835443037974,0.9625,79.0
biliary calculus,0.8852459016393442,0.8350515463917526,0.8594164456233422,194.0
carcinoma breast,0.9764705882352941,0.9764705882352941,0.9764705882352941,170.0
chronic obstructive airway disease,0.8709677419354839,0.9712230215827338,0.9183673469387755,139.0
cirrhosis,0.9764705882352941,0.9325842696629213,0.9540229885057471,178.0
colitis,1.0,0.8426966292134831,0.9146341463414634,178.0
coronary arteriosclerosis,0.6682027649769585,0.8950617283950617,0.7651715039577837,162.0
deep vein thrombosis,1.0,0.9404761904761905,0.9693251533742331,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.8613861386138614,0.9775280898876404,0.9157894736842105,178.0
dependence,0.9542857142857143,1.0,0.9766081871345029,167.0
effusion pericardial,0.9337016574585635,1.0,0.9657142857142857,169.0
epilepsy,1.0,0.9302325581395349,0.963855421686747,172.0
failure heart,0.9281437125748503,0.950920245398773,0.9393939393939394,163.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,0.9298245614035088,0.9636363636363636,171.0
gastroenteritis,1.0,0.9024390243902439,0.9487179487179487,164.0
glaucoma,0.9694656488549618,0.9694656488549618,0.9694656488549618,131.0
gout,0.9432624113475178,0.9708029197080292,0.9568345323741008,137.0
hepatitis,0.9760479041916168,0.8907103825136612,0.9314285714285714,183.0
hepatitis B,1.0,0.9866666666666667,0.9932885906040269,75.0
hepatitis C,1.0,0.9933774834437086,0.9966777408637874,151.0
hyperbilirubinemia,1.0,0.96,0.9795918367346939,75.0
hyperglycemia,1.0,0.9190751445086706,0.9578313253012049,173.0
hyperlipidemia,0.7100371747211895,0.8883720930232558,0.7892561983471075,215.0
hypertension pulmonary,1.0,0.9866666666666667,0.9932885906040269,75.0
hypertensive disease,0.8603351955307262,0.7333333333333333,0.7917737789203085,210.0
hypoglycemia,1.0,0.9868421052631579,0.9933774834437086,152.0
infection,0.9754601226993865,0.9034090909090909,0.9380530973451328,176.0
infection urinary tract,1.0,0.9760479041916168,0.9878787878787879,167.0
kidney failure acute,0.9703703703703703,0.9424460431654677,0.9562043795620438,139.0
malignant neoplasms ,0.9386503067484663,0.9503105590062112,0.9444444444444444,161.0
manic disorder,0.9760479041916168,0.9532163742690059,0.9644970414201184,171.0
melanoma,0.96,0.9,0.9290322580645162,80.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,0.9761904761904762,0.9318181818181818,0.9534883720930233,176.0
obesity,1.0,0.975609756097561,0.9876543209876543,164.0
obesity morbid,1.0,0.9534883720930233,0.9761904761904762,172.0
osteomyelitis,0.9281767955801105,0.9767441860465116,0.9518413597733711,172.0
overload fluid,0.9759036144578314,0.9473684210526315,0.9614243323442137,171.0
pancreatitis,0.5135135135135135,0.95,0.6666666666666666,100.0
paroxysmal dyspnea,0.9933774834437086,0.7653061224489796,0.8645533141210374,196.0
peripheral vascular disease,1.0,0.9493670886075949,0.974025974025974,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.6563876651982379,0.9490445859872612,0.7760416666666666,157.0
schizophrenia,0.9763313609467456,0.9763313609467456,0.9763313609467456,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,0.9447852760736196,0.9506172839506173,0.9476923076923077,162.0
tachycardia sinus,0.99375,0.9298245614035088,0.9607250755287009,171.0
thrombocytopaenia,1.0,0.9864864864864865,0.9931972789115646,74.0
thrombus,1.0,0.925,0.961038961038961,160.0
tricuspid valve insufficiency,0.9111111111111111,0.9389312977099237,0.924812030075188,131.0
ulcer peptic,1.0,0.9875776397515528,0.99375,161.0
accuracy,0.9379380510965408,0.9379380510965408,0.9379380510965408,0.9379380510965408
macro avg,0.9509163307743184,0.9423344799427258,0.9435767184270674,8846.0
weighted avg,0.9492289901375159,0.9379380510965408,0.9406380537946304,8846.0
