,precision,recall,f1-score,support
adenocarcinoma,0.9329608938547486,0.9766081871345029,0.9542857142857143,171.0
adhesion,1.0,0.9523809523809523,0.975609756097561,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,1.0,0.9389312977099237,0.968503937007874,131.0
asthma,1.0,0.8554216867469879,0.922077922077922,83.0
benign prostatic hypertrophy,1.0,0.9240506329113924,0.9605263157894737,79.0
biliary calculus,0.9506172839506173,0.7938144329896907,0.8651685393258427,194.0
carcinoma breast,0.9497206703910615,1.0,0.9742120343839542,170.0
chronic obstructive airway disease,0.8475609756097561,1.0,0.9174917491749175,139.0
cirrhosis,0.9764705882352941,0.9325842696629213,0.9540229885057471,178.0
colitis,1.0,0.8426966292134831,0.9146341463414634,178.0
coronary arteriosclerosis,0.6952380952380952,0.9012345679012346,0.7849462365591398,162.0
deep vein thrombosis,1.0,0.9404761904761905,0.9693251533742331,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.8947368421052632,0.9550561797752809,0.9239130434782609,178.0
dependence,0.9760479041916168,0.9760479041916168,0.9760479041916168,167.0
effusion pericardial,0.9333333333333333,0.9940828402366864,0.9627507163323782,169.0
epilepsy,0.9281767955801105,0.9767441860465116,0.9518413597733711,172.0
failure heart,0.8850574712643678,0.9447852760736196,0.913946587537092,163.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,0.9298245614035088,0.9636363636363636,171.0
gastroenteritis,0.9743589743589743,0.926829268292683,0.95,164.0
glaucoma,0.9407407407407408,0.9694656488549618,0.9548872180451128,131.0
gout,0.9432624113475178,0.9708029197080292,0.9568345323741008,137.0
hepatitis,0.9760479041916168,0.8907103825136612,0.9314285714285714,183.0
hepatitis B,1.0,1.0,1.0,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,0.9866666666666667,0.9932885906040269,75.0
hyperglycemia,1.0,0.9190751445086706,0.9578313253012049,173.0
hyperlipidemia,0.8564102564102564,0.7767441860465116,0.8146341463414634,215.0
hypertension pulmonary,1.0,1.0,1.0,75.0
hypertensive disease,0.8019323671497585,0.7904761904761904,0.7961630695443646,210.0
hypoglycemia,1.0,0.993421052631579,0.9966996699669967,152.0
infection,0.9532163742690059,0.9261363636363636,0.9394812680115274,176.0
infection urinary tract,0.9709302325581395,1.0,0.9852507374631269,167.0
kidney failure acute,0.9703703703703703,0.9424460431654677,0.9562043795620438,139.0
malignant neoplasms ,0.8971428571428571,0.9751552795031055,0.9345238095238095,161.0
manic disorder,0.9542857142857143,0.9766081871345029,0.9653179190751445,171.0
melanoma,1.0,0.9,0.9473684210526315,80.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,0.9545454545454546,0.9545454545454546,0.9545454545454546,176.0
obesity,0.9761904761904762,1.0,0.9879518072289156,164.0
obesity morbid,1.0,0.9302325581395349,0.963855421686747,172.0
osteomyelitis,0.9696969696969697,0.9302325581395349,0.9495548961424333,172.0
overload fluid,0.9485714285714286,0.9707602339181286,0.9595375722543352,171.0
pancreatitis,0.5609756097560976,0.92,0.696969696969697,100.0
paroxysmal dyspnea,0.9244186046511628,0.8112244897959183,0.8641304347826086,196.0
peripheral vascular disease,1.0,0.9493670886075949,0.974025974025974,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.6592920353982301,0.9490445859872612,0.7780678851174935,157.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,0.974025974025974,0.9259259259259259,0.9493670886075949,162.0
tachycardia sinus,1.0,0.9298245614035088,0.9636363636363636,171.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,1.0,0.925,0.961038961038961,160.0
tricuspid valve insufficiency,0.9111111111111111,0.9389312977099237,0.924812030075188,131.0
ulcer peptic,0.9757575757575757,1.0,0.9877300613496932,161.0
accuracy,0.9395206873163011,0.9395206873163011,0.9395206873163011,0.9395206873163011
macro avg,0.950223801631927,0.9436705405754112,0.9444949857240104,8846.0
weighted avg,0.9473794458517599,0.9395206873163011,0.9411792631967085,8846.0
