,precision,recall,f1-score,support
adenocarcinoma,0.9421965317919075,0.9532163742690059,0.9476744186046512,171.0
adhesion,1.0,0.9523809523809523,0.975609756097561,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,0.9694656488549618,0.9694656488549618,0.9694656488549618,131.0
asthma,1.0,0.8554216867469879,0.922077922077922,83.0
benign prostatic hypertrophy,1.0,0.9367088607594937,0.9673202614379085,79.0
biliary calculus,0.9506172839506173,0.7938144329896907,0.8651685393258427,194.0
carcinoma breast,0.9707602339181286,0.9764705882352941,0.9736070381231672,170.0
chronic obstructive airway disease,0.852760736196319,1.0,0.9205298013245033,139.0
cirrhosis,0.9764705882352941,0.9325842696629213,0.9540229885057471,178.0
colitis,0.927710843373494,0.8651685393258427,0.8953488372093024,178.0
coronary arteriosclerosis,0.632,0.9753086419753086,0.7669902912621359,162.0
deep vein thrombosis,1.0,0.9404761904761905,0.9693251533742331,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.9540229885057471,0.9325842696629213,0.9431818181818182,178.0
dependence,0.9542857142857143,1.0,0.9766081871345029,167.0
effusion pericardial,0.9593023255813954,0.9763313609467456,0.967741935483871,169.0
epilepsy,0.8888888888888888,0.9767441860465116,0.9307479224376731,172.0
failure heart,0.9064327485380117,0.950920245398773,0.9281437125748503,163.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,0.9298245614035088,0.9636363636363636,171.0
gastroenteritis,1.0,0.9024390243902439,0.9487179487179487,164.0
glaucoma,0.916083916083916,1.0,0.9562043795620438,131.0
gout,0.9432624113475178,0.9708029197080292,0.9568345323741008,137.0
hepatitis,0.9760479041916168,0.8907103825136612,0.9314285714285714,183.0
hepatitis B,1.0,1.0,1.0,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,0.9866666666666667,0.9932885906040269,75.0
hyperglycemia,1.0,0.9190751445086706,0.9578313253012049,173.0
hyperlipidemia,1.0,0.6651162790697674,0.7988826815642458,215.0
hypertension pulmonary,1.0,1.0,1.0,75.0
hypertensive disease,0.7654320987654321,0.8857142857142857,0.8211920529801324,210.0
hypoglycemia,1.0,0.993421052631579,0.9966996699669967,152.0
infection,1.0,0.8806818181818182,0.9365558912386707,176.0
infection urinary tract,0.9709302325581395,1.0,0.9852507374631269,167.0
kidney failure acute,0.9703703703703703,0.9424460431654677,0.9562043795620438,139.0
malignant neoplasms ,0.8895027624309392,1.0,0.9415204678362573,161.0
manic disorder,0.9542857142857143,0.9766081871345029,0.9653179190751445,171.0
melanoma,1.0,0.9,0.9473684210526315,80.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,0.9545454545454546,0.9545454545454546,0.9545454545454546,176.0
obesity,1.0,0.975609756097561,0.9876543209876543,164.0
obesity morbid,1.0,0.9302325581395349,0.963855421686747,172.0
osteomyelitis,0.9281767955801105,0.9767441860465116,0.9518413597733711,172.0
overload fluid,0.9759036144578314,0.9473684210526315,0.9614243323442137,171.0
pancreatitis,0.5581395348837209,0.96,0.7058823529411765,100.0
paroxysmal dyspnea,0.96875,0.7908163265306123,0.8707865168539326,196.0
peripheral vascular disease,1.0,0.9493670886075949,0.974025974025974,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.6904761904761905,0.9235668789808917,0.7901907356948229,157.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,0.974025974025974,0.9259259259259259,0.9493670886075949,162.0
tachycardia sinus,1.0,0.9298245614035088,0.9636363636363636,171.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,0.9743589743589743,0.95,0.9620253164556962,160.0
tricuspid valve insufficiency,0.9111111111111111,0.9389312977099237,0.924812030075188,131.0
ulcer peptic,0.9757575757575757,1.0,0.9877300613496932,161.0
accuracy,0.9398598236491069,0.9398598236491069,0.9398598236491069,0.9398598236491069
macro avg,0.9522385621584927,0.9448513742312465,0.9450068114820365,8846.0
weighted avg,0.9506150641125771,0.9398598236491069,0.9416235818207405,8846.0
