,precision,recall,f1-score,support
adenocarcinoma,0.9760479041916168,0.9532163742690059,0.9644970414201184,171.0
adhesion,1.0,0.9523809523809523,0.975609756097561,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,0.9407407407407408,0.9694656488549618,0.9548872180451128,131.0
asthma,0.9080459770114943,0.9518072289156626,0.9294117647058824,83.0
benign prostatic hypertrophy,1.0,0.9367088607594937,0.9673202614379085,79.0
biliary calculus,0.9294117647058824,0.8144329896907216,0.8681318681318682,194.0
carcinoma breast,0.9444444444444444,1.0,0.9714285714285714,170.0
chronic obstructive airway disease,0.891156462585034,0.9424460431654677,0.916083916083916,139.0
cirrhosis,1.0,0.9101123595505618,0.9529411764705882,178.0
colitis,1.0,0.8426966292134831,0.9146341463414634,178.0
coronary arteriosclerosis,0.6337448559670782,0.9506172839506173,0.7604938271604939,162.0
deep vein thrombosis,0.99375,0.9464285714285714,0.9695121951219512,168.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.8947368421052632,0.9550561797752809,0.9239130434782609,178.0
dependence,0.9760479041916168,0.9760479041916168,0.9760479041916168,167.0
effusion pericardial,0.9441340782122905,1.0,0.9712643678160919,169.0
epilepsy,0.9333333333333333,0.9767441860465116,0.9545454545454546,172.0
failure heart,0.949685534591195,0.9263803680981595,0.937888198757764,163.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,0.9298245614035088,0.9636363636363636,171.0
gastroenteritis,0.95,0.926829268292683,0.9382716049382716,164.0
glaucoma,1.0,0.9312977099236641,0.9644268774703557,131.0
gout,0.9432624113475178,0.9708029197080292,0.9568345323741008,137.0
hepatitis,0.9760479041916168,0.8907103825136612,0.9314285714285714,183.0
hepatitis B,1.0,1.0,1.0,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,0.9866666666666667,0.9932885906040269,75.0
hyperglycemia,0.9761904761904762,0.9479768786127167,0.9618768328445748,173.0
hyperlipidemia,0.9011627906976745,0.7209302325581395,0.8010335917312662,215.0
hypertension pulmonary,1.0,0.9866666666666667,0.9932885906040269,75.0
hypertensive disease,0.8415841584158416,0.8095238095238095,0.8252427184466019,210.0
hypoglycemia,1.0,1.0,1.0,152.0
infection,0.9281767955801105,0.9545454545454546,0.9411764705882353,176.0
infection urinary tract,0.9766081871345029,1.0,0.9881656804733728,167.0
kidney failure acute,0.9703703703703703,0.9424460431654677,0.9562043795620438,139.0
malignant neoplasms ,0.9161676646706587,0.9503105590062112,0.9329268292682927,161.0
manic disorder,0.9542857142857143,0.9766081871345029,0.9653179190751445,171.0
melanoma,1.0,0.8875,0.9403973509933775,80.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,0.9347826086956522,0.9772727272727273,0.9555555555555556,176.0
obesity,0.9761904761904762,1.0,0.9879518072289156,164.0
obesity morbid,1.0,0.9302325581395349,0.963855421686747,172.0
osteomyelitis,1.0,0.9069767441860465,0.9512195121951219,172.0
overload fluid,0.9759036144578314,0.9473684210526315,0.9614243323442137,171.0
pancreatitis,0.696969696969697,0.92,0.7931034482758621,100.0
paroxysmal dyspnea,0.8901098901098901,0.826530612244898,0.8571428571428571,196.0
peripheral vascular disease,1.0,0.9493670886075949,0.974025974025974,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.575187969924812,0.9745222929936306,0.723404255319149,157.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,1.0,0.9738562091503268,0.9867549668874173,153.0
stenosis aortic valve,0.974025974025974,0.9259259259259259,0.9493670886075949,162.0
tachycardia sinus,0.99375,0.9298245614035088,0.9607250755287009,171.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,1.0,0.925,0.961038961038961,160.0
tricuspid valve insufficiency,0.9111111111111111,0.9389312977099237,0.924812030075188,131.0
ulcer peptic,0.9757575757575757,1.0,0.9877300613496932,161.0
accuracy,0.9398598236491069,0.9398598236491069,0.9398598236491069,0.9398598236491069
macro avg,0.9517444954611439,0.9445987993446144,0.9456035657582353,8846.0
weighted avg,0.9491492930549154,0.9398598236491069,0.9418378243483033,8846.0
