,precision,recall,f1-score,support
adenocarcinoma,0.9640718562874252,0.9415204678362573,0.9526627218934911,171.0
adhesion,0.975,0.9285714285714286,0.9512195121951219,168.0
affect labile,1.0,0.9113924050632911,0.9536423841059603,79.0
arthritis,0.967741935483871,0.916030534351145,0.9411764705882353,131.0
asthma,0.826530612244898,0.9759036144578314,0.8950276243093923,83.0
benign prostatic hypertrophy,0.9473684210526315,0.9113924050632911,0.9290322580645162,79.0
biliary calculus,0.8505154639175257,0.8505154639175257,0.8505154639175257,194.0
carcinoma breast,0.9705882352941176,0.9705882352941176,0.9705882352941176,170.0
chronic obstructive airway disease,0.8620689655172413,0.8992805755395683,0.8802816901408451,139.0
cirrhosis,0.9872611464968153,0.8707865168539326,0.9253731343283582,178.0
colitis,0.9490445859872612,0.8370786516853933,0.8895522388059701,178.0
coronary arteriosclerosis,0.7071823204419889,0.7901234567901234,0.7463556851311953,162.0
deep vein thrombosis,0.9529411764705882,0.9642857142857143,0.9585798816568047,168.0
degenerative polyarthritis,1.0,0.9867549668874173,0.9933333333333333,151.0
delirium,0.9461077844311377,0.8876404494382022,0.9159420289855073,178.0
dependence,0.9322033898305084,0.9880239520958084,0.9593023255813954,167.0
effusion pericardial,0.9523809523809523,0.9467455621301775,0.9495548961424333,169.0
epilepsy,0.865979381443299,0.9767441860465116,0.9180327868852459,172.0
failure heart,0.888235294117647,0.9263803680981595,0.9069069069069069,163.0
fibroid tumor,1.0,0.9877300613496932,0.9938271604938271,163.0
gastritis,1.0,0.8771929824561403,0.9345794392523364,171.0
gastroenteritis,0.9490445859872612,0.9085365853658537,0.9283489096573209,164.0
glaucoma,1.0,0.9083969465648855,0.952,131.0
gout,0.9295774647887324,0.9635036496350365,0.946236559139785,137.0
hepatitis,0.9364161849710982,0.8852459016393442,0.9101123595505618,183.0
hepatitis B,0.9859154929577465,0.9333333333333333,0.958904109589041,75.0
hepatitis C,1.0,0.9801324503311258,0.9899665551839465,151.0
hyperbilirubinemia,1.0,0.8666666666666667,0.9285714285714286,75.0
hyperglycemia,0.9937106918238994,0.9132947976878613,0.9518072289156626,173.0
hyperlipidemia,0.8219895287958116,0.7302325581395349,0.7733990147783252,215.0
hypertension pulmonary,1.0,0.9866666666666667,0.9932885906040269,75.0
hypertensive disease,0.7051792828685259,0.8428571428571429,0.7678958785249458,210.0
hypoglycemia,1.0,0.9868421052631579,0.9933774834437086,152.0
infection,0.84,0.9545454545454546,0.8936170212765957,176.0
infection urinary tract,1.0,0.9520958083832335,0.9754601226993865,167.0
kidney failure acute,0.9612403100775194,0.8920863309352518,0.9253731343283582,139.0
malignant neoplasms ,0.9107142857142857,0.9503105590062112,0.9300911854103343,161.0
manic disorder,0.8505154639175257,0.9649122807017544,0.9041095890410958,171.0
melanoma,1.0,0.7875,0.8811188811188811,80.0
neoplasm metastasis,1.0,1.0,1.0,124.0
neuropathy,1.0,0.9516129032258065,0.9752066115702479,124.0
neutropenia,0.9375,0.9375,0.9375,176.0
obesity,0.9875,0.9634146341463414,0.9753086419753086,164.0
obesity morbid,0.936046511627907,0.936046511627907,0.936046511627907,172.0
osteomyelitis,0.9476744186046512,0.9476744186046512,0.9476744186046512,172.0
overload fluid,0.9401197604790419,0.9181286549707602,0.9289940828402367,171.0
pancreatitis,0.6608695652173913,0.76,0.7069767441860465,100.0
paroxysmal dyspnea,0.8709677419354839,0.826530612244898,0.8481675392670157,196.0
peripheral vascular disease,0.9673202614379085,0.9367088607594937,0.9517684887459807,158.0
pneumothorax,0.8352941176470589,0.8658536585365854,0.8502994011976048,82.0
pyelonephritis,0.6620370370370371,0.910828025477707,0.7667560321715817,157.0
schizophrenia,0.9807692307692307,0.9053254437869822,0.9415384615384615,169.0
sickle cell anemia,0.8010471204188482,1.0,0.8895348837209303,153.0
stenosis aortic valve,0.9075144508670521,0.9691358024691358,0.9373134328358209,162.0
tachycardia sinus,0.9801324503311258,0.8654970760233918,0.9192546583850931,171.0
thrombocytopaenia,1.0,0.9864864864864865,0.9931972789115646,74.0
thrombus,0.9666666666666667,0.90625,0.9354838709677419,160.0
tricuspid valve insufficiency,0.9111111111111111,0.9389312977099237,0.924812030075188,131.0
ulcer peptic,1.0,0.9503105590062112,0.9745222929936306,161.0
accuracy,0.9175898711281936,0.9175898711281936,0.9175898711281936,0.9175898711281936
macro avg,0.9274931399567937,0.9191199352713649,0.9213477900247619,8846.0
weighted avg,0.9240410172606441,0.9175898711281936,0.9189232607157406,8846.0
