,precision,recall,f1-score,support
adenocarcinoma,0.9760479041916168,0.9532163742690059,0.9644970414201184,171.0
adhesion,0.9341317365269461,0.9285714285714286,0.9313432835820895,168.0
affect labile,0.9863013698630136,0.9113924050632911,0.9473684210526315,79.0
arthritis,0.9918032786885246,0.9236641221374046,0.9565217391304348,131.0
asthma,0.8876404494382022,0.9518072289156626,0.9186046511627907,83.0
benign prostatic hypertrophy,1.0,0.8860759493670886,0.9395973154362416,79.0
biliary calculus,0.8609625668449198,0.8298969072164949,0.8451443569553806,194.0
carcinoma breast,0.9534883720930233,0.9647058823529412,0.9590643274853801,170.0
chronic obstructive airway disease,0.8523489932885906,0.9136690647482014,0.8819444444444444,139.0
cirrhosis,0.9485714285714286,0.9325842696629213,0.9405099150141643,178.0
colitis,0.8681318681318682,0.8876404494382022,0.8777777777777778,178.0
coronary arteriosclerosis,0.7485714285714286,0.808641975308642,0.7774480712166172,162.0
deep vein thrombosis,0.9813664596273292,0.9404761904761905,0.9604863221884499,168.0
degenerative polyarthritis,0.9869281045751634,1.0,0.993421052631579,151.0
delirium,0.9120879120879121,0.9325842696629213,0.9222222222222223,178.0
dependence,0.9754601226993865,0.9520958083832335,0.9636363636363636,167.0
effusion pericardial,0.9485714285714286,0.9822485207100592,0.9651162790697675,169.0
epilepsy,0.9027027027027027,0.9709302325581395,0.9355742296918768,172.0
failure heart,0.8232323232323232,1.0,0.9030470914127424,163.0
fibroid tumor,1.0,0.9815950920245399,0.9907120743034056,163.0
gastritis,0.9216867469879518,0.8947368421052632,0.9080118694362018,171.0
gastroenteritis,0.9929577464788732,0.8597560975609756,0.9215686274509803,164.0
glaucoma,1.0,0.9083969465648855,0.952,131.0
gout,0.9027777777777778,0.948905109489051,0.9252669039145908,137.0
hepatitis,0.9261363636363636,0.8907103825136612,0.9080779944289693,183.0
hepatitis B,1.0,0.96,0.9795918367346939,75.0
hepatitis C,1.0,0.9867549668874173,0.9933333333333333,151.0
hyperbilirubinemia,1.0,0.9066666666666666,0.951048951048951,75.0
hyperglycemia,0.9871794871794872,0.8901734104046243,0.9361702127659575,173.0
hyperlipidemia,0.9852941176470589,0.6232558139534884,0.7635327635327636,215.0
hypertension pulmonary,0.9863013698630136,0.96,0.972972972972973,75.0
hypertensive disease,0.6258278145695364,0.9,0.73828125,210.0
hypoglycemia,0.9933774834437086,0.9868421052631579,0.9900990099009901,152.0
infection,0.9162011173184358,0.9318181818181818,0.923943661971831,176.0
infection urinary tract,0.9709302325581395,1.0,0.9852507374631269,167.0
kidney failure acute,0.9765625,0.8992805755395683,0.9363295880149812,139.0
malignant neoplasms ,0.9245283018867925,0.9130434782608695,0.91875,161.0
manic disorder,0.9529411764705882,0.9473684210526315,0.9501466275659824,171.0
melanoma,0.7422680412371134,0.9,0.8135593220338984,80.0
neoplasm metastasis,1.0,0.9758064516129032,0.9877551020408163,124.0
neuropathy,0.9917355371900827,0.967741935483871,0.9795918367346939,124.0
neutropenia,1.0,0.8352272727272727,0.9102167182662538,176.0
obesity,0.99375,0.9695121951219512,0.9814814814814815,164.0
obesity morbid,0.9476744186046512,0.9476744186046512,0.9476744186046512,172.0
osteomyelitis,0.9526627218934911,0.936046511627907,0.9442815249266863,172.0
overload fluid,0.9171597633136095,0.9064327485380117,0.9117647058823529,171.0
pancreatitis,0.6666666666666666,0.86,0.7510917030567685,100.0
paroxysmal dyspnea,0.9548387096774194,0.7551020408163265,0.8433048433048433,196.0
peripheral vascular disease,0.9444444444444444,0.9683544303797469,0.95625,158.0
pneumothorax,1.0,0.8658536585365854,0.9281045751633987,82.0
pyelonephritis,0.7382198952879581,0.8980891719745223,0.8103448275862069,157.0
schizophrenia,0.9491525423728814,0.9940828402366864,0.9710982658959537,169.0
sickle cell anemia,0.9802631578947368,0.9738562091503268,0.9770491803278688,153.0
stenosis aortic valve,0.9028571428571428,0.9753086419753086,0.9376854599406528,162.0
tachycardia sinus,1.0,0.8654970760233918,0.9278996865203761,171.0
thrombocytopaenia,0.9861111111111112,0.9594594594594594,0.9726027397260274,74.0
thrombus,0.9864864864864865,0.9125,0.948051948051948,160.0
tricuspid valve insufficiency,0.7039106145251397,0.9618320610687023,0.8129032258064516,131.0
ulcer peptic,0.975609756097561,0.9937888198757764,0.9846153846153847,161.0
accuracy,0.9201899163463713,0.9201899163463713,0.9201899163463713,0.9201899163463713
macro avg,0.9310993507658311,0.9234181544433934,0.9241650893277547,8846.0
weighted avg,0.9294346916160532,0.9201899163463713,0.9214021584256333,8846.0
