,precision,recall,f1-score,support
adenocarcinoma,0.9418604651162791,0.9473684210526315,0.9446064139941691,171.0
adhesion,1.0,0.9285714285714286,0.9629629629629629,168.0
affect labile,1.0,0.9493670886075949,0.974025974025974,79.0
arthritis,1.0,0.9389312977099237,0.968503937007874,131.0
asthma,0.8631578947368421,0.9879518072289156,0.9213483146067416,83.0
benign prostatic hypertrophy,1.0,0.8734177215189873,0.9324324324324325,79.0
biliary calculus,0.8629441624365483,0.8762886597938144,0.8695652173913043,194.0
carcinoma breast,0.9497206703910615,1.0,0.9742120343839542,170.0
chronic obstructive airway disease,0.9136690647482014,0.9136690647482014,0.9136690647482014,139.0
cirrhosis,0.9329608938547486,0.9382022471910112,0.9355742296918768,178.0
colitis,0.967741935483871,0.8426966292134831,0.9009009009009009,178.0
coronary arteriosclerosis,0.7150537634408602,0.8209876543209876,0.764367816091954,162.0
deep vein thrombosis,0.9479768786127167,0.9761904761904762,0.9618768328445748,168.0
degenerative polyarthritis,1.0,0.9933774834437086,0.9966777408637874,151.0
delirium,0.8673469387755102,0.9550561797752809,0.9090909090909091,178.0
dependence,0.9702380952380952,0.9760479041916168,0.9731343283582089,167.0
effusion pericardial,0.9759036144578314,0.9585798816568047,0.9671641791044776,169.0
epilepsy,0.9588235294117647,0.9476744186046512,0.9532163742690059,172.0
failure heart,0.8489583333333334,1.0,0.9183098591549296,163.0
fibroid tumor,1.0,0.9877300613496932,0.9938271604938271,163.0
gastritis,0.9936708860759493,0.9181286549707602,0.9544072948328267,171.0
gastroenteritis,0.9932432432432432,0.8963414634146342,0.9423076923076923,164.0
glaucoma,1.0,0.9312977099236641,0.9644268774703557,131.0
gout,0.9366197183098591,0.9708029197080292,0.953405017921147,137.0
hepatitis,0.9642857142857143,0.8852459016393442,0.9230769230769231,183.0
hepatitis B,1.0,0.9466666666666667,0.9726027397260274,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,0.96,0.9795918367346939,75.0
hyperglycemia,0.9937888198757764,0.9248554913294798,0.9580838323353293,173.0
hyperlipidemia,0.9733333333333334,0.6790697674418604,0.8,215.0
hypertension pulmonary,1.0,0.9866666666666667,0.9932885906040269,75.0
hypertensive disease,0.6643356643356644,0.9047619047619048,0.7661290322580645,210.0
hypoglycemia,1.0,0.9868421052631579,0.9933774834437086,152.0
infection,0.8958333333333334,0.9772727272727273,0.9347826086956522,176.0
infection urinary tract,0.9653179190751445,1.0,0.9823529411764705,167.0
kidney failure acute,0.9701492537313433,0.935251798561151,0.9523809523809523,139.0
malignant neoplasms ,0.8971428571428571,0.9751552795031055,0.9345238095238095,161.0
manic disorder,0.9488636363636364,0.9766081871345029,0.962536023054755,171.0
melanoma,1.0,0.8875,0.9403973509933775,80.0
neoplasm metastasis,1.0,0.967741935483871,0.9836065573770492,124.0
neuropathy,1.0,0.967741935483871,0.9836065573770492,124.0
neutropenia,0.9759036144578314,0.9204545454545454,0.9473684210526315,176.0
obesity,1.0,0.9573170731707317,0.9781931464174455,164.0
obesity morbid,1.0,0.9476744186046512,0.9731343283582089,172.0
osteomyelitis,1.0,0.9011627906976745,0.9480122324159022,172.0
overload fluid,0.9936708860759493,0.9181286549707602,0.9544072948328267,171.0
pancreatitis,0.7575757575757576,0.75,0.7537688442211056,100.0
paroxysmal dyspnea,0.8950276243093923,0.826530612244898,0.8594164456233422,196.0
peripheral vascular disease,1.0,0.9493670886075949,0.974025974025974,158.0
pneumothorax,1.0,0.9024390243902439,0.9487179487179487,82.0
pyelonephritis,0.572992700729927,1.0,0.728538283062645,157.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,0.9802631578947368,0.9738562091503268,0.9770491803278688,153.0
stenosis aortic valve,0.9333333333333333,0.9506172839506173,0.9418960244648318,162.0
tachycardia sinus,0.9805194805194806,0.8830409356725146,0.9292307692307692,171.0
thrombocytopaenia,0.9864864864864865,0.9864864864864865,0.9864864864864865,74.0
thrombus,0.98,0.91875,0.9483870967741935,160.0
tricuspid valve insufficiency,0.9044117647058824,0.9389312977099237,0.9213483146067416,131.0
ulcer peptic,0.9876543209876543,0.9937888198757764,0.9907120743034056,161.0
accuracy,0.9325118697716482,0.9325118697716482,0.9325118697716482,0.9325118697716482
macro avg,0.9467928770545754,0.9349367373436412,0.9380813770235232,8846.0
weighted avg,0.9427203856202917,0.9325118697716482,0.9345073964023654,8846.0
