,precision,recall,f1-score,support
adenocarcinoma,0.949685534591195,0.8830409356725146,0.9151515151515152,171.0
adhesion,0.95625,0.9107142857142857,0.9329268292682927,168.0
affect labile,0.88,0.7951807228915663,0.8354430379746836,83.0
arthritis,0.9349593495934959,0.8778625954198473,0.905511811023622,131.0
asthma,0.9436619718309859,0.8072289156626506,0.8701298701298701,83.0
benign prostatic hypertrophy,0.8918918918918919,0.8354430379746836,0.8627450980392157,79.0
biliary calculus,0.6359832635983264,0.7835051546391752,0.7020785219399538,194.0
carcinoma breast,0.9647058823529412,0.9647058823529412,0.9647058823529412,170.0
chronic obstructive airway disease,0.7914110429447853,0.9847328244274809,0.8775510204081632,131.0
cirrhosis,0.9340659340659341,0.9139784946236559,0.9239130434782609,186.0
colitis,1.0,0.8370786516853933,0.9113149847094801,178.0
coronary arteriosclerosis,0.6183206106870229,1.0,0.7641509433962265,162.0
deep vein thrombosis,0.875,0.8333333333333334,0.8536585365853658,168.0
degenerative polyarthritis,0.8675496688741722,0.8675496688741722,0.8675496688741722,151.0
delirium,0.9759036144578314,0.9310344827586207,0.9529411764705882,174.0
dependence,0.8171428571428572,0.8773006134969326,0.8461538461538461,163.0
effusion pericardial,0.8370786516853933,0.8816568047337278,0.8587896253602305,169.0
epilepsy,0.9875,0.9186046511627907,0.9518072289156626,172.0
failure heart,0.9161676646706587,0.8947368421052632,0.9053254437869822,171.0
fibroid tumor,0.8773006134969326,0.8773006134969326,0.8773006134969326,163.0
gastritis,0.8742138364779874,0.7942857142857143,0.8323353293413174,175.0
gastroenteritis,0.95,0.9047619047619048,0.926829268292683,168.0
glaucoma,0.9541984732824428,0.8992805755395683,0.9259259259259259,139.0
gout,0.900709219858156,0.927007299270073,0.9136690647482014,137.0
hepatitis,0.9640718562874252,0.8797814207650273,0.92,183.0
hepatitis B,0.9333333333333333,0.9333333333333333,0.9333333333333333,75.0
hepatitis C,0.9337748344370861,0.9337748344370861,0.9337748344370861,151.0
hyperbilirubinemia,0.9066666666666666,0.9066666666666666,0.9066666666666666,75.0
hyperglycemia,0.9763313609467456,0.9322033898305084,0.953757225433526,177.0
hyperlipidemia,1.0,0.7044334975369458,0.8265895953757225,203.0
hypertension pulmonary,0.96,0.96,0.96,75.0
hypertensive disease,0.7577092511013216,0.819047619047619,0.7871853546910755,210.0
hypoglycemia,0.9802631578947368,0.9802631578947368,0.9802631578947368,152.0
infection,0.8497109826589595,0.7989130434782609,0.8235294117647058,184.0
infection urinary tract,0.8596491228070176,0.8802395209580839,0.8698224852071006,167.0
kidney failure acute,1.0,0.9694656488549618,0.9844961240310077,131.0
malignant neoplasms ,0.8232044198895028,1.0,0.9030303030303031,149.0
manic disorder,0.9580838323353293,0.935672514619883,0.9467455621301775,171.0
melanoma,0.9583333333333334,0.8214285714285714,0.8846153846153846,84.0
neoplasm metastasis,0.8387096774193549,0.8387096774193549,0.8387096774193549,124.0
neuropathy,0.8387096774193549,0.8387096774193549,0.8387096774193549,124.0
neutropenia,1.0,0.8888888888888888,0.9411764705882353,180.0
obesity,0.88125,0.8597560975609756,0.8703703703703703,164.0
obesity morbid,0.88125,0.8197674418604651,0.8493975903614458,172.0
osteomyelitis,0.8715083798882681,0.9069767441860465,0.8888888888888888,172.0
overload fluid,0.9235294117647059,0.9181286549707602,0.9208211143695014,171.0
pancreatitis,0.6896551724137931,0.8695652173913043,0.7692307692307693,92.0
paroxysmal dyspnea,0.96875,0.775,0.8611111111111112,200.0
peripheral vascular disease,0.7931034482758621,0.8734177215189873,0.8313253012048193,158.0
pneumothorax,0.7567567567567568,0.6829268292682927,0.717948717948718,82.0
pyelonephritis,0.7157360406091371,0.9215686274509803,0.8057142857142857,153.0
schizophrenia,0.9548022598870056,1.0,0.976878612716763,169.0
sickle cell anemia,0.9865771812080537,0.9607843137254902,0.9735099337748344,153.0
stenosis aortic valve,0.9176470588235294,0.9629629629629629,0.9397590361445783,162.0
tachycardia sinus,0.9559748427672956,0.8888888888888888,0.9212121212121213,171.0
thrombocytopaenia,0.6351351351351351,0.6351351351351351,0.6351351351351351,74.0
thrombus,0.8589743589743589,0.8375,0.8481012658227848,160.0
tricuspid valve insufficiency,0.7851851851851852,0.8091603053435115,0.7969924812030075,131.0
ulcer peptic,0.8545454545454545,0.8757763975155279,0.8650306748466258,161.0
accuracy,0.8807370562966312,0.8807370562966312,0.8807370562966312,0.8807370562966312
macro avg,0.8864852927841984,0.8782910305973193,0.8793515416935197,8846.0
weighted avg,0.8902861366588003,0.8807370562966312,0.8822843931262828,8846.0
