,precision,recall,f1-score,support
adenocarcinoma,0.888268156424581,0.9298245614035088,0.9085714285714286,171.0
adhesion,0.8478260869565217,0.9285714285714286,0.8863636363636364,168.0
affect labile,0.88,0.7951807228915663,0.8354430379746836,83.0
arthritis,0.8531468531468531,0.9312977099236641,0.8905109489051095,131.0
asthma,0.8860759493670886,0.8433734939759037,0.8641975308641975,83.0
benign prostatic hypertrophy,0.8536585365853658,0.8860759493670886,0.8695652173913043,79.0
biliary calculus,0.9382716049382716,0.7835051546391752,0.8539325842696629,194.0
carcinoma breast,0.9534883720930233,0.9647058823529412,0.9590643274853801,170.0
chronic obstructive airway disease,0.9259259259259259,0.9541984732824428,0.9398496240601504,131.0
cirrhosis,0.9764705882352941,0.8924731182795699,0.9325842696629213,186.0
colitis,0.9080459770114943,0.8876404494382022,0.8977272727272727,178.0
coronary arteriosclerosis,0.8181818181818182,0.7777777777777778,0.7974683544303798,162.0
deep vein thrombosis,0.86875,0.8273809523809523,0.8475609756097561,168.0
degenerative polyarthritis,0.8675496688741722,0.8675496688741722,0.8675496688741722,151.0
delirium,0.9759036144578314,0.9310344827586207,0.9529411764705882,174.0
dependence,0.8562874251497006,0.8773006134969326,0.8666666666666667,163.0
effusion pericardial,0.8324022346368715,0.8816568047337278,0.8563218390804598,169.0
epilepsy,0.8673469387755102,0.9883720930232558,0.9239130434782609,172.0
failure heart,0.8770949720670391,0.9181286549707602,0.8971428571428571,171.0
fibroid tumor,0.8773006134969326,0.8773006134969326,0.8773006134969326,163.0
gastritis,0.8742138364779874,0.7942857142857143,0.8323353293413174,175.0
gastroenteritis,0.926829268292683,0.9047619047619048,0.9156626506024096,168.0
glaucoma,0.9836065573770492,0.8633093525179856,0.9195402298850575,139.0
gout,0.9290780141843972,0.9562043795620438,0.9424460431654677,137.0
hepatitis,0.9016393442622951,0.9016393442622951,0.9016393442622951,183.0
hepatitis B,0.9333333333333333,0.9333333333333333,0.9333333333333333,75.0
hepatitis C,0.9337748344370861,0.9337748344370861,0.9337748344370861,151.0
hyperbilirubinemia,0.9066666666666666,0.9066666666666666,0.9066666666666666,75.0
hyperglycemia,0.9761904761904762,0.9265536723163842,0.9507246376811594,177.0
hyperlipidemia,0.8324607329842932,0.7832512315270936,0.8071065989847716,203.0
hypertension pulmonary,0.96,0.96,0.96,75.0
hypertensive disease,0.7107438016528925,0.819047619047619,0.7610619469026548,210.0
hypoglycemia,0.9551282051282052,0.9802631578947368,0.9675324675324676,152.0
infection,0.8333333333333334,0.7880434782608695,0.8100558659217877,184.0
infection urinary tract,0.8834355828220859,0.8622754491017964,0.8727272727272727,167.0
kidney failure acute,0.8410596026490066,0.9694656488549618,0.900709219858156,131.0
malignant neoplasms ,0.9030303030303031,1.0,0.9490445859872612,149.0
manic disorder,0.9180327868852459,0.9824561403508771,0.9491525423728814,171.0
melanoma,0.9113924050632911,0.8571428571428571,0.8834355828220859,84.0
neoplasm metastasis,0.8387096774193549,0.8387096774193549,0.8387096774193549,124.0
neuropathy,0.8387096774193549,0.8387096774193549,0.8387096774193549,124.0
neutropenia,0.9545454545454546,0.9333333333333333,0.9438202247191011,180.0
obesity,0.8392857142857143,0.8597560975609756,0.8493975903614458,164.0
obesity morbid,0.8260869565217391,0.8837209302325582,0.8539325842696629,172.0
osteomyelitis,0.9325153374233128,0.8837209302325582,0.9074626865671642,172.0
overload fluid,0.9683544303797469,0.8947368421052632,0.9300911854103343,171.0
pancreatitis,0.6896551724137931,0.8695652173913043,0.7692307692307693,92.0
paroxysmal dyspnea,0.8571428571428571,0.84,0.8484848484848485,200.0
peripheral vascular disease,0.8481012658227848,0.8481012658227848,0.8481012658227848,158.0
pneumothorax,0.7567567567567568,0.6829268292682927,0.717948717948718,82.0
pyelonephritis,0.8389261744966443,0.8169934640522876,0.8278145695364238,153.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,0.9865771812080537,0.9607843137254902,0.9735099337748344,153.0
stenosis aortic valve,0.9367088607594937,0.9135802469135802,0.925,162.0
tachycardia sinus,0.9559748427672956,0.8888888888888888,0.9212121212121213,171.0
thrombocytopaenia,0.6351351351351351,0.6351351351351351,0.6351351351351351,74.0
thrombus,0.8783783783783784,0.8125,0.8441558441558441,160.0
tricuspid valve insufficiency,0.865546218487395,0.7862595419847328,0.824,131.0
ulcer peptic,0.7064676616915423,0.8819875776397516,0.7845303867403315,161.0
accuracy,0.8819805561835858,0.8819805561835858,0.8819805561835858,0.8819805561835858
macro avg,0.8816868165110123,0.8794558657793556,0.8792987969487416,8846.0
weighted avg,0.8850556256620696,0.8819805561835858,0.8822465483887905,8846.0
