,precision,recall,f1-score,support
adenocarcinoma,0.8876404494382022,0.9239766081871345,0.9054441260744985,171.0
adhesion,0.9226190476190477,0.9226190476190477,0.9226190476190477,168.0
affect labile,0.7831325301204819,0.7831325301204819,0.7831325301204819,83.0
arthritis,0.8187919463087249,0.9312977099236641,0.8714285714285714,131.0
asthma,0.7102803738317757,0.9156626506024096,0.8,83.0
benign prostatic hypertrophy,0.6761904761904762,0.8987341772151899,0.7717391304347826,79.0
biliary calculus,0.9548387096774194,0.7628865979381443,0.8481375358166189,194.0
carcinoma breast,0.9585798816568047,0.9529411764705882,0.9557522123893806,170.0
chronic obstructive airway disease,0.9069767441860465,0.8931297709923665,0.9,131.0
cirrhosis,0.9878048780487805,0.8709677419354839,0.9257142857142857,186.0
colitis,0.9933774834437086,0.8426966292134831,0.9118541033434651,178.0
coronary arteriosclerosis,0.6880733944954128,0.9259259259259259,0.7894736842105263,162.0
deep vein thrombosis,0.8313953488372093,0.8511904761904762,0.8411764705882353,168.0
degenerative polyarthritis,0.8675496688741722,0.8675496688741722,0.8675496688741722,151.0
delirium,0.9700598802395209,0.9310344827586207,0.9501466275659824,174.0
dependence,0.8452380952380952,0.8711656441717791,0.8580060422960725,163.0
effusion pericardial,0.8765432098765432,0.8402366863905325,0.8580060422960725,169.0
epilepsy,0.907103825136612,0.9651162790697675,0.9352112676056338,172.0
failure heart,0.9536423841059603,0.8421052631578947,0.8944099378881988,171.0
fibroid tumor,0.8773006134969326,0.8773006134969326,0.8773006134969326,163.0
gastritis,0.8554216867469879,0.8114285714285714,0.8328445747800587,175.0
gastroenteritis,0.9681528662420382,0.9047619047619048,0.9353846153846154,168.0
glaucoma,0.9541984732824428,0.8992805755395683,0.9259259259259259,139.0
gout,0.8791946308724832,0.9562043795620438,0.916083916083916,137.0
hepatitis,0.9751552795031055,0.8579234972677595,0.9127906976744186,183.0
hepatitis B,0.9444444444444444,0.9066666666666666,0.9251700680272109,75.0
hepatitis C,0.9333333333333333,0.9271523178807947,0.9302325581395349,151.0
hyperbilirubinemia,0.9027777777777778,0.8666666666666667,0.8843537414965986,75.0
hyperglycemia,0.9754601226993865,0.8983050847457628,0.9352941176470588,177.0
hyperlipidemia,0.7990430622009569,0.8226600985221675,0.8106796116504854,203.0
hypertension pulmonary,0.9583333333333334,0.92,0.9387755102040817,75.0
hypertensive disease,0.9577464788732394,0.6476190476190476,0.7727272727272727,210.0
hypoglycemia,0.98,0.9671052631578947,0.9735099337748344,152.0
infection,0.8268156424581006,0.8043478260869565,0.8154269972451791,184.0
infection urinary tract,0.8780487804878049,0.8622754491017964,0.8700906344410876,167.0
kidney failure acute,0.8355263157894737,0.9694656488549618,0.8975265017667845,131.0
malignant neoplasms ,0.8604651162790697,0.9932885906040269,0.9221183800623053,149.0
manic disorder,0.9580838323353293,0.935672514619883,0.9467455621301775,171.0
melanoma,0.9102564102564102,0.8452380952380952,0.8765432098765432,84.0
neoplasm metastasis,0.8429752066115702,0.8225806451612904,0.8326530612244898,124.0
neuropathy,0.8387096774193549,0.8387096774193549,0.8387096774193549,124.0
neutropenia,0.9340659340659341,0.9444444444444444,0.9392265193370166,180.0
obesity,0.834319526627219,0.8597560975609756,0.8468468468468469,164.0
obesity morbid,0.88125,0.8197674418604651,0.8493975903614458,172.0
osteomyelitis,0.9551282051282052,0.8662790697674418,0.9085365853658537,172.0
overload fluid,0.9333333333333333,0.9005847953216374,0.9166666666666666,171.0
pancreatitis,0.43781094527363185,0.9565217391304348,0.6006825938566553,92.0
paroxysmal dyspnea,1.0,0.74,0.8505747126436781,200.0
peripheral vascular disease,0.87248322147651,0.8227848101265823,0.8469055374592834,158.0
pneumothorax,0.5841584158415841,0.7195121951219512,0.644808743169399,82.0
pyelonephritis,0.7818181818181819,0.8431372549019608,0.8113207547169812,153.0
schizophrenia,1.0,0.9526627218934911,0.9757575757575757,169.0
sickle cell anemia,0.9865771812080537,0.9607843137254902,0.9735099337748344,153.0
stenosis aortic valve,0.9156626506024096,0.9382716049382716,0.926829268292683,162.0
tachycardia sinus,0.8715083798882681,0.9122807017543859,0.8914285714285715,171.0
thrombocytopaenia,0.6388888888888888,0.6216216216216216,0.6301369863013698,74.0
thrombus,0.8303030303030303,0.85625,0.8430769230769231,160.0
tricuspid valve insufficiency,0.7152317880794702,0.8244274809160306,0.7659574468085106,131.0
ulcer peptic,0.852760736196319,0.8633540372670807,0.8580246913580247,161.0
accuracy,0.8733891024191726,0.8733891024191726,0.8733891024191726,0.8733891024191726
macro avg,0.872484437805078,0.8733807208730776,0.868480956146902,8846.0
weighted avg,0.8860338318936044,0.8733891024191726,0.8757434865777877,8846.0
