,precision,recall,f1-score,support
adenocarcinoma,1.0,1.0,1.0,159.0
adhesion,1.0,1.0,1.0,160.0
affect labile,1.0,1.0,1.0,75.0
arthritis,1.0,1.0,1.0,123.0
asthma,1.0,1.0,1.0,71.0
benign prostatic hypertrophy,1.0,0.9866666666666667,0.9932885906040269,75.0
biliary calculus,1.0,1.0,1.0,146.0
carcinoma breast,0.9878048780487805,1.0,0.9938650306748467,162.0
chronic obstructive airway disease,0.9916666666666667,1.0,0.99581589958159,119.0
cirrhosis,1.0,1.0,1.0,162.0
colitis,1.0,1.0,1.0,150.0
coronary arteriosclerosis,1.0,1.0,1.0,106.0
deep vein thrombosis,1.0,1.0,1.0,160.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,1.0,1.0,1.0,158.0
dependence,1.0,1.0,1.0,159.0
effusion pericardial,0.9938271604938271,1.0,0.9969040247678018,161.0
epilepsy,1.0,0.99375,0.9968652037617555,160.0
failure heart,1.0,1.0,1.0,143.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,0.99375,1.0,0.9968652037617555,159.0
gastroenteritis,1.0,1.0,1.0,148.0
glaucoma,1.0,0.991869918699187,0.9959183673469387,123.0
gout,1.0,1.0,1.0,121.0
hepatitis,1.0,1.0,1.0,159.0
hepatitis B,1.0,1.0,1.0,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,1.0,1.0,75.0
hyperglycemia,1.0,0.9937888198757764,0.9968847352024922,161.0
hyperlipidemia,1.0,1.0,1.0,143.0
hypertension pulmonary,1.0,0.9866666666666667,0.9932885906040269,75.0
hypertensive disease,1.0,1.0,1.0,142.0
hypoglycemia,1.0,1.0,1.0,152.0
infection,0.9873417721518988,1.0,0.9936305732484076,156.0
infection urinary tract,1.0,1.0,1.0,163.0
kidney failure acute,1.0,0.991869918699187,0.9959183673469387,123.0
malignant neoplasms ,0.9863945578231292,1.0,0.9931506849315068,145.0
manic disorder,1.0,1.0,1.0,159.0
melanoma,1.0,0.9861111111111112,0.993006993006993,72.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,1.0,0.99375,0.9968652037617555,160.0
obesity,1.0,1.0,1.0,160.0
obesity morbid,1.0,1.0,1.0,160.0
osteomyelitis,1.0,1.0,1.0,156.0
overload fluid,1.0,0.9937106918238994,0.9968454258675079,159.0
pancreatitis,1.0,1.0,1.0,60.0
paroxysmal dyspnea,0.993421052631579,0.993421052631579,0.993421052631579,152.0
peripheral vascular disease,0.9933774834437086,1.0,0.9966777408637874,150.0
pneumothorax,1.0,1.0,1.0,74.0
pyelonephritis,1.0,1.0,1.0,113.0
schizophrenia,1.0,1.0,1.0,161.0
sickle cell anemia,1.0,1.0,1.0,149.0
stenosis aortic valve,1.0,1.0,1.0,146.0
tachycardia sinus,0.99375,1.0,0.9968652037617555,159.0
thrombocytopaenia,1.0,0.9864864864864865,0.9931972789115646,74.0
thrombus,1.0,1.0,1.0,148.0
tricuspid valve insufficiency,1.0,1.0,1.0,119.0
ulcer peptic,0.9938271604938271,1.0,0.9969040247678018,161.0
accuracy,0.9983697015299724,0.9983697015299724,0.9983697015299724,0.9983697015299724
macro avg,0.9985620463009055,0.9979993610237711,0.9982720019339664,7974.0
weighted avg,0.9983843389908269,0.9983697015299724,0.9983693562778153,7974.0
