,precision,recall,f1-score,support
adenocarcinoma,1.0,1.0,1.0,159.0
adhesion,1.0,1.0,1.0,160.0
affect labile,1.0,1.0,1.0,75.0
arthritis,1.0,1.0,1.0,123.0
asthma,1.0,1.0,1.0,71.0
benign prostatic hypertrophy,1.0,0.9866666666666667,0.9932885906040269,75.0
biliary calculus,1.0,1.0,1.0,146.0
carcinoma breast,0.9878048780487805,1.0,0.9938650306748467,162.0
chronic obstructive airway disease,1.0,1.0,1.0,119.0
cirrhosis,1.0,1.0,1.0,162.0
colitis,1.0,1.0,1.0,150.0
coronary arteriosclerosis,1.0,1.0,1.0,106.0
deep vein thrombosis,0.9937106918238994,0.9875,0.9905956112852664,160.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,1.0,1.0,1.0,158.0
dependence,1.0,1.0,1.0,159.0
effusion pericardial,0.9815950920245399,0.9937888198757764,0.9876543209876543,161.0
epilepsy,1.0,0.99375,0.9968652037617555,160.0
failure heart,1.0,1.0,1.0,143.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,1.0,1.0,159.0
gastroenteritis,1.0,1.0,1.0,148.0
glaucoma,1.0,0.991869918699187,0.9959183673469387,123.0
gout,1.0,1.0,1.0,121.0
hepatitis,1.0,1.0,1.0,159.0
hepatitis B,1.0,1.0,1.0,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,1.0,1.0,75.0
hyperglycemia,1.0,0.9937888198757764,0.9968847352024922,161.0
hyperlipidemia,0.9930555555555556,1.0,0.9965156794425087,143.0
hypertension pulmonary,1.0,0.9866666666666667,0.9932885906040269,75.0
hypertensive disease,1.0,1.0,1.0,142.0
hypoglycemia,1.0,0.993421052631579,0.9966996699669967,152.0
infection,0.9935897435897436,0.9935897435897436,0.9935897435897436,156.0
infection urinary tract,1.0,1.0,1.0,163.0
kidney failure acute,1.0,1.0,1.0,123.0
malignant neoplasms ,1.0,1.0,1.0,145.0
manic disorder,1.0,1.0,1.0,159.0
melanoma,1.0,1.0,1.0,72.0
neoplasm metastasis,1.0,1.0,1.0,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,1.0,1.0,1.0,160.0
obesity,1.0,1.0,1.0,160.0
obesity morbid,1.0,1.0,1.0,160.0
osteomyelitis,0.9936305732484076,1.0,0.9968051118210862,156.0
overload fluid,0.9937106918238994,0.9937106918238994,0.9937106918238994,159.0
pancreatitis,1.0,0.9833333333333333,0.9915966386554622,60.0
paroxysmal dyspnea,0.9934640522875817,1.0,0.9967213114754099,152.0
peripheral vascular disease,1.0,1.0,1.0,150.0
pneumothorax,1.0,1.0,1.0,74.0
pyelonephritis,1.0,1.0,1.0,113.0
schizophrenia,1.0,1.0,1.0,161.0
sickle cell anemia,1.0,1.0,1.0,149.0
stenosis aortic valve,1.0,1.0,1.0,146.0
tachycardia sinus,0.99375,1.0,0.9968652037617555,159.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,1.0,1.0,1.0,148.0
tricuspid valve insufficiency,1.0,1.0,1.0,119.0
ulcer peptic,0.9937888198757764,0.9937888198757764,0.9937888198757764,161.0
accuracy,0.9983697015299724,0.9983697015299724,0.9983697015299724,0.9983697015299724
macro avg,0.9986118660725116,0.9981673649667526,0.9983839545911805,7974.0
weighted avg,0.998379860869148,0.9983697015299724,0.9983700270502633,7974.0
