,precision,recall,f1-score,support
adenocarcinoma,1.0,0.9811320754716981,0.9904761904761905,159.0
adhesion,1.0,0.96875,0.9841269841269841,160.0
affect labile,1.0,0.76,0.8636363636363636,75.0
arthritis,1.0,0.9024390243902439,0.9487179487179487,123.0
asthma,1.0,0.8028169014084507,0.890625,71.0
benign prostatic hypertrophy,1.0,0.8133333333333334,0.8970588235294118,75.0
biliary calculus,0.8841463414634146,0.9931506849315068,0.9354838709677419,146.0
carcinoma breast,0.9583333333333334,0.9938271604938271,0.9757575757575757,162.0
chronic obstructive airway disease,1.0,0.9495798319327731,0.9741379310344828,119.0
cirrhosis,0.9418604651162791,1.0,0.9700598802395209,162.0
colitis,0.9731543624161074,0.9666666666666667,0.9698996655518395,150.0
coronary arteriosclerosis,0.9666666666666667,0.8207547169811321,0.8877551020408163,106.0
deep vein thrombosis,0.9404761904761905,0.9875,0.9634146341463414,160.0
degenerative polyarthritis,1.0,0.9139072847682119,0.9550173010380623,151.0
delirium,0.9386503067484663,0.9683544303797469,0.9532710280373832,158.0
dependence,1.0,0.9811320754716981,0.9904761904761905,159.0
effusion pericardial,0.7630331753554502,1.0,0.8655913978494624,161.0
epilepsy,0.9464285714285714,0.99375,0.9695121951219512,160.0
failure heart,0.9657534246575342,0.986013986013986,0.9757785467128027,143.0
fibroid tumor,0.9939024390243902,1.0,0.9969418960244648,163.0
gastritis,0.9936708860759493,0.9874213836477987,0.9905362776025236,159.0
gastroenteritis,0.9932885906040269,1.0,0.9966329966329966,148.0
glaucoma,1.0,0.926829268292683,0.9620253164556962,123.0
gout,0.9915254237288136,0.9669421487603306,0.9790794979079498,121.0
hepatitis,0.9404761904761905,0.9937106918238994,0.9663608562691132,159.0
hepatitis B,1.0,0.88,0.9361702127659575,75.0
hepatitis C,0.9493670886075949,0.9933774834437086,0.970873786407767,151.0
hyperbilirubinemia,1.0,0.7733333333333333,0.8721804511278195,75.0
hyperglycemia,0.9523809523809523,0.9937888198757764,0.9726443768996961,161.0
hyperlipidemia,0.9851851851851852,0.9300699300699301,0.9568345323741008,143.0
hypertension pulmonary,1.0,0.7333333333333333,0.8461538461538461,75.0
hypertensive disease,0.9655172413793104,0.9859154929577465,0.975609756097561,142.0
hypoglycemia,0.9863013698630136,0.9473684210526315,0.9664429530201343,152.0
infection,0.7393364928909952,1.0,0.8501362397820164,156.0
infection urinary tract,1.0,0.9938650306748467,0.9969230769230769,163.0
kidney failure acute,1.0,0.9105691056910569,0.9531914893617022,123.0
malignant neoplasms ,1.0,0.9862068965517241,0.9930555555555556,145.0
manic disorder,0.9631901840490797,0.9874213836477987,0.9751552795031055,159.0
melanoma,1.0,0.8888888888888888,0.9411764705882353,72.0
neoplasm metastasis,1.0,0.9193548387096774,0.957983193277311,124.0
neuropathy,1.0,0.9516129032258065,0.9752066115702479,124.0
neutropenia,0.9753086419753086,0.9875,0.9813664596273292,160.0
obesity,0.9520958083832335,0.99375,0.9724770642201835,160.0
obesity morbid,0.9873417721518988,0.975,0.9811320754716981,160.0
osteomyelitis,0.96875,0.9935897435897436,0.9810126582278481,156.0
overload fluid,0.861878453038674,0.9811320754716981,0.9176470588235294,159.0
pancreatitis,0.9824561403508771,0.9333333333333333,0.9572649572649573,60.0
paroxysmal dyspnea,0.8685714285714285,1.0,0.9296636085626911,152.0
peripheral vascular disease,0.993006993006993,0.9466666666666667,0.9692832764505119,150.0
pneumothorax,1.0,0.8378378378378378,0.9117647058823529,74.0
pyelonephritis,0.9901960784313726,0.8938053097345132,0.9395348837209302,113.0
schizophrenia,0.963855421686747,0.9937888198757764,0.9785932721712538,161.0
sickle cell anemia,0.993103448275862,0.9664429530201343,0.9795918367346939,149.0
stenosis aortic valve,0.9863013698630136,0.9863013698630136,0.9863013698630136,146.0
tachycardia sinus,0.9285714285714286,0.9811320754716981,0.9541284403669725,159.0
thrombocytopaenia,1.0,0.9459459459459459,0.9722222222222222,74.0
thrombus,0.9928057553956835,0.9324324324324325,0.9616724738675958,148.0
tricuspid valve insufficiency,1.0,0.9747899159663865,0.9872340425531915,119.0
ulcer peptic,0.9696969696969697,0.9937888198757764,0.9815950920245399,161.0
accuracy,0.9593679458239278,0.9593679458239278,0.9593679458239278,0.9593679458239278
macro avg,0.968586179514017,0.9466161834798169,0.9548236745731773,7974.0
weighted avg,0.9641709476521726,0.9593679458239278,0.9595457657761041,7974.0
