,precision,recall,f1-score,support
adenocarcinoma,0.9936708860759493,0.9874213836477987,0.9905362776025236,159.0
adhesion,0.9937106918238994,0.9875,0.9905956112852664,160.0
affect labile,1.0,0.9066666666666666,0.951048951048951,75.0
arthritis,1.0,0.959349593495935,0.979253112033195,123.0
asthma,1.0,0.9295774647887324,0.9635036496350365,71.0
benign prostatic hypertrophy,1.0,0.92,0.9583333333333334,75.0
biliary calculus,0.9864864864864865,1.0,0.9931972789115646,146.0
carcinoma breast,0.9818181818181818,1.0,0.9908256880733946,162.0
chronic obstructive airway disease,0.9831932773109243,0.9831932773109243,0.9831932773109243,119.0
cirrhosis,0.9938650306748467,1.0,0.9969230769230769,162.0
colitis,0.9933774834437086,1.0,0.9966777408637874,150.0
coronary arteriosclerosis,0.9716981132075472,0.9716981132075472,0.9716981132075472,106.0
deep vein thrombosis,0.975609756097561,1.0,0.9876543209876543,160.0
degenerative polyarthritis,1.0,0.9801324503311258,0.9899665551839465,151.0
delirium,0.9935897435897436,0.9810126582278481,0.9872611464968153,158.0
dependence,0.9937106918238994,0.9937106918238994,0.9937106918238994,159.0
effusion pericardial,0.9526627218934911,1.0,0.9757575757575757,161.0
epilepsy,0.9875776397515528,0.99375,0.9906542056074766,160.0
failure heart,0.9727891156462585,1.0,0.9862068965517241,143.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,0.9754601226993865,1.0,0.9875776397515528,159.0
gastroenteritis,1.0,0.9932432432432432,0.9966101694915255,148.0
glaucoma,1.0,0.983739837398374,0.9918032786885246,123.0
gout,0.9916666666666667,0.9834710743801653,0.9875518672199171,121.0
hepatitis,0.9578313253012049,1.0,0.9784615384615385,159.0
hepatitis B,1.0,0.9733333333333334,0.9864864864864865,75.0
hepatitis C,0.993421052631579,1.0,0.9966996699669967,151.0
hyperbilirubinemia,0.9863013698630136,0.96,0.972972972972973,75.0
hyperglycemia,0.9698795180722891,1.0,0.9847094801223242,161.0
hyperlipidemia,1.0,0.972027972027972,0.9858156028368794,143.0
hypertension pulmonary,1.0,0.8933333333333333,0.9436619718309859,75.0
hypertensive disease,1.0,1.0,1.0,142.0
hypoglycemia,0.9867549668874173,0.9802631578947368,0.9834983498349835,152.0
infection,0.9011627906976745,0.9935897435897436,0.9451219512195121,156.0
infection urinary tract,1.0,1.0,1.0,163.0
kidney failure acute,0.9917355371900827,0.975609756097561,0.9836065573770492,123.0
malignant neoplasms ,0.9797297297297297,1.0,0.9897610921501706,145.0
manic disorder,0.9937106918238994,0.9937106918238994,0.9937106918238994,159.0
melanoma,1.0,0.9305555555555556,0.9640287769784173,72.0
neoplasm metastasis,0.991869918699187,0.9838709677419355,0.9878542510121457,124.0
neuropathy,1.0,0.9919354838709677,0.9959514170040485,124.0
neutropenia,0.9937888198757764,1.0,0.9968847352024922,160.0
obesity,0.9875776397515528,0.99375,0.9906542056074766,160.0
obesity morbid,1.0,0.99375,0.9968652037617555,160.0
osteomyelitis,0.9872611464968153,0.9935897435897436,0.9904153354632588,156.0
overload fluid,0.9515151515151515,0.9874213836477987,0.9691358024691358,159.0
pancreatitis,1.0,0.9833333333333333,0.9915966386554622,60.0
paroxysmal dyspnea,0.9559748427672956,1.0,0.977491961414791,152.0
peripheral vascular disease,1.0,0.98,0.98989898989899,150.0
pneumothorax,1.0,0.9864864864864865,0.9931972789115646,74.0
pyelonephritis,1.0,0.9646017699115044,0.9819819819819819,113.0
schizophrenia,0.9757575757575757,1.0,0.9877300613496932,161.0
sickle cell anemia,1.0,0.9798657718120806,0.9898305084745763,149.0
stenosis aortic valve,0.9931506849315068,0.9931506849315068,0.9931506849315068,146.0
tachycardia sinus,0.9875776397515528,1.0,0.99375,159.0
thrombocytopaenia,1.0,0.9459459459459459,0.9722222222222222,74.0
thrombus,0.9930555555555556,0.9662162162162162,0.9794520547945206,148.0
tricuspid valve insufficiency,1.0,0.9915966386554622,0.9957805907172996,119.0
ulcer peptic,0.9937888198757764,0.9937888198757764,0.9937888198757764,161.0
accuracy,0.9865813895159268,0.9865813895159268,0.9865813895159268,0.9865813895159268
macro avg,0.9883513794268599,0.9823083600711382,0.9850289549762734,7974.0
weighted avg,0.9870215705381077,0.9865813895159268,0.9865690087904411,7974.0
