,precision,recall,f1-score,support
adenocarcinoma,1.0,1.0,1.0,159.0
adhesion,1.0,1.0,1.0,160.0
affect labile,1.0,0.9866666666666667,0.9932885906040269,75.0
arthritis,0.991869918699187,0.991869918699187,0.991869918699187,123.0
asthma,1.0,1.0,1.0,71.0
benign prostatic hypertrophy,1.0,0.96,0.9795918367346939,75.0
biliary calculus,1.0,1.0,1.0,146.0
carcinoma breast,0.9878048780487805,1.0,0.9938650306748467,162.0
chronic obstructive airway disease,0.9833333333333333,0.9915966386554622,0.9874476987447699,119.0
cirrhosis,1.0,1.0,1.0,162.0
colitis,1.0,0.9933333333333333,0.9966555183946488,150.0
coronary arteriosclerosis,1.0,0.9905660377358491,0.995260663507109,106.0
deep vein thrombosis,0.9876543209876543,1.0,0.9937888198757764,160.0
degenerative polyarthritis,1.0,0.9933774834437086,0.9966777408637874,151.0
delirium,0.9875,1.0,0.9937106918238994,158.0
dependence,1.0,1.0,1.0,159.0
effusion pericardial,0.975609756097561,0.9937888198757764,0.9846153846153847,161.0
epilepsy,1.0,0.99375,0.9968652037617555,160.0
failure heart,0.9862068965517241,1.0,0.9930555555555556,143.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,0.99375,1.0,0.9968652037617555,159.0
gastroenteritis,1.0,1.0,1.0,148.0
glaucoma,1.0,0.991869918699187,0.9959183673469387,123.0
gout,0.9918032786885246,1.0,0.9958847736625515,121.0
hepatitis,0.9875776397515528,1.0,0.99375,159.0
hepatitis B,1.0,0.9866666666666667,0.9932885906040269,75.0
hepatitis C,1.0,1.0,1.0,151.0
hyperbilirubinemia,1.0,0.9866666666666667,0.9932885906040269,75.0
hyperglycemia,1.0,0.9937888198757764,0.9968847352024922,161.0
hyperlipidemia,1.0,1.0,1.0,143.0
hypertension pulmonary,1.0,0.9866666666666667,0.9932885906040269,75.0
hypertensive disease,1.0,1.0,1.0,142.0
hypoglycemia,1.0,0.9868421052631579,0.9933774834437086,152.0
infection,0.9629629629629629,1.0,0.9811320754716981,156.0
infection urinary tract,0.9939024390243902,1.0,0.9969418960244648,163.0
kidney failure acute,0.9916666666666667,0.967479674796748,0.9794238683127572,123.0
malignant neoplasms ,0.9863945578231292,1.0,0.9931506849315068,145.0
manic disorder,0.99375,1.0,0.9968652037617555,159.0
melanoma,1.0,0.9861111111111112,0.993006993006993,72.0
neoplasm metastasis,1.0,0.9838709677419355,0.991869918699187,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,1.0,0.99375,0.9968652037617555,160.0
obesity,1.0,1.0,1.0,160.0
obesity morbid,1.0,1.0,1.0,160.0
osteomyelitis,1.0,0.9935897435897436,0.9967845659163987,156.0
overload fluid,0.9937106918238994,0.9937106918238994,0.9937106918238994,159.0
pancreatitis,1.0,0.9833333333333333,0.9915966386554622,60.0
paroxysmal dyspnea,0.987012987012987,1.0,0.9934640522875817,152.0
peripheral vascular disease,1.0,0.9933333333333333,0.9966555183946488,150.0
pneumothorax,1.0,1.0,1.0,74.0
pyelonephritis,1.0,0.9911504424778761,0.9955555555555555,113.0
schizophrenia,1.0,0.9937888198757764,0.9968847352024922,161.0
sickle cell anemia,1.0,1.0,1.0,149.0
stenosis aortic valve,1.0,1.0,1.0,146.0
tachycardia sinus,1.0,1.0,1.0,159.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,1.0,0.9864864864864865,0.9931972789115646,148.0
tricuspid valve insufficiency,1.0,1.0,1.0,119.0
ulcer peptic,0.9938271604938271,1.0,0.9969040247678018,161.0
accuracy,0.9957361424630048,0.9957361424630048,0.9957361424630048,0.9957361424630048
macro avg,0.9962091099655285,0.9948144804545482,0.9954787778740762,7974.0
weighted avg,0.9957988116606518,0.9957361424630048,0.9957381229747642,7974.0
