,precision,recall,f1-score,support
adenocarcinoma,0.9875776397515528,1.0,0.99375,159.0
adhesion,0.9869281045751634,0.94375,0.9648562300319489,160.0
affect labile,0.9855072463768116,0.9066666666666666,0.9444444444444444,75.0
arthritis,0.967741935483871,0.975609756097561,0.97165991902834,123.0
asthma,0.8974358974358975,0.9859154929577465,0.9395973154362416,71.0
benign prostatic hypertrophy,1.0,0.9466666666666667,0.9726027397260274,75.0
biliary calculus,0.965034965034965,0.9452054794520548,0.9550173010380623,146.0
carcinoma breast,0.9938271604938271,0.9938271604938271,0.9938271604938271,162.0
chronic obstructive airway disease,0.9754098360655737,1.0,0.9875518672199171,119.0
cirrhosis,0.9700598802395209,1.0,0.9848024316109423,162.0
colitis,0.948051948051948,0.9733333333333334,0.9605263157894737,150.0
coronary arteriosclerosis,0.8869565217391304,0.9622641509433962,0.9230769230769231,106.0
deep vein thrombosis,0.9937888198757764,1.0,0.9968847352024922,160.0
degenerative polyarthritis,0.9738562091503268,0.9867549668874173,0.9802631578947368,151.0
delirium,0.9873417721518988,0.9873417721518988,0.9873417721518988,158.0
dependence,0.9746835443037974,0.9685534591194969,0.9716088328075709,159.0
effusion pericardial,0.9751552795031055,0.9751552795031055,0.9751552795031055,161.0
epilepsy,0.9464285714285714,0.99375,0.9695121951219512,160.0
failure heart,0.9793103448275862,0.993006993006993,0.9861111111111112,143.0
fibroid tumor,1.0,0.9693251533742331,0.9844236760124611,163.0
gastritis,1.0,0.9622641509433962,0.9807692307692307,159.0
gastroenteritis,0.9931506849315068,0.9797297297297297,0.9863945578231292,148.0
glaucoma,0.983739837398374,0.983739837398374,0.983739837398374,123.0
gout,0.9915966386554622,0.9752066115702479,0.9833333333333333,121.0
hepatitis,0.9578313253012049,1.0,0.9784615384615385,159.0
hepatitis B,1.0,0.96,0.9795918367346939,75.0
hepatitis C,0.9933333333333333,0.9867549668874173,0.9900332225913622,151.0
hyperbilirubinemia,0.9859154929577465,0.9333333333333333,0.958904109589041,75.0
hyperglycemia,0.9875,0.9813664596273292,0.9844236760124611,161.0
hyperlipidemia,1.0,0.8741258741258742,0.9328358208955224,143.0
hypertension pulmonary,0.9852941176470589,0.8933333333333333,0.9370629370629371,75.0
hypertensive disease,0.8954248366013072,0.9647887323943662,0.9288135593220339,142.0
hypoglycemia,0.9866666666666667,0.9736842105263158,0.9801324503311258,152.0
infection,0.9176470588235294,1.0,0.9570552147239264,156.0
infection urinary tract,0.9877300613496932,0.9877300613496932,0.9877300613496932,163.0
kidney failure acute,0.991304347826087,0.926829268292683,0.957983193277311,123.0
malignant neoplasms ,0.9863013698630136,0.993103448275862,0.9896907216494846,145.0
manic disorder,0.9814814814814815,1.0,0.9906542056074766,159.0
melanoma,0.9571428571428572,0.9305555555555556,0.9436619718309859,72.0
neoplasm metastasis,0.9919354838709677,0.9919354838709677,0.9919354838709677,124.0
neuropathy,0.9918032786885246,0.9758064516129032,0.983739837398374,124.0
neutropenia,0.9683544303797469,0.95625,0.9622641509433962,160.0
obesity,0.9873417721518988,0.975,0.9811320754716981,160.0
obesity morbid,0.9874213836477987,0.98125,0.9843260188087775,160.0
osteomyelitis,1.0,0.9487179487179487,0.9736842105263158,156.0
overload fluid,0.95625,0.9622641509433962,0.9592476489028213,159.0
pancreatitis,0.9830508474576272,0.9666666666666667,0.9747899159663865,60.0
paroxysmal dyspnea,0.9254658385093167,0.9802631578947368,0.952076677316294,152.0
peripheral vascular disease,0.9662162162162162,0.9533333333333334,0.959731543624161,150.0
pneumothorax,0.972972972972973,0.972972972972973,0.972972972972973,74.0
pyelonephritis,0.9658119658119658,1.0,0.9826086956521739,113.0
schizophrenia,1.0,0.9875776397515528,0.99375,161.0
sickle cell anemia,0.9735099337748344,0.9865771812080537,0.98,149.0
stenosis aortic valve,0.9358974358974359,1.0,0.9668874172185431,146.0
tachycardia sinus,0.987012987012987,0.9559748427672956,0.9712460063897763,159.0
thrombocytopaenia,0.9864864864864865,0.9864864864864865,0.9864864864864865,74.0
thrombus,0.9864864864864865,0.9864864864864865,0.9864864864864865,148.0
tricuspid valve insufficiency,1.0,0.9831932773109243,0.9915254237288136,119.0
ulcer peptic,0.9817073170731707,1.0,0.9907692307692307,161.0
accuracy,0.9746676699272636,0.9746676699272636,0.9746676699272636,0.9746676699272636
macro avg,0.9749979766594421,0.9722784404071462,0.9732194096440477,7974.0
weighted avg,0.9754268186253006,0.9746676699272636,0.974674512030046,7974.0
