,precision,recall,f1-score,support
adenocarcinoma,0.9874213836477987,0.9874213836477987,0.9874213836477987,159.0
adhesion,0.9875,0.9875,0.9875,160.0
affect labile,0.9733333333333334,0.9733333333333334,0.9733333333333334,75.0
arthritis,0.983739837398374,0.983739837398374,0.983739837398374,123.0
asthma,1.0,1.0,1.0,71.0
benign prostatic hypertrophy,0.972972972972973,0.96,0.9664429530201343,75.0
biliary calculus,0.9795918367346939,0.9863013698630136,0.9829351535836177,146.0
carcinoma breast,0.9815950920245399,0.9876543209876543,0.9846153846153847,162.0
chronic obstructive airway disease,0.9831932773109243,0.9831932773109243,0.9831932773109243,119.0
cirrhosis,1.0,1.0,1.0,162.0
colitis,1.0,0.9933333333333333,0.9966555183946488,150.0
coronary arteriosclerosis,1.0,1.0,1.0,106.0
deep vein thrombosis,0.9937106918238994,0.9875,0.9905956112852664,160.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,1.0,1.0,1.0,158.0
dependence,1.0,1.0,1.0,159.0
effusion pericardial,0.9817073170731707,1.0,0.9907692307692307,161.0
epilepsy,0.9875,0.9875,0.9875,160.0
failure heart,0.986013986013986,0.986013986013986,0.986013986013986,143.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,1.0,1.0,159.0
gastroenteritis,1.0,1.0,1.0,148.0
glaucoma,0.9836065573770492,0.975609756097561,0.9795918367346939,123.0
gout,0.9834710743801653,0.9834710743801653,0.9834710743801653,121.0
hepatitis,0.9874213836477987,0.9874213836477987,0.9874213836477987,159.0
hepatitis B,0.9333333333333333,0.9333333333333333,0.9333333333333333,75.0
hepatitis C,0.9801324503311258,0.9801324503311258,0.9801324503311258,151.0
hyperbilirubinemia,1.0,1.0,1.0,75.0
hyperglycemia,1.0,1.0,1.0,161.0
hyperlipidemia,1.0,1.0,1.0,143.0
hypertension pulmonary,0.96,0.96,0.96,75.0
hypertensive disease,0.9577464788732394,0.9577464788732394,0.9577464788732394,142.0
hypoglycemia,0.9802631578947368,0.9802631578947368,0.9802631578947368,152.0
infection,0.9873417721518988,1.0,0.9936305732484076,156.0
infection urinary tract,1.0,1.0,1.0,163.0
kidney failure acute,1.0,1.0,1.0,123.0
malignant neoplasms ,1.0,1.0,1.0,145.0
manic disorder,0.9811320754716981,0.9811320754716981,0.9811320754716981,159.0
melanoma,0.9577464788732394,0.9444444444444444,0.951048951048951,72.0
neoplasm metastasis,1.0,1.0,1.0,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,1.0,1.0,1.0,160.0
obesity,1.0,1.0,1.0,160.0
obesity morbid,1.0,1.0,1.0,160.0
osteomyelitis,1.0,1.0,1.0,156.0
overload fluid,1.0,0.9937106918238994,0.9968454258675079,159.0
pancreatitis,1.0,0.9833333333333333,0.9915966386554622,60.0
paroxysmal dyspnea,1.0,1.0,1.0,152.0
peripheral vascular disease,1.0,1.0,1.0,150.0
pneumothorax,1.0,1.0,1.0,74.0
pyelonephritis,1.0,1.0,1.0,113.0
schizophrenia,1.0,1.0,1.0,161.0
sickle cell anemia,0.9865771812080537,0.9865771812080537,0.9865771812080537,149.0
stenosis aortic valve,0.9863013698630136,0.9863013698630136,0.9863013698630136,146.0
tachycardia sinus,1.0,1.0,1.0,159.0
thrombocytopaenia,1.0,1.0,1.0,74.0
thrombus,1.0,1.0,1.0,148.0
tricuspid valve insufficiency,1.0,1.0,1.0,119.0
ulcer peptic,1.0,1.0,1.0,161.0
accuracy,0.9919739152244795,0.9919739152244795,0.9919739152244795,0.9919739152244795
macro avg,0.9909042888430346,0.9904570775015392,0.9906747050835744,7974.0
weighted avg,0.991977306781636,0.9919739152244795,0.9919705077475548,7974.0
