,precision,recall,f1-score,support
adenocarcinoma,0.98125,0.9874213836477987,0.9843260188087775,159.0
adhesion,0.9575757575757575,0.9875,0.9723076923076923,160.0
affect labile,0.9722222222222222,0.9333333333333333,0.9523809523809523,75.0
arthritis,0.9758064516129032,0.983739837398374,0.979757085020243,123.0
asthma,1.0,1.0,1.0,71.0
benign prostatic hypertrophy,0.972972972972973,0.96,0.9664429530201343,75.0
biliary calculus,0.9795918367346939,0.9863013698630136,0.9829351535836177,146.0
carcinoma breast,0.9876543209876543,0.9876543209876543,0.9876543209876543,162.0
chronic obstructive airway disease,0.9590163934426229,0.9831932773109243,0.970954356846473,119.0
cirrhosis,1.0,0.9938271604938271,0.9969040247678018,162.0
colitis,1.0,1.0,1.0,150.0
coronary arteriosclerosis,1.0,0.9905660377358491,0.995260663507109,106.0
deep vein thrombosis,0.99375,0.99375,0.99375,160.0
degenerative polyarthritis,1.0,1.0,1.0,151.0
delirium,0.9936708860759493,0.9936708860759493,0.9936708860759493,158.0
dependence,1.0,1.0,1.0,159.0
effusion pericardial,0.9877300613496932,1.0,0.9938271604938271,161.0
epilepsy,0.9874213836477987,0.98125,0.9843260188087775,160.0
failure heart,0.986013986013986,0.986013986013986,0.986013986013986,143.0
fibroid tumor,1.0,1.0,1.0,163.0
gastritis,1.0,1.0,1.0,159.0
gastroenteritis,1.0,1.0,1.0,148.0
glaucoma,0.9836065573770492,0.975609756097561,0.9795918367346939,123.0
gout,0.9834710743801653,0.9834710743801653,0.9834710743801653,121.0
hepatitis,0.9751552795031055,0.9874213836477987,0.98125,159.0
hepatitis B,0.9324324324324325,0.92,0.9261744966442953,75.0
hepatitis C,0.9733333333333334,0.9668874172185431,0.9700996677740864,151.0
hyperbilirubinemia,1.0,1.0,1.0,75.0
hyperglycemia,1.0,1.0,1.0,161.0
hyperlipidemia,1.0,1.0,1.0,143.0
hypertension pulmonary,0.96,0.96,0.96,75.0
hypertensive disease,0.9577464788732394,0.9577464788732394,0.9577464788732394,142.0
hypoglycemia,0.98,0.9671052631578947,0.9735099337748344,152.0
infection,0.9872611464968153,0.9935897435897436,0.9904153354632588,156.0
infection urinary tract,1.0,0.9938650306748467,0.9969230769230769,163.0
kidney failure acute,1.0,0.991869918699187,0.9959183673469387,123.0
malignant neoplasms ,1.0,1.0,1.0,145.0
manic disorder,0.975,0.9811320754716981,0.9780564263322884,159.0
melanoma,0.9577464788732394,0.9444444444444444,0.951048951048951,72.0
neoplasm metastasis,0.9918032786885246,0.9758064516129032,0.983739837398374,124.0
neuropathy,1.0,1.0,1.0,124.0
neutropenia,1.0,0.99375,0.9968652037617555,160.0
obesity,0.9937888198757764,1.0,0.9968847352024922,160.0
obesity morbid,0.9937888198757764,1.0,0.9968847352024922,160.0
osteomyelitis,0.9936305732484076,1.0,0.9968051118210862,156.0
overload fluid,0.9937106918238994,0.9937106918238994,0.9937106918238994,159.0
pancreatitis,1.0,0.9833333333333333,0.9915966386554622,60.0
paroxysmal dyspnea,0.993421052631579,0.993421052631579,0.993421052631579,152.0
peripheral vascular disease,1.0,1.0,1.0,150.0
pneumothorax,1.0,1.0,1.0,74.0
pyelonephritis,1.0,1.0,1.0,113.0
schizophrenia,1.0,1.0,1.0,161.0
sickle cell anemia,0.9865771812080537,0.9865771812080537,0.9865771812080537,149.0
stenosis aortic valve,0.986013986013986,0.9657534246575342,0.9757785467128027,146.0
tachycardia sinus,0.99375,1.0,0.9968652037617555,159.0
thrombocytopaenia,1.0,0.972972972972973,0.9863013698630136,74.0
thrombus,1.0,0.9932432432432432,0.9966101694915255,148.0
tricuspid valve insufficiency,0.9754098360655737,1.0,0.9875518672199171,119.0
ulcer peptic,0.9938271604938271,1.0,0.9969040247678018,161.0
accuracy,0.9889641334336594,0.9889641334336594,0.9889641334336594,0.9889641334336594
macro avg,0.9880703466751024,0.9869480089932093,0.9874781913125563,7974.0
weighted avg,0.9889943824146319,0.9889641334336594,0.988953617855728,7974.0
