,precision,recall,f1-score,support
adenocarcinoma,0.5,0.3333333333333333,0.4,12.0
adhesion,0.25,0.5,0.3333333333333333,8.0
affect labile,0.2,1.0,0.3333333333333333,4.0
arthritis,0.0,0.0,0.0,8.0
asthma,0.5,1.0,0.6666666666666666,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.0,0.0,0.0,48.0
carcinoma breast,0.0,0.0,0.0,8.0
chronic obstructive airway disease,0.0,0.0,0.0,20.0
cirrhosis,0.3333333333333333,0.25,0.2857142857142857,16.0
colitis,0.25,0.14285714285714285,0.18181818181818182,28.0
coronary arteriosclerosis,0.0,0.0,0.0,56.0
deep vein thrombosis,0.0,0.0,0.0,8.0
delirium,0.5,0.2,0.2857142857142857,20.0
dependence,0.0,0.0,0.0,8.0
effusion pericardial,0.5,1.0,0.6666666666666666,8.0
epilepsy,0.4,0.6666666666666666,0.5,12.0
failure heart,0.42857142857142855,0.6,0.5,20.0
gastritis,0.25,0.3333333333333333,0.2857142857142857,12.0
gastroenteritis,0.4,0.5,0.4444444444444444,16.0
glaucoma,0.5,0.5,0.5,8.0
gout,0.5,0.75,0.6,16.0
hepatitis,0.3333333333333333,0.3333333333333333,0.3333333333333333,24.0
hyperglycemia,0.42857142857142855,1.0,0.6,12.0
hyperlipidemia,0.3939393939393939,0.7222222222222222,0.5098039215686274,72.0
hypertensive disease,0.3333333333333333,0.29411764705882354,0.3125,68.0
infection,0.5,0.6,0.5454545454545454,20.0
infection urinary tract,0.25,1.0,0.4,4.0
kidney failure acute,0.42857142857142855,0.75,0.5454545454545454,16.0
malignant neoplasms ,0.5,0.25,0.3333333333333333,16.0
manic disorder,0.25,0.3333333333333333,0.2857142857142857,12.0
melanoma,0.5,0.5,0.5,8.0
neutropenia,0.5,0.75,0.6,16.0
obesity,0.3333333333333333,1.0,0.5,4.0
obesity morbid,0.5,0.3333333333333333,0.4,12.0
osteomyelitis,0.0,0.0,0.0,16.0
overload fluid,0.5,0.6666666666666666,0.5714285714285714,12.0
pancreatitis,0.5,0.7,0.5833333333333334,40.0
paroxysmal dyspnea,0.36363636363636365,0.36363636363636365,0.36363636363636365,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.3333333333333333,0.5,0.4,8.0
pyelonephritis,0.3125,0.45454545454545453,0.37037037037037035,44.0
schizophrenia,0.0,0.0,0.0,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.5,0.5,0.5,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.0,0.0,0.0,12.0
tricuspid valve insufficiency,0.1,0.3333333333333333,0.15384615384615385,12.0
accuracy,0.38073394495412843,0.38073394495412843,0.38073394495412843,0.38073394495412843
macro avg,0.2785928481240981,0.3991815034094446,0.3081586300183114,872.0
weighted avg,0.2934461753842488,0.38073394495412843,0.31735861964882467,872.0
