,precision,recall,f1-score,support
adenocarcinoma,0.0,0.0,0.0,12.0
adhesion,0.0,0.0,0.0,8.0
affect labile,0.0,0.0,0.0,4.0
arthritis,0.5,0.5,0.5,8.0
asthma,0.5,0.3333333333333333,0.4,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.5,0.75,0.6,48.0
carcinoma breast,0.5,0.5,0.5,8.0
chronic obstructive airway disease,0.4444444444444444,0.8,0.5714285714285714,20.0
cirrhosis,0.4,0.5,0.4444444444444444,16.0
colitis,0.14285714285714285,0.2857142857142857,0.19047619047619047,28.0
coronary arteriosclerosis,0.375,0.42857142857142855,0.4,56.0
deep vein thrombosis,0.5,0.5,0.5,8.0
delirium,0.5,0.2,0.2857142857142857,20.0
dependence,0.5,1.0,0.6666666666666666,8.0
effusion pericardial,0.0,0.0,0.0,8.0
epilepsy,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.0
failure heart,0.38461538461538464,1.0,0.5555555555555556,20.0
gastritis,0.25,0.3333333333333333,0.2857142857142857,12.0
gastroenteritis,0.3333333333333333,0.25,0.2857142857142857,16.0
glaucoma,0.0,0.0,0.0,8.0
gout,0.25,0.25,0.25,16.0
hepatitis,0.5,0.16666666666666666,0.25,24.0
hyperglycemia,0.4,0.6666666666666666,0.5,12.0
hyperlipidemia,0.38095238095238093,0.4444444444444444,0.41025641025641024,72.0
hypertensive disease,0.4666666666666667,0.4117647058823529,0.4375,68.0
infection,0.3076923076923077,0.8,0.4444444444444444,20.0
infection urinary tract,0.5,1.0,0.6666666666666666,4.0
kidney failure acute,0.42857142857142855,0.75,0.5454545454545454,16.0
malignant neoplasms ,0.5,0.25,0.3333333333333333,16.0
manic disorder,0.5,0.3333333333333333,0.4,12.0
melanoma,0.0,0.0,0.0,8.0
neutropenia,0.5,0.25,0.3333333333333333,16.0
obesity,0.0,0.0,0.0,4.0
obesity morbid,0.0,0.0,0.0,12.0
osteomyelitis,0.5,0.25,0.3333333333333333,16.0
overload fluid,0.5,0.3333333333333333,0.4,12.0
pancreatitis,0.0,0.0,0.0,40.0
paroxysmal dyspnea,0.3333333333333333,0.18181818181818182,0.23529411764705882,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.42105263157894735,0.7272727272727273,0.5333333333333333,44.0
schizophrenia,0.2,0.5,0.2857142857142857,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.5,0.25,0.3333333333333333,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.5,0.6666666666666666,0.5714285714285714,12.0
tricuspid valve insufficiency,0.25,0.3333333333333333,0.2857142857142857,12.0
accuracy,0.38990825688073394,0.38990825688073394,0.38990825688073394,0.38990825688073394
macro avg,0.293788591403723,0.3391580369521546,0.29308724193834484,872.0
weighted avg,0.3429821171371147,0.38990825688073394,0.3428066577992374,872.0
