,precision,recall,f1-score,support
adenocarcinoma,0.0,0.0,0.0,12.0
adhesion,0.0,0.0,0.0,8.0
affect labile,0.0,0.0,0.0,4.0
arthritis,0.25,0.5,0.3333333333333333,8.0
asthma,0.0,0.0,0.0,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.4666666666666667,0.5833333333333334,0.5185185185185185,48.0
carcinoma breast,0.0,0.0,0.0,8.0
chronic obstructive airway disease,0.38461538461538464,1.0,0.5555555555555556,20.0
cirrhosis,0.4,0.5,0.4444444444444444,16.0
colitis,0.16666666666666666,0.2857142857142857,0.21052631578947367,28.0
coronary arteriosclerosis,0.3888888888888889,0.5,0.4375,56.0
deep vein thrombosis,0.0,0.0,0.0,8.0
delirium,0.3076923076923077,0.8,0.4444444444444444,20.0
dependence,0.5,0.5,0.5,8.0
effusion pericardial,0.5,0.5,0.5,8.0
epilepsy,0.5,0.3333333333333333,0.4,12.0
failure heart,0.4444444444444444,0.8,0.5714285714285714,20.0
gastritis,0.25,0.3333333333333333,0.2857142857142857,12.0
gastroenteritis,0.4,0.5,0.4444444444444444,16.0
glaucoma,0.5,0.5,0.5,8.0
gout,0.6,0.75,0.6666666666666666,16.0
hepatitis,0.3333333333333333,0.3333333333333333,0.3333333333333333,24.0
hyperglycemia,0.5,0.3333333333333333,0.4,12.0
hyperlipidemia,0.38461538461538464,0.2777777777777778,0.3225806451612903,72.0
hypertensive disease,0.37037037037037035,0.5882352941176471,0.45454545454545453,68.0
infection,0.5,0.6,0.5454545454545454,20.0
infection urinary tract,0.0,0.0,0.0,4.0
kidney failure acute,0.6666666666666666,0.5,0.5714285714285714,16.0
malignant neoplasms ,0.5,0.5,0.5,16.0
manic disorder,0.5,0.3333333333333333,0.4,12.0
melanoma,0.5,0.5,0.5,8.0
neutropenia,0.5,0.25,0.3333333333333333,16.0
obesity,0.5,1.0,0.6666666666666666,4.0
obesity morbid,0.0,0.0,0.0,12.0
osteomyelitis,0.0,0.0,0.0,16.0
overload fluid,0.5,0.3333333333333333,0.4,12.0
pancreatitis,0.5,0.2,0.2857142857142857,40.0
paroxysmal dyspnea,0.25,0.09090909090909091,0.13333333333333333,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.3,0.5454545454545454,0.3870967741935484,44.0
schizophrenia,0.0,0.0,0.0,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.0,0.0,0.0,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.5,0.3333333333333333,0.4,12.0
tricuspid valve insufficiency,0.25,0.3333333333333333,0.2857142857142857,12.0
accuracy,0.38073394495412843,0.38073394495412843,0.38073394495412843,0.38073394495412843
macro avg,0.2836241690408357,0.321626895707778,0.28607870435871635,872.0
weighted avg,0.33454546642620037,0.38073394495412843,0.33674224443196116,872.0
