,precision,recall,f1-score,support
adenocarcinoma,0.0,0.0,0.0,12.0
adhesion,0.0,0.0,0.0,8.0
affect labile,0.0,0.0,0.0,4.0
arthritis,0.0,0.0,0.0,8.0
asthma,0.375,1.0,0.5454545454545454,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.42857142857142855,0.25,0.3157894736842105,48.0
carcinoma breast,0.0,0.0,0.0,8.0
chronic obstructive airway disease,0.5,0.2,0.2857142857142857,20.0
cirrhosis,0.4,0.5,0.4444444444444444,16.0
colitis,0.0,0.0,0.0,28.0
coronary arteriosclerosis,0.34375,0.7857142857142857,0.4782608695652174,56.0
deep vein thrombosis,0.5,0.5,0.5,8.0
delirium,0.3333333333333333,0.4,0.36363636363636365,20.0
dependence,0.5,0.5,0.5,8.0
effusion pericardial,0.0,0.0,0.0,8.0
epilepsy,0.4,0.6666666666666666,0.5,12.0
failure heart,0.42857142857142855,0.6,0.5,20.0
gastritis,0.2857142857142857,0.6666666666666666,0.4,12.0
gastroenteritis,0.0,0.0,0.0,16.0
glaucoma,0.5,0.5,0.5,8.0
gout,0.6666666666666666,0.5,0.5714285714285714,16.0
hepatitis,0.5,0.16666666666666666,0.25,24.0
hyperglycemia,0.5,0.3333333333333333,0.4,12.0
hyperlipidemia,0.0,0.0,0.0,72.0
hypertensive disease,0.44,0.6470588235294118,0.5238095238095238,68.0
infection,0.09090909090909091,0.2,0.125,20.0
infection urinary tract,0.5,1.0,0.6666666666666666,4.0
kidney failure acute,0.6666666666666666,0.5,0.5714285714285714,16.0
malignant neoplasms ,0.5,0.5,0.5,16.0
manic disorder,0.5,0.3333333333333333,0.4,12.0
melanoma,0.0,0.0,0.0,8.0
neutropenia,0.5,0.25,0.3333333333333333,16.0
obesity,0.0,0.0,0.0,4.0
obesity morbid,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.0
osteomyelitis,0.5,1.0,0.6666666666666666,16.0
overload fluid,0.5,0.3333333333333333,0.4,12.0
pancreatitis,0.5,0.7,0.5833333333333334,40.0
paroxysmal dyspnea,0.5,0.2727272727272727,0.35294117647058826,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.4117647058823529,0.6363636363636364,0.5,44.0
schizophrenia,0.5,1.0,0.6666666666666666,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.4,0.5,0.4444444444444444,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.5,0.3333333333333333,0.4,12.0
tricuspid valve insufficiency,0.14285714285714285,0.6666666666666666,0.23529411764705882,12.0
accuracy,0.38990825688073394,0.38990825688073394,0.38990825688073394,0.38990825688073394
macro avg,0.294732043385536,0.3494832781597488,0.29703429974432966,872.0
weighted avg,0.329692136654495,0.38990825688073394,0.3323236578001718,872.0
