,precision,recall,f1-score,support
adenocarcinoma,0.5,0.3333333333333333,0.4,12.0
adhesion,0.25,0.5,0.3333333333333333,8.0
affect labile,0.0,0.0,0.0,4.0
arthritis,0.0,0.0,0.0,8.0
asthma,0.5,1.0,0.6666666666666666,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.5,0.08333333333333333,0.14285714285714285,48.0
carcinoma breast,0.5,0.5,0.5,8.0
chronic obstructive airway disease,0.0,0.0,0.0,20.0
cirrhosis,0.4,0.5,0.4444444444444444,16.0
colitis,0.5,0.2857142857142857,0.36363636363636365,28.0
coronary arteriosclerosis,0.5,0.07142857142857142,0.125,56.0
deep vein thrombosis,0.5,0.5,0.5,8.0
delirium,0.5,0.2,0.2857142857142857,20.0
dependence,0.0,0.0,0.0,8.0
effusion pericardial,0.5,1.0,0.6666666666666666,8.0
epilepsy,0.4,0.6666666666666666,0.5,12.0
failure heart,0.42857142857142855,0.6,0.5,20.0
gastritis,0.25,0.3333333333333333,0.2857142857142857,12.0
gastroenteritis,0.4,0.5,0.4444444444444444,16.0
glaucoma,0.0,0.0,0.0,8.0
gout,1.0,0.25,0.4,16.0
hepatitis,0.3333333333333333,0.3333333333333333,0.3333333333333333,24.0
hyperglycemia,0.42857142857142855,1.0,0.6,12.0
hyperlipidemia,0.44,0.6111111111111112,0.5116279069767442,72.0
hypertensive disease,0.32,0.47058823529411764,0.38095238095238093,68.0
infection,0.14285714285714285,0.2,0.16666666666666666,20.0
infection urinary tract,0.0,0.0,0.0,4.0
kidney failure acute,0.42857142857142855,0.75,0.5454545454545454,16.0
malignant neoplasms ,0.5,0.25,0.3333333333333333,16.0
manic disorder,0.5,0.6666666666666666,0.5714285714285714,12.0
melanoma,0.5,0.5,0.5,8.0
neutropenia,0.5,0.5,0.5,16.0
obesity,0.3333333333333333,1.0,0.5,4.0
obesity morbid,0.4,0.6666666666666666,0.5,12.0
osteomyelitis,0.5,1.0,0.6666666666666666,16.0
overload fluid,0.5,0.6666666666666666,0.5714285714285714,12.0
pancreatitis,0.5,0.7,0.5833333333333334,40.0
paroxysmal dyspnea,0.42857142857142855,0.2727272727272727,0.3333333333333333,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.21052631578947367,0.36363636363636365,0.26666666666666666,44.0
schizophrenia,0.5,0.5,0.5,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.5,0.5,0.5,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.0,0.0,0.0,12.0
tricuspid valve insufficiency,0.0,0.0,0.0,12.0
accuracy,0.38990825688073394,0.38990825688073394,0.38990825688073394,0.38990825688073394
macro avg,0.32488199665831247,0.38073345499816086,0.32130631131357873,872.0
weighted avg,0.37812179531397305,0.38990825688073394,0.344098895320359,872.0
