,precision,recall,f1-score,support
adenocarcinoma,0.0,0.0,0.0,12.0
adhesion,0.25,0.5,0.3333333333333333,8.0
affect labile,0.0,0.0,0.0,4.0
arthritis,0.0,0.0,0.0,8.0
asthma,0.5,1.0,0.6666666666666666,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.5,0.4166666666666667,0.45454545454545453,48.0
carcinoma breast,0.5,0.5,0.5,8.0
chronic obstructive airway disease,0.4,0.4,0.4,20.0
cirrhosis,0.4,0.5,0.4444444444444444,16.0
colitis,0.16666666666666666,0.2857142857142857,0.21052631578947367,28.0
coronary arteriosclerosis,0.4444444444444444,0.2857142857142857,0.34782608695652173,56.0
deep vein thrombosis,0.5,0.5,0.5,8.0
delirium,0.5,0.2,0.2857142857142857,20.0
dependence,0.3333333333333333,1.0,0.5,8.0
effusion pericardial,0.5,1.0,0.6666666666666666,8.0
epilepsy,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.0
failure heart,0.375,0.6,0.46153846153846156,20.0
gastritis,0.0,0.0,0.0,12.0
gastroenteritis,0.4,0.5,0.4444444444444444,16.0
glaucoma,0.0,0.0,0.0,8.0
gout,0.5,0.25,0.3333333333333333,16.0
hepatitis,0.3333333333333333,0.3333333333333333,0.3333333333333333,24.0
hyperglycemia,0.5,0.6666666666666666,0.5714285714285714,12.0
hyperlipidemia,0.34375,0.6111111111111112,0.44,72.0
hypertensive disease,0.4,0.35294117647058826,0.375,68.0
infection,0.2727272727272727,0.6,0.375,20.0
infection urinary tract,0.0,0.0,0.0,4.0
kidney failure acute,0.42857142857142855,0.75,0.5454545454545454,16.0
malignant neoplasms ,0.375,0.75,0.5,16.0
manic disorder,0.5,0.3333333333333333,0.4,12.0
melanoma,0.5,0.5,0.5,8.0
neutropenia,0.5,0.5,0.5,16.0
obesity,0.5,1.0,0.6666666666666666,4.0
obesity morbid,0.0,0.0,0.0,12.0
osteomyelitis,0.5,0.25,0.3333333333333333,16.0
overload fluid,0.4,0.6666666666666666,0.5,12.0
pancreatitis,0.375,0.3,0.3333333333333333,40.0
paroxysmal dyspnea,0.5,0.18181818181818182,0.26666666666666666,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.38461538461538464,0.45454545454545453,0.4166666666666667,44.0
schizophrenia,0.5,0.5,0.5,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.5,0.25,0.3333333333333333,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.0,0.0,0.0,12.0
tricuspid valve insufficiency,0.25,0.3333333333333333,0.2857142857142857,12.0
accuracy,0.3853211009174312,0.3853211009174312,0.3853211009174312,0.3853211009174312
macro avg,0.3055369832713583,0.36677453809806754,0.3137146575561907,872.0
weighted avg,0.3583795727717746,0.3853211009174312,0.3496767320834669,872.0
