,precision,recall,f1-score,support
adenocarcinoma,0.4,0.6666666666666666,0.5,12.0
adhesion,0.11764705882352941,0.5,0.19047619047619047,8.0
affect labile,0.0,0.0,0.0,4.0
arthritis,0.0,0.0,0.0,8.0
asthma,0.3870967741935484,1.0,0.5581395348837209,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.5,0.08333333333333333,0.14285714285714285,48.0
carcinoma breast,0.0,0.0,0.0,8.0
chronic obstructive airway disease,0.5,0.2,0.2857142857142857,20.0
cirrhosis,0.4,0.5,0.4444444444444444,16.0
colitis,0.0,0.0,0.0,28.0
coronary arteriosclerosis,0.5555555555555556,0.08928571428571429,0.15384615384615385,56.0
deep vein thrombosis,0.0,0.0,0.0,8.0
delirium,0.3333333333333333,0.2,0.25,20.0
dependence,0.2857142857142857,0.5,0.36363636363636365,8.0
effusion pericardial,0.2962962962962963,1.0,0.45714285714285713,8.0
epilepsy,0.0,0.0,0.0,12.0
failure heart,0.41379310344827586,0.6,0.4897959183673469,20.0
gastritis,0.25,0.3333333333333333,0.2857142857142857,12.0
gastroenteritis,0.0,0.0,0.0,16.0
glaucoma,0.5,0.5,0.5,8.0
gout,0.5454545454545454,0.75,0.631578947368421,16.0
hepatitis,0.25,0.16666666666666666,0.2,24.0
hyperglycemia,0.42857142857142855,1.0,0.6,12.0
hyperlipidemia,0.39634146341463417,0.9027777777777778,0.5508474576271186,72.0
hypertensive disease,0.375,0.1323529411764706,0.1956521739130435,68.0
infection,0.5,0.4,0.4444444444444444,20.0
infection urinary tract,0.5,1.0,0.6666666666666666,4.0
kidney failure acute,0.6666666666666666,0.5,0.5714285714285714,16.0
malignant neoplasms ,0.3333333333333333,0.25,0.2857142857142857,16.0
manic disorder,0.25,0.3333333333333333,0.2857142857142857,12.0
melanoma,0.2222222222222222,1.0,0.36363636363636365,8.0
neutropenia,0.5,0.25,0.3333333333333333,16.0
obesity,0.5,1.0,0.6666666666666666,4.0
obesity morbid,0.18181818181818182,0.3333333333333333,0.23529411764705882,12.0
osteomyelitis,0.6,0.375,0.46153846153846156,16.0
overload fluid,0.47058823529411764,0.6666666666666666,0.5517241379310345,12.0
pancreatitis,0.4897959183673469,0.6,0.5393258426966292,40.0
paroxysmal dyspnea,0.4,0.18181818181818182,0.25,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.3898305084745763,0.5227272727272727,0.44660194174757284,44.0
schizophrenia,0.0,0.0,0.0,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.5,0.5,0.5,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.5,0.3333333333333333,0.4,12.0
tricuspid valve insufficiency,0.1,0.3333333333333333,0.15384615384615385,12.0
accuracy,0.3623853211009174,0.3623853211009174,0.3623853211009174,0.3623853211009174
macro avg,0.29248039397878917,0.3688325393288629,0.29074543810422715,872.0
weighted avg,0.35797455434681524,0.3623853211009174,0.3092738197082491,872.0
