,precision,recall,f1-score,support
adenocarcinoma,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.0
adhesion,0.23529411764705882,0.5,0.32,8.0
affect labile,0.0,0.0,0.0,4.0
arthritis,0.2857142857142857,0.5,0.36363636363636365,8.0
asthma,0.5,0.4166666666666667,0.45454545454545453,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.41935483870967744,0.5416666666666666,0.4727272727272727,48.0
carcinoma breast,0.5,0.5,0.5,8.0
chronic obstructive airway disease,0.39473684210526316,0.75,0.5172413793103449,20.0
cirrhosis,0.4,0.5,0.4444444444444444,16.0
colitis,0.22580645161290322,0.25,0.23728813559322035,28.0
coronary arteriosclerosis,0.4146341463414634,0.30357142857142855,0.35051546391752575,56.0
deep vein thrombosis,0.0,0.0,0.0,8.0
delirium,0.27586206896551724,0.4,0.32653061224489793,20.0
dependence,0.5,0.5,0.5,8.0
effusion pericardial,0.34782608695652173,1.0,0.5161290322580645,8.0
epilepsy,0.2857142857142857,0.3333333333333333,0.3076923076923077,12.0
failure heart,0.4,0.8,0.5333333333333333,20.0
gastritis,0.5,0.16666666666666666,0.25,12.0
gastroenteritis,0.0,0.0,0.0,16.0
glaucoma,0.0,0.0,0.0,8.0
gout,0.5,0.3125,0.38461538461538464,16.0
hepatitis,0.39285714285714285,0.4583333333333333,0.4230769230769231,24.0
hyperglycemia,0.5714285714285714,0.3333333333333333,0.42105263157894735,12.0
hyperlipidemia,0.36283185840707965,0.5694444444444444,0.44324324324324327,72.0
hypertensive disease,0.41818181818181815,0.3382352941176471,0.37398373983739835,68.0
infection,0.5,0.25,0.3333333333333333,20.0
infection urinary tract,0.0,0.0,0.0,4.0
kidney failure acute,0.6666666666666666,0.5,0.5714285714285714,16.0
malignant neoplasms ,0.4090909090909091,0.5625,0.47368421052631576,16.0
manic disorder,0.26666666666666666,0.3333333333333333,0.2962962962962963,12.0
melanoma,0.0,0.0,0.0,8.0
neutropenia,0.5,0.0625,0.1111111111111111,16.0
obesity,0.3333333333333333,0.25,0.2857142857142857,4.0
obesity morbid,0.0,0.0,0.0,12.0
osteomyelitis,0.48148148148148145,0.8125,0.6046511627906976,16.0
overload fluid,1.0,0.16666666666666666,0.2857142857142857,12.0
pancreatitis,0.2807017543859649,0.4,0.32989690721649484,40.0
paroxysmal dyspnea,0.41379310344827586,0.2727272727272727,0.3287671232876712,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.4482758620689655,0.5909090909090909,0.5098039215686274,44.0
schizophrenia,0.0,0.0,0.0,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.3333333333333333,0.375,0.35294117647058826,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,1.0,0.08333333333333333,0.15384615384615385,12.0
tricuspid valve insufficiency,0.08695652173913043,0.16666666666666666,0.11428571428571428,12.0
accuracy,0.3738532110091743,0.3738532110091743,0.3738532110091743,0.3738532110091743
macro avg,0.312164072503951,0.30485876800215034,0.2755179856037209,872.0
weighted avg,0.3643272900227336,0.3738532110091743,0.34173401799276937,872.0
