,precision,recall,f1-score,support
adenocarcinoma,0.14634146341463414,0.5,0.22641509433962265,12.0
adhesion,0.2222222222222222,0.25,0.23529411764705882,8.0
affect labile,0.0,0.0,0.0,4.0
arthritis,0.4444444444444444,0.5,0.47058823529411764,8.0
asthma,0.5294117647058824,0.75,0.6206896551724138,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.4406779661016949,0.5416666666666666,0.48598130841121495,48.0
carcinoma breast,0.0,0.0,0.0,8.0
chronic obstructive airway disease,0.4166666666666667,0.25,0.3125,20.0
cirrhosis,0.5,0.25,0.3333333333333333,16.0
colitis,0.3333333333333333,0.17857142857142858,0.23255813953488372,28.0
coronary arteriosclerosis,0.44680851063829785,0.375,0.4077669902912621,56.0
deep vein thrombosis,0.16666666666666666,0.125,0.14285714285714285,8.0
delirium,0.3076923076923077,0.4,0.34782608695652173,20.0
dependence,0.4444444444444444,0.5,0.47058823529411764,8.0
effusion pericardial,0.5714285714285714,0.5,0.5333333333333333,8.0
epilepsy,1.0,0.16666666666666666,0.2857142857142857,12.0
failure heart,0.4,0.7,0.509090909090909,20.0
gastritis,0.0,0.0,0.0,12.0
gastroenteritis,0.36363636363636365,0.25,0.2962962962962963,16.0
glaucoma,0.5,0.5,0.5,8.0
gout,0.6923076923076923,0.5625,0.6206896551724138,16.0
hepatitis,0.5,0.16666666666666666,0.25,24.0
hyperglycemia,0.5714285714285714,0.3333333333333333,0.42105263157894735,12.0
hyperlipidemia,0.3125,0.2777777777777778,0.29411764705882354,72.0
hypertensive disease,0.3783783783783784,0.6176470588235294,0.4692737430167598,68.0
infection,0.2857142857142857,0.7,0.4057971014492754,20.0
infection urinary tract,0.5,1.0,0.6666666666666666,4.0
kidney failure acute,0.6666666666666666,0.5,0.5714285714285714,16.0
malignant neoplasms ,0.25,0.0625,0.1,16.0
manic disorder,0.26666666666666666,0.3333333333333333,0.2962962962962963,12.0
melanoma,0.5,0.5,0.5,8.0
neutropenia,0.3333333333333333,0.5,0.4,16.0
obesity,0.5,0.25,0.3333333333333333,4.0
obesity morbid,0.3888888888888889,0.5833333333333334,0.4666666666666667,12.0
osteomyelitis,0.5,0.5625,0.5294117647058824,16.0
overload fluid,0.0,0.0,0.0,12.0
pancreatitis,0.42857142857142855,0.45,0.43902439024390244,40.0
paroxysmal dyspnea,0.5217391304347826,0.2727272727272727,0.3582089552238806,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.4318181818181818,0.4318181818181818,0.4318181818181818,44.0
schizophrenia,0.0,0.0,0.0,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.5,0.4375,0.4666666666666667,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.5,0.3333333333333333,0.4,12.0
tricuspid valve insufficiency,0.2,0.3333333333333333,0.25,12.0
accuracy,0.3738532110091743,0.3738532110091743,0.3738532110091743,0.3738532110091743
macro avg,0.3429539156167585,0.3321918413830178,0.31419344656026627,872.0
weighted avg,0.38298088310224,0.3738532110091743,0.35676117378923994,872.0
