,precision,recall,f1-score,support
adenocarcinoma,0.0,0.0,0.0,12.0
adhesion,0.0,0.0,0.0,8.0
affect labile,0.0,0.0,0.0,4.0
arthritis,0.0,0.0,0.0,8.0
asthma,0.0,0.0,0.0,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.3684210526315789,0.5833333333333334,0.45161290322580644,48.0
carcinoma breast,0.5,0.5,0.5,8.0
chronic obstructive airway disease,0.45454545454545453,1.0,0.625,20.0
cirrhosis,0.3333333333333333,0.25,0.2857142857142857,16.0
colitis,0.2608695652173913,0.8571428571428571,0.4,28.0
coronary arteriosclerosis,0.42857142857142855,0.21428571428571427,0.2857142857142857,56.0
deep vein thrombosis,0.0,0.0,0.0,8.0
delirium,0.36363636363636365,0.8,0.5,20.0
dependence,0.0,0.0,0.0,8.0
effusion pericardial,0.5,1.0,0.6666666666666666,8.0
epilepsy,0.5,0.3333333333333333,0.4,12.0
failure heart,0.3333333333333333,0.2,0.25,20.0
gastritis,0.2857142857142857,0.6666666666666666,0.4,12.0
gastroenteritis,0.5,0.25,0.3333333333333333,16.0
glaucoma,0.0,0.0,0.0,8.0
gout,0.5,0.5,0.5,16.0
hepatitis,0.25,0.16666666666666666,0.2,24.0
hyperglycemia,0.5,0.3333333333333333,0.4,12.0
hyperlipidemia,0.37142857142857144,0.7222222222222222,0.49056603773584906,72.0
hypertensive disease,0.42857142857142855,0.35294117647058826,0.3870967741935484,68.0
infection,0.0,0.0,0.0,20.0
infection urinary tract,0.5,1.0,0.6666666666666666,4.0
kidney failure acute,0.6666666666666666,0.5,0.5714285714285714,16.0
malignant neoplasms ,0.4444444444444444,1.0,0.6153846153846154,16.0
manic disorder,0.5,0.6666666666666666,0.5714285714285714,12.0
melanoma,0.5,0.5,0.5,8.0
neutropenia,0.5,0.75,0.6,16.0
obesity,0.5,1.0,0.6666666666666666,4.0
obesity morbid,0.0,0.0,0.0,12.0
osteomyelitis,0.5,0.75,0.6,16.0
overload fluid,0.3333333333333333,0.6666666666666666,0.4444444444444444,12.0
pancreatitis,0.5,0.1,0.16666666666666666,40.0
paroxysmal dyspnea,0.42857142857142855,0.2727272727272727,0.3333333333333333,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.5,0.09090909090909091,0.15384615384615385,44.0
schizophrenia,0.0,0.0,0.0,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.5,0.5,0.5,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.5,0.3333333333333333,0.4,12.0
tricuspid valve insufficiency,0.25,0.3333333333333333,0.2857142857142857,12.0
accuracy,0.38990825688073394,0.38990825688073394,0.38990825688073394,0.38990825688073394
macro avg,0.2916966810416467,0.3581992013977308,0.2948184221284115,872.0
weighted avg,0.35355665259775854,0.38990825688073394,0.3308518417420096,872.0
