,precision,recall,f1-score,support
adenocarcinoma,0.0,0.0,0.0,12.0
adhesion,0.0,0.0,0.0,8.0
affect labile,0.0,0.0,0.0,4.0
arthritis,0.0,0.0,0.0,8.0
asthma,0.42857142857142855,1.0,0.6,12.0
benign prostatic hypertrophy,0.5,1.0,0.6666666666666666,4.0
biliary calculus,0.47619047619047616,0.8333333333333334,0.6060606060606061,48.0
carcinoma breast,0.5,0.5,0.5,8.0
chronic obstructive airway disease,0.4,0.4,0.4,20.0
cirrhosis,0.4,0.5,0.4444444444444444,16.0
colitis,0.4444444444444444,0.5714285714285714,0.5,28.0
coronary arteriosclerosis,0.5,0.14285714285714285,0.2222222222222222,56.0
deep vein thrombosis,0.0,0.0,0.0,8.0
delirium,0.5,0.4,0.4444444444444444,20.0
dependence,0.5,0.5,0.5,8.0
effusion pericardial,0.5,1.0,0.6666666666666666,8.0
epilepsy,0.4,0.6666666666666666,0.5,12.0
failure heart,0.4,0.8,0.5333333333333333,20.0
gastritis,0.25,0.3333333333333333,0.2857142857142857,12.0
gastroenteritis,0.3333333333333333,0.25,0.2857142857142857,16.0
glaucoma,0.0,0.0,0.0,8.0
gout,0.6666666666666666,0.5,0.5714285714285714,16.0
hepatitis,0.3333333333333333,0.3333333333333333,0.3333333333333333,24.0
hyperglycemia,0.5,0.3333333333333333,0.4,12.0
hyperlipidemia,0.375,1.0,0.5454545454545454,72.0
hypertensive disease,0.5,0.11764705882352941,0.19047619047619047,68.0
infection,0.14285714285714285,0.2,0.16666666666666666,20.0
infection urinary tract,0.0,0.0,0.0,4.0
kidney failure acute,0.42857142857142855,0.75,0.5454545454545454,16.0
malignant neoplasms ,0.5,0.25,0.3333333333333333,16.0
manic disorder,0.5,0.6666666666666666,0.5714285714285714,12.0
melanoma,0.5,0.5,0.5,8.0
neutropenia,0.5,0.25,0.3333333333333333,16.0
obesity,0.0,0.0,0.0,4.0
obesity morbid,0.0,0.0,0.0,12.0
osteomyelitis,0.5,1.0,0.6666666666666666,16.0
overload fluid,0.5,0.6666666666666666,0.5714285714285714,12.0
pancreatitis,0.5,0.1,0.16666666666666666,40.0
paroxysmal dyspnea,0.0,0.0,0.0,44.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.1875,0.2727272727272727,0.2222222222222222,44.0
schizophrenia,0.0,0.0,0.0,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.5,0.75,0.6,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.5,0.3333333333333333,0.4,12.0
tricuspid valve insufficiency,0.25,0.3333333333333333,0.2857142857142857,12.0
accuracy,0.39908256880733944,0.39908256880733944,0.39908256880733944,0.39908256880733944
macro avg,0.3003430886243386,0.3594720842882608,0.3033098845598845,872.0
weighted avg,0.35390909421872724,0.39908256880733944,0.3290725075128744,872.0
