,precision,recall,f1-score,support
adenocarcinoma,0.5,0.3333333333333333,0.4,12.0
adhesion,0.0,0.0,0.0,8.0
affect labile,0.0,0.0,0.0,8.0
arthritis,0.0,0.0,0.0,8.0
asthma,0.0,0.0,0.0,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.14285714285714285,0.16666666666666666,0.15384615384615385,48.0
carcinoma breast,0.0,0.0,0.0,8.0
chronic obstructive airway disease,0.2727272727272727,1.0,0.42857142857142855,12.0
cirrhosis,0.4,0.3333333333333333,0.36363636363636365,24.0
colitis,0.14285714285714285,0.14285714285714285,0.14285714285714285,28.0
coronary arteriosclerosis,0.375,0.6428571428571429,0.47368421052631576,56.0
deep vein thrombosis,0.0,0.0,0.0,8.0
delirium,0.18181818181818182,0.5,0.26666666666666666,16.0
dependence,0.25,1.0,0.4,4.0
effusion pericardial,0.5,0.5,0.5,8.0
epilepsy,0.0,0.0,0.0,12.0
failure heart,0.5,0.42857142857142855,0.46153846153846156,28.0
gastritis,0.3333333333333333,0.25,0.2857142857142857,16.0
gastroenteritis,0.0,0.0,0.0,20.0
glaucoma,0.5,0.25,0.3333333333333333,16.0
gout,0.6666666666666666,0.5,0.5714285714285714,16.0
hepatitis,0.5,0.3333333333333333,0.4,24.0
hyperglycemia,0.0,0.0,0.0,16.0
hyperlipidemia,0.5,0.06666666666666667,0.11764705882352941,60.0
hypertensive disease,0.4,0.8235294117647058,0.5384615384615384,68.0
infection,0.5,0.2857142857142857,0.36363636363636365,28.0
infection urinary tract,0.5,1.0,0.6666666666666666,4.0
kidney failure acute,0.3333333333333333,0.5,0.4,8.0
malignant neoplasms ,0.14285714285714285,1.0,0.25,4.0
manic disorder,0.5,0.6666666666666666,0.5714285714285714,12.0
melanoma,0.0,0.0,0.0,12.0
neutropenia,0.0,0.0,0.0,20.0
obesity,0.0,0.0,0.0,4.0
obesity morbid,0.0,0.0,0.0,12.0
osteomyelitis,0.3333333333333333,0.5,0.4,16.0
overload fluid,0.0,0.0,0.0,12.0
pancreatitis,0.24,0.75,0.36363636363636365,32.0
paroxysmal dyspnea,0.4,0.16666666666666666,0.23529411764705882,48.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.35294117647058826,0.6,0.4444444444444444,40.0
schizophrenia,0.0,0.0,0.0,8.0
sickle cell anemia,0.0,0.0,0.0,4.0
stenosis aortic valve,0.5,0.5,0.5,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.5,0.3333333333333333,0.4,12.0
tricuspid valve insufficiency,0.25,0.3333333333333333,0.2857142857142857,12.0
accuracy,0.3348623853211009,0.3348623853211009,0.3348623853211009,0.3348623853211009
macro avg,0.22328593179696118,0.28972630718954245,0.22329595892869883,872.0
weighted avg,0.29175233562983155,0.3348623853211009,0.27400813075891894,872.0
