,precision,recall,f1-score,support
adenocarcinoma,0.0,0.0,0.0,12.0
adhesion,0.0,0.0,0.0,8.0
affect labile,0.0,0.0,0.0,8.0
arthritis,0.0,0.0,0.0,8.0
asthma,0.5,0.3333333333333333,0.4,12.0
benign prostatic hypertrophy,0.0,0.0,0.0,4.0
biliary calculus,0.5,0.25,0.3333333333333333,48.0
carcinoma breast,0.5,0.5,0.5,8.0
chronic obstructive airway disease,0.2857142857142857,0.6666666666666666,0.4,12.0
cirrhosis,0.3333333333333333,0.16666666666666666,0.2222222222222222,24.0
colitis,0.375,0.42857142857142855,0.4,28.0
coronary arteriosclerosis,0.36363636363636365,0.2857142857142857,0.32,56.0
deep vein thrombosis,0.0,0.0,0.0,8.0
delirium,0.5,0.5,0.5,16.0
dependence,0.25,1.0,0.4,4.0
effusion pericardial,0.5,0.5,0.5,8.0
epilepsy,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.0
failure heart,0.3,0.42857142857142855,0.35294117647058826,28.0
gastritis,0.5,0.5,0.5,16.0
gastroenteritis,0.4,0.4,0.4,20.0
glaucoma,0.0,0.0,0.0,16.0
gout,0.42857142857142855,0.75,0.5454545454545454,16.0
hepatitis,0.3333333333333333,0.3333333333333333,0.3333333333333333,24.0
hyperglycemia,0.5,0.5,0.5,16.0
hyperlipidemia,0.34375,0.7333333333333333,0.46808510638297873,60.0
hypertensive disease,0.38461538461538464,0.29411764705882354,0.3333333333333333,68.0
infection,0.3076923076923077,0.5714285714285714,0.4,28.0
infection urinary tract,0.0,0.0,0.0,4.0
kidney failure acute,0.14285714285714285,0.5,0.2222222222222222,8.0
malignant neoplasms ,0.0,0.0,0.0,4.0
manic disorder,0.0,0.0,0.0,12.0
melanoma,0.0,0.0,0.0,12.0
neutropenia,0.5,0.2,0.2857142857142857,20.0
obesity,0.0,0.0,0.0,4.0
obesity morbid,0.5,0.3333333333333333,0.4,12.0
osteomyelitis,0.5,0.25,0.3333333333333333,16.0
overload fluid,0.0,0.0,0.0,12.0
pancreatitis,0.3,0.375,0.3333333333333333,32.0
paroxysmal dyspnea,0.5,0.3333333333333333,0.4,48.0
peripheral vascular disease,0.0,0.0,0.0,8.0
pneumothorax,0.0,0.0,0.0,8.0
pyelonephritis,0.42857142857142855,0.3,0.35294117647058826,40.0
schizophrenia,0.5,0.5,0.5,8.0
sickle cell anemia,0.1,1.0,0.18181818181818182,4.0
stenosis aortic valve,0.5,0.25,0.3333333333333333,16.0
tachycardia sinus,0.0,0.0,0.0,12.0
thrombus,0.5,0.3333333333333333,0.4,12.0
tricuspid valve insufficiency,0.0,0.0,0.0,12.0
accuracy,0.3302752293577982,0.3302752293577982,0.3302752293577982,0.3302752293577982
macro avg,0.25855017378454875,0.2885431255835667,0.24759858854351968,872.0
weighted avg,0.33283176112877944,0.3302752293577982,0.3104186337877535,872.0
