,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.9473684210526315,0.972972972972973,38.0
affect labile,1.0,0.9868421052631579,0.9933774834437086,76.0
aphasia,1.0,0.9736842105263158,0.9866666666666667,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
biliary calculus,0.9831932773109243,0.9527687296416938,0.967741935483871,614.0
carcinoma breast,0.9951377633711507,1.0,0.9975629569455727,614.0
carcinoma colon,0.9991868265907705,1.0,0.9995932479153956,4915.0
carcinoma of lung,0.9997964997964998,0.9995930824008138,0.9996947807508394,4915.0
cirrhosis,0.988673139158576,0.995114006514658,0.9918831168831169,614.0
colitis,0.9878345498783455,0.99185667752443,0.9898415278342138,1228.0
decubitus ulcer,1.0,1.0,1.0,2.0
deep vein thrombosis,0.9885807504078303,0.9869706840390879,0.9877750611246944,614.0
effusion pericardial,0.9983606557377049,0.99185667752443,0.9950980392156863,614.0
failure heart congestive,0.5,0.7368421052631579,0.5957446808510638,19.0
gastritis,0.993431855500821,0.9853420195439739,0.9893704006541292,614.0
hepatitis,0.9885807504078303,0.9869706840390879,0.9877750611246944,614.0
hepatitis B,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
hyperbilirubinemia,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperglycemia,0.9934533551554828,0.988599348534202,0.9910204081632653,614.0
hypertension pulmonary,0.974025974025974,0.9868421052631579,0.9803921568627451,76.0
hypertensive disease,0.9927007299270073,0.996742671009772,0.9947175944737912,1228.0
infection,0.9819376026272578,0.9739413680781759,0.9779231398201145,614.0
kidney disease,1.0,1.0,1.0,9.0
melanoma,0.961038961038961,0.9736842105263158,0.9673202614379085,76.0
migraine disorders,0.9047619047619048,1.0,0.95,19.0
osteomyelitis,0.9772357723577236,0.9788273615635179,0.9780309194467046,614.0
pancreatitis,0.7551020408163265,0.9736842105263158,0.8505747126436781,76.0
pancytopenia,0.926829268292683,1.0,0.9620253164556962,38.0
paroxysmal dyspnea,0.9867109634551495,0.9674267100977199,0.9769736842105263,614.0
pneumothorax,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
pyelonephritis,0.9342105263157895,0.9281045751633987,0.9311475409836065,153.0
thrombocytopaenia,0.9615384615384616,0.9868421052631579,0.974025974025974,76.0
tricuspid valve insufficiency,0.9865771812080537,0.9607843137254902,0.9735099337748344,153.0
accuracy,0.9914154620356209,0.9914154620356209,0.9914154620356209,0.9914154620356209
macro avg,0.9611750423900051,0.9748654477997036,0.9667787903650319,20269.0
weighted avg,0.9919015327527845,0.9914154620356209,0.9915630976045774,20269.0
