,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.9473684210526315,0.972972972972973,38.0
affect labile,1.0,0.9868421052631579,0.9933774834437086,76.0
aphasia,1.0,1.0,1.0,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
biliary calculus,0.9864176570458404,0.9462540716612378,0.9659185369908562,614.0
carcinoma breast,0.9983739837398374,1.0,0.9991863303498779,614.0
carcinoma colon,0.9979695431472081,1.0,0.9989837398373984,4915.0
carcinoma of lung,0.9991864958307911,0.9995930824008138,0.9993897477624084,4915.0
cirrhosis,0.988673139158576,0.995114006514658,0.9918831168831169,614.0
colitis,0.9870340356564019,0.99185667752443,0.9894394800974817,1228.0
decubitus ulcer,1.0,1.0,1.0,2.0
deep vein thrombosis,0.9918166939443536,0.9869706840390879,0.9893877551020408,614.0
effusion pericardial,0.9983606557377049,0.99185667752443,0.9950980392156863,614.0
failure heart congestive,0.5,0.7894736842105263,0.6122448979591837,19.0
gastritis,0.9967051070840197,0.9853420195439739,0.990990990990991,614.0
hepatitis,0.9918166939443536,0.9869706840390879,0.9893877551020408,614.0
hepatitis B,1.0,0.9868421052631579,0.9933774834437086,76.0
hyperbilirubinemia,0.9866666666666667,0.9736842105263158,0.9801324503311258,76.0
hyperglycemia,0.9950738916256158,0.9869706840390879,0.9910057236304171,614.0
hypertension pulmonary,0.9493670886075949,0.9868421052631579,0.967741935483871,76.0
hypertensive disease,0.9935064935064936,0.996742671009772,0.9951219512195122,1228.0
infection,0.9819078947368421,0.9723127035830619,0.9770867430441899,614.0
kidney disease,1.0,1.0,1.0,9.0
melanoma,0.961038961038961,0.9736842105263158,0.9673202614379085,76.0
migraine disorders,0.9047619047619048,1.0,0.95,19.0
osteomyelitis,0.9756888168557536,0.9804560260586319,0.9780666125101544,614.0
pancreatitis,0.7524752475247525,1.0,0.8587570621468926,76.0
pancytopenia,0.9047619047619048,1.0,0.95,38.0
paroxysmal dyspnea,0.988313856427379,0.9641693811074918,0.9760923330585326,614.0
pneumothorax,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
pyelonephritis,0.9290322580645162,0.9411764705882353,0.935064935064935,153.0
thrombocytopaenia,0.974025974025974,0.9868421052631579,0.9803921568627451,76.0
tricuspid valve insufficiency,1.0,0.9607843137254902,0.98,153.0
accuracy,0.9913661256105383,0.9913661256105383,0.9913661256105383,0.9913661256105383
macro avg,0.960799573241448,0.9780105772659913,0.9677244418016926,20269.0
weighted avg,0.991964270381678,0.9913661256105383,0.9915344130875663,20269.0
