,precision,recall,f1-score,support
accident cerebrovascular,0.9722222222222222,0.9210526315789473,0.9459459459459459,38.0
affect labile,1.0,0.9868421052631579,0.9933774834437086,76.0
aphasia,1.0,1.0,1.0,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
biliary calculus,0.9982758620689656,0.9429967426710097,0.9698492462311558,614.0
carcinoma breast,1.0,0.990228013029316,0.9950900163666121,614.0
carcinoma colon,1.0,0.9971515768056969,0.9985737571312143,4915.0
carcinoma of lung,1.0,0.997558494404883,0.9987777551436138,4915.0
cirrhosis,0.9983579638752053,0.990228013029316,0.9942763695829926,614.0
colitis,1.0,0.991042345276873,0.9955010224948875,1228.0
decubitus ulcer,1.0,1.0,1.0,2.0
deep vein thrombosis,0.9967051070840197,0.9853420195439739,0.990990990990991,614.0
effusion pericardial,1.0,0.9837133550488599,0.9917898193760263,614.0
failure heart congestive,0.37254901960784315,1.0,0.5428571428571428,19.0
gastritis,1.0,0.9755700325732899,0.9876339653751031,614.0
hepatitis,0.9983471074380166,0.9837133550488599,0.9909762100082035,614.0
hepatitis B,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperbilirubinemia,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperglycemia,1.0,0.9853420195439739,0.992616899097621,614.0
hypertension pulmonary,1.0,0.9868421052631579,0.9933774834437086,76.0
hypertensive disease,1.0,0.99185667752443,0.9959116925592805,1228.0
infection,0.9820846905537459,0.9820846905537459,0.9820846905537459,614.0
kidney disease,0.4090909090909091,1.0,0.5806451612903226,9.0
melanoma,0.9493670886075949,0.9868421052631579,0.967741935483871,76.0
migraine disorders,0.2878787878787879,1.0,0.4470588235294118,19.0
osteomyelitis,0.996661101836394,0.9723127035830619,0.9843363561417972,614.0
pancreatitis,0.4662576687116564,1.0,0.6359832635983264,76.0
pancytopenia,0.9743589743589743,1.0,0.987012987012987,38.0
paroxysmal dyspnea,1.0,0.9609120521172638,0.9800664451827242,614.0
pneumothorax,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
pyelonephritis,0.9192546583850931,0.9673202614379085,0.9426751592356688,153.0
thrombocytopaenia,0.9375,0.9868421052631579,0.9615384615384616,76.0
tricuspid valve insufficiency,1.0,0.9607843137254902,0.98,153.0
accuracy,0.9888499679313237,0.9888499679313237,0.9888499679313237,0.9888499679313237
macro avg,0.9174447555304477,0.9825928431152339,0.9333597924489602,20269.0
weighted avg,0.9942043821430326,0.9888499679313237,0.990718967587872,20269.0
