,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.9736842105263158,0.9866666666666667,38.0
affect labile,1.0,0.9868421052631579,0.9933774834437086,76.0
aphasia,1.0,1.0,1.0,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
biliary calculus,0.9847972972972973,0.9495114006514658,0.966832504145937,614.0
carcinoma breast,0.9951298701298701,0.998371335504886,0.9967479674796748,614.0
carcinoma colon,0.9991868265907705,1.0,0.9995932479153956,4915.0
carcinoma of lung,0.9997964997964998,0.9995930824008138,0.9996947807508394,4915.0
cirrhosis,0.988673139158576,0.995114006514658,0.9918831168831169,614.0
colitis,0.9886455798864558,0.992671009771987,0.9906542056074766,1228.0
decubitus ulcer,1.0,1.0,1.0,2.0
deep vein thrombosis,0.9901960784313726,0.9869706840390879,0.9885807504078303,614.0
effusion pericardial,0.9983606557377049,0.99185667752443,0.9950980392156863,614.0
failure heart congestive,0.4827586206896552,0.7368421052631579,0.5833333333333334,19.0
gastritis,0.993431855500821,0.9853420195439739,0.9893704006541292,614.0
hepatitis,0.9869706840390879,0.9869706840390879,0.9869706840390879,614.0
hepatitis B,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
hyperbilirubinemia,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperglycemia,0.9934533551554828,0.988599348534202,0.9910204081632653,614.0
hypertension pulmonary,0.974025974025974,0.9868421052631579,0.9803921568627451,76.0
hypertensive disease,0.9919093851132686,0.998371335504886,0.9951298701298701,1228.0
infection,0.9787234042553191,0.9739413680781759,0.976326530612245,614.0
kidney disease,1.0,1.0,1.0,9.0
melanoma,0.9605263157894737,0.9605263157894737,0.9605263157894737,76.0
migraine disorders,0.9047619047619048,1.0,0.95,19.0
osteomyelitis,0.9771986970684039,0.9771986970684039,0.9771986970684039,614.0
pancreatitis,0.7326732673267327,0.9736842105263158,0.8361581920903954,76.0
pancytopenia,0.926829268292683,1.0,0.9620253164556962,38.0
paroxysmal dyspnea,0.9899665551839465,0.9641693811074918,0.976897689768977,614.0
pneumothorax,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
pyelonephritis,0.9337748344370861,0.9215686274509803,0.9276315789473685,153.0
thrombocytopaenia,0.9615384615384616,0.9868421052631579,0.974025974025974,76.0
tricuspid valve insufficiency,0.9865771812080537,0.9607843137254902,0.9735099337748344,153.0
accuracy,0.991267452760373,0.991267452760373,0.991267452760373,0.991267452760373
macro avg,0.9600281865586426,0.9756186462194123,0.9663930924258161,20269.0
weighted avg,0.9918458951930224,0.991267452760373,0.9914422018893105,20269.0
