,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.9736842105263158,0.9866666666666667,38.0
affect labile,1.0,0.9868421052631579,0.9933774834437086,76.0
aphasia,1.0,1.0,1.0,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
biliary calculus,0.9897959183673469,0.9478827361563518,0.9683860232945092,614.0
carcinoma breast,0.998371335504886,0.998371335504886,0.998371335504886,614.0
carcinoma colon,0.9987807356228409,1.0,0.9993899959333062,4915.0
carcinoma of lung,0.9995930824008138,0.9995930824008138,0.9995930824008138,4915.0
cirrhosis,0.9870759289176091,0.995114006514658,0.9910786699107867,614.0
colitis,0.991042345276873,0.991042345276873,0.991042345276873,1228.0
decubitus ulcer,1.0,1.0,1.0,2.0
deep vein thrombosis,0.9918166939443536,0.9869706840390879,0.9893877551020408,614.0
effusion pericardial,0.9983606557377049,0.99185667752443,0.9950980392156863,614.0
failure heart congestive,0.53125,0.8947368421052632,0.6666666666666666,19.0
gastritis,1.0,0.9853420195439739,0.992616899097621,614.0
hepatitis,0.9918300653594772,0.988599348534202,0.9902120717781403,614.0
hepatitis B,1.0,0.9868421052631579,0.9933774834437086,76.0
hyperbilirubinemia,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperglycemia,0.9950819672131147,0.988599348534202,0.9918300653594772,614.0
hypertension pulmonary,0.9493670886075949,0.9868421052631579,0.967741935483871,76.0
hypertensive disease,0.9903147699757869,0.999185667752443,0.9947304418321848,1228.0
infection,0.980327868852459,0.9739413680781759,0.9771241830065359,614.0
kidney disease,1.0,1.0,1.0,9.0
melanoma,0.948051948051948,0.9605263157894737,0.954248366013072,76.0
migraine disorders,0.9047619047619048,1.0,0.95,19.0
osteomyelitis,0.9772357723577236,0.9788273615635179,0.9780309194467046,614.0
pancreatitis,0.7102803738317757,1.0,0.8306010928961749,76.0
pancytopenia,0.9047619047619048,1.0,0.95,38.0
paroxysmal dyspnea,0.9966216216216216,0.9609120521172638,0.978441127694859,614.0
pneumothorax,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
pyelonephritis,0.9182389937106918,0.954248366013072,0.9358974358974359,153.0
thrombocytopaenia,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
tricuspid valve insufficiency,0.9865771812080537,0.9607843137254902,0.9735099337748344,153.0
accuracy,0.991662144161034,0.991662144161034,0.991662144161034,0.991662144161034
macro avg,0.9606056114019246,0.9819259188116244,0.9689746858054759,20269.0
weighted avg,0.9924516753645426,0.991662144161034,0.9918797899829528,20269.0
