,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.9736842105263158,0.9866666666666667,38.0
affect labile,1.0,0.9868421052631579,0.9933774834437086,76.0
aphasia,1.0,0.9736842105263158,0.9866666666666667,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
biliary calculus,0.9948630136986302,0.9462540716612378,0.9699499165275459,614.0
carcinoma breast,1.0,0.990228013029316,0.9950900163666121,614.0
carcinoma colon,1.0,0.9981688708036622,0.9990835963751146,4915.0
carcinoma of lung,1.0,0.9959308240081384,0.9979612640163099,4915.0
cirrhosis,0.9983552631578947,0.988599348534202,0.9934533551554828,614.0
colitis,1.0,0.991042345276873,0.9955010224948875,1228.0
decubitus ulcer,1.0,1.0,1.0,2.0
deep vein thrombosis,0.9950819672131147,0.988599348534202,0.9918300653594772,614.0
effusion pericardial,1.0,0.9788273615635179,0.9893004115226337,614.0
failure heart congestive,0.2602739726027397,1.0,0.41304347826086957,19.0
gastritis,1.0,0.9657980456026058,0.9826014913007457,614.0
hepatitis,1.0,0.9723127035830619,0.985962014863749,614.0
hepatitis B,1.0,0.9605263157894737,0.9798657718120806,76.0
hyperbilirubinemia,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperglycemia,1.0,0.9837133550488599,0.9917898193760263,614.0
hypertension pulmonary,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
hypertensive disease,1.0,0.9869706840390879,0.9934426229508196,1228.0
infection,0.9867986798679867,0.9739413680781759,0.980327868852459,614.0
kidney disease,0.2571428571428571,1.0,0.4090909090909091,9.0
melanoma,0.8823529411764706,0.9868421052631579,0.9316770186335404,76.0
migraine disorders,0.475,1.0,0.6440677966101694,19.0
osteomyelitis,0.9966499162479062,0.9690553745928339,0.9826589595375722,614.0
pancreatitis,0.4318181818181818,1.0,0.6031746031746031,76.0
pancytopenia,0.9047619047619048,1.0,0.95,38.0
paroxysmal dyspnea,1.0,0.9592833876221498,0.9792186201163757,614.0
pneumothorax,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
pyelonephritis,0.9079754601226994,0.9673202614379085,0.9367088607594937,153.0
thrombocytopaenia,0.9493670886075949,0.9868421052631579,0.967741935483871,76.0
tricuspid valve insufficiency,1.0,0.9607843137254902,0.98,153.0
accuracy,0.9873205387537619,0.9873205387537619,0.9873205387537619,0.9873205387537619
macro avg,0.9106321728822626,0.9817643403493579,0.9269991627548237,20269.0
weighted avg,0.9936981785450268,0.9873205387537619,0.989602776829228,20269.0
