,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.9736842105263158,0.9866666666666667,38.0
affect labile,1.0,0.9868421052631579,0.9933774834437086,76.0
aphasia,1.0,1.0,1.0,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
biliary calculus,0.9831932773109243,0.9527687296416938,0.967741935483871,614.0
carcinoma breast,0.9951298701298701,0.998371335504886,0.9967479674796748,614.0
carcinoma colon,0.9991868265907705,1.0,0.9995932479153956,4915.0
carcinoma of lung,0.9997964997964998,0.9995930824008138,0.9996947807508394,4915.0
cirrhosis,0.9886914378029079,0.996742671009772,0.9927007299270073,614.0
colitis,0.9894394800974817,0.99185667752443,0.9906466043106954,1228.0
decubitus ulcer,1.0,1.0,1.0,2.0
deep vein thrombosis,0.9901960784313726,0.9869706840390879,0.9885807504078303,614.0
effusion pericardial,0.9983606557377049,0.99185667752443,0.9950980392156863,614.0
failure heart congestive,0.4666666666666667,0.7368421052631579,0.5714285714285714,19.0
gastritis,0.993431855500821,0.9853420195439739,0.9893704006541292,614.0
hepatitis,0.9885433715220949,0.9837133550488599,0.9861224489795918,614.0
hepatitis B,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
hyperbilirubinemia,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperglycemia,0.9918032786885246,0.9853420195439739,0.988562091503268,614.0
hypertension pulmonary,0.974025974025974,0.9868421052631579,0.9803921568627451,76.0
hypertensive disease,0.9927066450567261,0.997557003257329,0.9951259138911455,1228.0
infection,0.980327868852459,0.9739413680781759,0.9771241830065359,614.0
kidney disease,1.0,1.0,1.0,9.0
melanoma,0.961038961038961,0.9736842105263158,0.9673202614379085,76.0
migraine disorders,0.9047619047619048,1.0,0.95,19.0
osteomyelitis,0.9772357723577236,0.9788273615635179,0.9780309194467046,614.0
pancreatitis,0.7525773195876289,0.9605263157894737,0.8439306358381503,76.0
pancytopenia,0.926829268292683,1.0,0.9620253164556962,38.0
paroxysmal dyspnea,0.9883333333333333,0.9657980456026058,0.9769357495881383,614.0
pneumothorax,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
pyelonephritis,0.9285714285714286,0.934640522875817,0.9315960912052117,153.0
thrombocytopaenia,0.9493670886075949,0.9868421052631579,0.967741935483871,76.0
tricuspid valve insufficiency,0.9865771812080537,0.9607843137254902,0.9735099337748344,153.0
accuracy,0.9913167891854556,0.9913167891854556,0.9913167891854556,0.9913167891854556
macro avg,0.9596424904573252,0.9760031137319075,0.9664054151001027,20269.0
weighted avg,0.9918687221034628,0.9913167891854556,0.9914940021875283,20269.0
