,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.9736842105263158,0.9866666666666667,38.0
affect labile,1.0,0.9868421052631579,0.9933774834437086,76.0
aphasia,1.0,1.0,1.0,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
biliary calculus,0.9898305084745763,0.9511400651465798,0.9700996677740864,614.0
carcinoma breast,0.998371335504886,0.998371335504886,0.998371335504886,614.0
carcinoma colon,0.9979695431472081,1.0,0.9989837398373984,4915.0
carcinoma of lung,0.9995930824008138,0.9995930824008138,0.9995930824008138,4915.0
cirrhosis,0.9855072463768116,0.996742671009772,0.9910931174089069,614.0
colitis,0.991042345276873,0.991042345276873,0.991042345276873,1228.0
decubitus ulcer,1.0,1.0,1.0,2.0
deep vein thrombosis,0.9918300653594772,0.988599348534202,0.9902120717781403,614.0
effusion pericardial,0.9983606557377049,0.99185667752443,0.9950980392156863,614.0
failure heart congestive,0.5,0.8947368421052632,0.6415094339622641,19.0
gastritis,1.0,0.9853420195439739,0.992616899097621,614.0
hepatitis,0.9934426229508196,0.9869706840390879,0.9901960784313726,614.0
hepatitis B,1.0,0.9868421052631579,0.9933774834437086,76.0
hyperbilirubinemia,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperglycemia,0.9950657894736842,0.9853420195439739,0.9901800327332242,614.0
hypertension pulmonary,0.9493670886075949,0.9868421052631579,0.967741935483871,76.0
hypertensive disease,0.9919093851132686,0.998371335504886,0.9951298701298701,1228.0
infection,0.988391376451078,0.9706840390879479,0.9794576828266228,614.0
kidney disease,1.0,1.0,1.0,9.0
melanoma,0.948051948051948,0.9605263157894737,0.954248366013072,76.0
migraine disorders,0.8636363636363636,1.0,0.926829268292683,19.0
osteomyelitis,0.9774193548387097,0.9869706840390879,0.9821717990275527,614.0
pancreatitis,0.7524752475247525,1.0,0.8587570621468926,76.0
pancytopenia,0.9047619047619048,1.0,0.95,38.0
paroxysmal dyspnea,0.9949494949494949,0.9625407166123778,0.9784768211920529,614.0
pneumothorax,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
pyelonephritis,0.930379746835443,0.9607843137254902,0.9453376205787781,153.0
thrombocytopaenia,0.974025974025974,0.9868421052631579,0.9803921568627451,76.0
tricuspid valve insufficiency,0.98,0.9607843137254902,0.9702970297029703,153.0
accuracy,0.9919088262864473,0.9919088262864473,0.9919088262864473,0.9919088262864473
macro avg,0.9597232825239758,0.98233371110399,0.9685921847710272,20269.0
weighted avg,0.9926373546815065,0.9919088262864473,0.9921126269831834,20269.0
