,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.6578947368421053,0.7936507936507936,38.0
affect labile,1.0,0.6710526315789473,0.8031496062992126,76.0
aphasia,1.0,0.7105263157894737,0.8307692307692308,38.0
asthma,1.0,0.618421052631579,0.7642276422764228,76.0
benign prostatic hypertrophy,0.9078947368421053,0.9078947368421053,0.9078947368421053,76.0
biliary calculus,0.9974683544303797,0.6416938110749185,0.7809712586719524,614.0
carcinoma breast,1.0,0.747557003257329,0.8555452003727866,614.0
carcinoma colon,1.0,0.9338758901322483,0.9658074697527617,4915.0
carcinoma of lung,1.0,0.8435401831129197,0.9151307802670787,4915.0
cirrhosis,1.0,0.6433224755700325,0.7829534192269574,614.0
colitis,1.0,0.8469055374592834,0.9171075837742504,1228.0
decubitus ulcer,1.0,0.5,0.6666666666666666,2.0
deep vein thrombosis,1.0,0.5488599348534202,0.7087276550998949,614.0
effusion pericardial,1.0,0.6889250814332247,0.8158148505303761,614.0
failure heart congestive,0.08225108225108226,1.0,0.152,19.0
gastritis,1.0,0.6710097719869706,0.8031189083820662,614.0
hepatitis,1.0,0.6856677524429967,0.8135265700483092,614.0
hepatitis B,0.9701492537313433,0.8552631578947368,0.9090909090909091,76.0
hyperbilirubinemia,1.0,0.7236842105263158,0.8396946564885496,76.0
hyperglycemia,1.0,0.6856677524429967,0.8135265700483092,614.0
hypertension pulmonary,1.0,0.7894736842105263,0.8823529411764706,76.0
hypertensive disease,1.0,0.7915309446254072,0.8836363636363637,1228.0
infection,0.9962546816479401,0.8664495114006515,0.926829268292683,614.0
kidney disease,0.002770083102493075,1.0,0.0055248618784530384,9.0
melanoma,0.8493150684931506,0.8157894736842105,0.8322147651006712,76.0
migraine disorders,0.16822429906542055,0.9473684210526315,0.2857142857142857,19.0
osteomyelitis,1.0,0.6758957654723127,0.8066083576287658,614.0
pancreatitis,0.20107238605898123,0.9868421052631579,0.33407572383073497,76.0
pancytopenia,0.8421052631578947,0.8421052631578947,0.8421052631578947,38.0
paroxysmal dyspnea,1.0,0.7361563517915309,0.8480300187617261,614.0
pneumothorax,0.9722222222222222,0.9210526315789473,0.9459459459459459,76.0
pyelonephritis,0.9905660377358491,0.6862745098039216,0.8108108108108109,153.0
thrombocytopaenia,0.8289473684210527,0.8289473684210527,0.8289473684210527,76.0
tricuspid valve insufficiency,0.991869918699187,0.7973856209150327,0.8840579710144928,153.0
accuracy,0.8083279885539494,0.8083279885539494,0.8083279885539494,0.8083279885539494
macro avg,0.8765032575252676,0.7725598143308495,0.7634184839302642,20269.0
weighted avg,0.9925350183629196,0.8083279885539494,0.8845653520700015,20269.0
