,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.8157894736842105,0.8985507246376812,38.0
affect labile,1.0,0.881578947368421,0.9370629370629371,76.0
aphasia,0.9722222222222222,0.9210526315789473,0.9459459459459459,38.0
asthma,0.972972972972973,0.9473684210526315,0.96,76.0
benign prostatic hypertrophy,0.9864864864864865,0.9605263157894737,0.9733333333333334,76.0
biliary calculus,0.9697478991596639,0.9397394136807817,0.9545078577336642,614.0
carcinoma breast,0.9967266775777414,0.99185667752443,0.9942857142857143,614.0
carcinoma colon,0.9863453815261044,0.9993896236012207,0.9928246589186458,4915.0
carcinoma of lung,0.9973609419407227,0.9995930824008138,0.9984757646580632,4915.0
cirrhosis,0.9631410256410257,0.9788273615635179,0.9709208400646203,614.0
colitis,0.990916597853014,0.9771986970684039,0.984009840098401,1228.0
decubitus ulcer,1.0,0.5,0.6666666666666666,2.0
deep vein thrombosis,0.9947643979057592,0.9283387622149837,0.9604043807919124,614.0
effusion pericardial,0.9884868421052632,0.9788273615635179,0.983633387888707,614.0
failure heart congestive,0.5384615384615384,0.7368421052631579,0.6222222222222222,19.0
gastritis,0.9803600654664485,0.9755700325732899,0.9779591836734693,614.0
hepatitis,0.985,0.9625407166123778,0.9736408566721582,614.0
hepatitis B,1.0,0.8552631578947368,0.9219858156028369,76.0
hyperbilirubinemia,0.9125,0.9605263157894737,0.9358974358974359,76.0
hyperglycemia,0.9884678747940692,0.9771986970684039,0.9828009828009828,614.0
hypertension pulmonary,0.961038961038961,0.9736842105263158,0.9673202614379085,76.0
hypertensive disease,0.9958982772764561,0.988599348534202,0.9922353902738047,1228.0
infection,0.9114114114114115,0.988599348534202,0.9484375,614.0
kidney disease,1.0,0.8888888888888888,0.9411764705882353,9.0
melanoma,0.96,0.9473684210526315,0.9536423841059603,76.0
migraine disorders,0.6923076923076923,0.9473684210526315,0.8,19.0
osteomyelitis,0.9914529914529915,0.9446254071661238,0.9674728940783986,614.0
pancreatitis,0.6666666666666666,1.0,0.8,76.0
pancytopenia,0.9210526315789473,0.9210526315789473,0.9210526315789473,38.0
paroxysmal dyspnea,0.9629032258064516,0.9723127035830619,0.9675850891410048,614.0
pneumothorax,0.9473684210526315,0.9473684210526315,0.9473684210526315,76.0
pyelonephritis,0.9545454545454546,0.8235294117647058,0.8842105263157894,153.0
thrombocytopaenia,0.8488372093023255,0.9605263157894737,0.9012345679012346,76.0
tricuspid valve insufficiency,0.9727891156462585,0.934640522875817,0.9533333333333334,153.0
accuracy,0.9817455227194237,0.9817455227194237,0.9817455227194237,0.9817455227194237
macro avg,0.9414774406529199,0.9272527013733066,0.9288293534930191,20269.0
weighted avg,0.9828859139893111,0.9817455227194237,0.9819083565227744,20269.0
