,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.8157894736842105,0.8985507246376812,38.0
affect labile,1.0,0.9868421052631579,0.9933774834437086,76.0
aphasia,0.8636363636363636,1.0,0.926829268292683,38.0
asthma,0.9848484848484849,0.8552631578947368,0.9154929577464789,76.0
benign prostatic hypertrophy,0.9493670886075949,0.9868421052631579,0.967741935483871,76.0
biliary calculus,0.9879275653923542,0.7996742671009772,0.8838883888388839,614.0
carcinoma breast,0.998324958123953,0.9706840390879479,0.9843104872006606,614.0
carcinoma colon,0.9873443149859381,1.0,0.9936318609117558,4915.0
carcinoma of lung,0.9989814626196781,0.9977619532044761,0.998371335504886,4915.0
cirrhosis,0.9472868217054263,0.995114006514658,0.9706115965051628,614.0
colitis,0.9956859361518551,0.9397394136807817,0.9669040636782572,1228.0
decubitus ulcer,1.0,1.0,1.0,2.0
deep vein thrombosis,1.0,0.8566775244299675,0.9228070175438596,614.0
effusion pericardial,0.9342507645259939,0.995114006514658,0.9637223974763407,614.0
failure heart congestive,0.30357142857142855,0.8947368421052632,0.4533333333333333,19.0
gastritis,0.99644128113879,0.9120521172638436,0.9523809523809523,614.0
hepatitis,0.976271186440678,0.9381107491856677,0.9568106312292359,614.0
hepatitis B,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperbilirubinemia,0.9866666666666667,0.9736842105263158,0.9801324503311258,76.0
hyperglycemia,0.9790996784565916,0.99185667752443,0.9854368932038835,614.0
hypertension pulmonary,0.9375,0.9868421052631579,0.9615384615384616,76.0
hypertensive disease,0.9991119005328597,0.9161237785016286,0.9558198810535259,1228.0
infection,0.7766497461928934,0.996742671009772,0.8730385164051355,614.0
kidney disease,0.8181818181818182,1.0,0.9,9.0
melanoma,0.8947368421052632,0.8947368421052632,0.8947368421052632,76.0
migraine disorders,0.3220338983050847,1.0,0.48717948717948717,19.0
osteomyelitis,0.9981203007518797,0.8648208469055375,0.9267015706806283,614.0
pancreatitis,0.37438423645320196,1.0,0.5448028673835126,76.0
pancytopenia,0.9487179487179487,0.9736842105263158,0.961038961038961,38.0
paroxysmal dyspnea,0.8590116279069767,0.9625407166123778,0.9078341013824884,614.0
pneumothorax,0.8928571428571429,0.9868421052631579,0.9375,76.0
pyelonephritis,0.9823008849557522,0.7254901960784313,0.8345864661654135,153.0
thrombocytopaenia,0.7575757575757576,0.9868421052631579,0.8571428571428571,76.0
tricuspid valve insufficiency,1.0,0.8496732026143791,0.9187279151943463,153.0
accuracy,0.9639350732645913,0.9639350732645913,0.9639350732645913,0.9639350732645913
macro avg,0.8956142972473051,0.9419989894092278,0.9018131874023385,20269.0
weighted avg,0.9733738942861171,0.9639350732645913,0.9661057120635077,20269.0
