,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.9210526315789473,0.958904109589041,38.0
affect labile,1.0,0.9868421052631579,0.9933774834437086,76.0
aphasia,1.0,1.0,1.0,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,0.987012987012987,1.0,0.9934640522875817,76.0
biliary calculus,0.9915110356536503,0.9511400651465798,0.970906068162926,614.0
carcinoma breast,0.9967532467532467,1.0,0.9983739837398374,614.0
carcinoma colon,0.9991868265907705,1.0,0.9995932479153956,4915.0
carcinoma of lung,1.0,0.999796541200407,0.9998982602502798,4915.0
cirrhosis,0.9887096774193549,0.998371335504886,0.993517017828201,614.0
colitis,0.9838969404186796,0.995114006514658,0.9894736842105263,1228.0
decubitus ulcer,0.0,0.0,0.0,2.0
deep vein thrombosis,0.9967051070840197,0.9853420195439739,0.990990990990991,614.0
effusion pericardial,0.9951219512195122,0.996742671009772,0.9959316517493898,614.0
failure heart congestive,0.75,0.47368421052631576,0.5806451612903226,19.0
gastritis,0.9967159277504105,0.988599348534202,0.9926410466067048,614.0
hepatitis,0.9967266775777414,0.99185667752443,0.9942857142857143,614.0
hepatitis B,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperbilirubinemia,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperglycemia,1.0,0.988599348534202,0.9942669942669943,614.0
hypertension pulmonary,0.9382716049382716,1.0,0.9681528662420382,76.0
hypertensive disease,0.9927125506072875,0.998371335504886,0.9955339017458384,1228.0
infection,0.9836867862969005,0.9820846905537459,0.9828850855745721,614.0
kidney disease,1.0,1.0,1.0,9.0
melanoma,1.0,0.9605263157894737,0.9798657718120806,76.0
migraine disorders,0.95,1.0,0.9743589743589743,19.0
osteomyelitis,0.9790322580645161,0.988599348534202,0.9837925445705025,614.0
pancreatitis,0.7524752475247525,1.0,0.8587570621468926,76.0
pancytopenia,0.926829268292683,1.0,0.9620253164556962,38.0
paroxysmal dyspnea,0.9837133550488599,0.9837133550488599,0.9837133550488599,614.0
pneumothorax,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
pyelonephritis,0.9354838709677419,0.9477124183006536,0.9415584415584416,153.0
thrombocytopaenia,1.0,0.9736842105263158,0.9866666666666667,76.0
tricuspid valve insufficiency,1.0,0.9607843137254902,0.98,153.0
accuracy,0.9930929004884306,0.9930929004884306,0.9930929004884306,0.9930929004884306
macro avg,0.9436785775003192,0.940603284873743,0.940512914762382,20269.0
weighted avg,0.9932589214054947,0.9930929004884306,0.9930447856568851,20269.0
