,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.9210526315789473,0.958904109589041,38.0
affect labile,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
aphasia,1.0,1.0,1.0,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
biliary calculus,0.971900826446281,0.9576547231270358,0.9647251845775225,614.0
carcinoma breast,0.9983739837398374,1.0,0.9991863303498779,614.0
carcinoma colon,0.9989837398373984,1.0,0.9994916115912558,4915.0
carcinoma of lung,0.9995930824008138,0.9995930824008138,0.9995930824008138,4915.0
cirrhosis,0.993485342019544,0.993485342019544,0.993485342019544,614.0
colitis,0.9934693877551021,0.991042345276873,0.9922543823889115,1228.0
decubitus ulcer,0.0,0.0,0.0,2.0
deep vein thrombosis,0.9918300653594772,0.988599348534202,0.9902120717781403,614.0
effusion pericardial,1.0,0.99185667752443,0.9959116925592805,614.0
failure heart congestive,0.6923076923076923,0.47368421052631576,0.5625,19.0
gastritis,0.9934640522875817,0.990228013029316,0.9918433931484503,614.0
hepatitis,0.9950980392156863,0.99185667752443,0.9934747145187602,614.0
hepatitis B,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperbilirubinemia,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperglycemia,0.9983525535420099,0.9869706840390879,0.9926289926289926,614.0
hypertension pulmonary,0.9615384615384616,0.9868421052631579,0.974025974025974,76.0
hypertensive disease,0.9951219512195122,0.996742671009772,0.9959316517493898,1228.0
infection,0.9758454106280193,0.9869706840390879,0.9813765182186235,614.0
kidney disease,0.9,1.0,0.9473684210526315,9.0
melanoma,0.9864864864864865,0.9605263157894737,0.9733333333333334,76.0
migraine disorders,1.0,1.0,1.0,19.0
osteomyelitis,0.9885057471264368,0.9804560260586319,0.9844644317252658,614.0
pancreatitis,0.8444444444444444,1.0,0.9156626506024096,76.0
pancytopenia,1.0,0.9473684210526315,0.972972972972973,38.0
paroxysmal dyspnea,0.9774557165861514,0.988599348534202,0.982995951417004,614.0
pneumothorax,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
pyelonephritis,0.8604651162790697,0.9673202614379085,0.9107692307692308,153.0
thrombocytopaenia,0.9743589743589743,1.0,0.987012987012987,76.0
tricuspid valve insufficiency,1.0,0.9607843137254902,0.98,153.0
accuracy,0.9927475455128522,0.9927475455128522,0.9927475455128522,0.9927475455128522
macro avg,0.9415333442693506,0.9391192627977333,0.9392503233924322,20269.0
weighted avg,0.9928041154903088,0.9927475455128522,0.9926907881871254,20269.0
