,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.9736842105263158,0.9866666666666667,38.0
affect labile,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
aphasia,1.0,1.0,1.0,38.0
asthma,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
benign prostatic hypertrophy,1.0,0.9736842105263158,0.9866666666666667,76.0
biliary calculus,0.9799666110183639,0.9560260586319218,0.9678483099752679,614.0
carcinoma breast,0.9967479674796748,0.998371335504886,0.9975589910496339,614.0
carcinoma colon,0.9987807356228409,1.0,0.9993899959333062,4915.0
carcinoma of lung,0.9997964997964998,0.9995930824008138,0.9996947807508394,4915.0
cirrhosis,0.9934959349593496,0.995114006514658,0.9943043124491456,614.0
colitis,0.9894394800974817,0.99185667752443,0.9906466043106954,1228.0
decubitus ulcer,0.0,0.0,0.0,2.0
deep vein thrombosis,0.9902120717781403,0.988599348534202,0.9894050529747351,614.0
effusion pericardial,1.0,0.99185667752443,0.9959116925592805,614.0
failure heart congestive,0.75,0.47368421052631576,0.5806451612903226,19.0
gastritis,0.9983552631578947,0.988599348534202,0.9934533551554828,614.0
hepatitis,0.9902439024390244,0.99185667752443,0.9910496338486574,614.0
hepatitis B,1.0,0.9868421052631579,0.9933774834437086,76.0
hyperbilirubinemia,1.0,0.9736842105263158,0.9866666666666667,76.0
hyperglycemia,0.9967105263157895,0.9869706840390879,0.9918166939443536,614.0
hypertension pulmonary,0.987012987012987,1.0,0.9934640522875817,76.0
hypertensive disease,0.9919159256265158,0.999185667752443,0.9955375253549695,1228.0
infection,0.9869281045751634,0.9837133550488599,0.9853181076672104,614.0
kidney disease,1.0,1.0,1.0,9.0
melanoma,0.9605263157894737,0.9605263157894737,0.9605263157894737,76.0
migraine disorders,1.0,1.0,1.0,19.0
osteomyelitis,0.9805510534846029,0.9853420195439739,0.9829406986190089,614.0
pancreatitis,0.8,1.0,0.8888888888888888,76.0
pancytopenia,0.9743589743589743,1.0,0.987012987012987,38.0
paroxysmal dyspnea,0.983739837398374,0.9853420195439739,0.9845402766476811,614.0
pneumothorax,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
pyelonephritis,0.9074074074074074,0.9607843137254902,0.9333333333333333,153.0
thrombocytopaenia,1.0,0.9868421052631579,0.9933774834437086,76.0
tricuspid valve insufficiency,0.98,0.9607843137254902,0.9702970297029703,153.0
accuracy,0.9929448912131827,0.9929448912131827,0.9929448912131827,0.9929448912131827
macro avg,0.9461882389598337,0.9419751023767686,0.942780861551442,20269.0
weighted avg,0.9929795053069913,0.9929448912131827,0.9928745960881068,20269.0
