,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.8157894736842105,0.8985507246376812,38.0
affect labile,0.9166666666666666,0.868421052631579,0.8918918918918919,76.0
aphasia,0.825,0.868421052631579,0.8461538461538461,38.0
asthma,0.85,0.8947368421052632,0.8717948717948718,76.0
benign prostatic hypertrophy,1.0,0.8157894736842105,0.8985507246376812,76.0
biliary calculus,0.9724473257698542,0.9771986970684039,0.974817221770918,614.0
carcinoma breast,0.9967532467532467,1.0,0.9983739837398374,614.0
carcinoma colon,0.9943354238316812,1.0,0.9971596672753094,4915.0
carcinoma of lung,0.9975644408362087,1.0,0.9987807356228409,4915.0
cirrhosis,0.9854838709677419,0.995114006514658,0.9902755267423015,614.0
colitis,0.9699604743083003,0.999185667752443,0.9843561973525873,1228.0
decubitus ulcer,0.0,0.0,0.0,2.0
deep vein thrombosis,0.9870340356564019,0.99185667752443,0.9894394800974817,614.0
effusion pericardial,0.9983606557377049,0.99185667752443,0.9950980392156863,614.0
failure heart congestive,1.0,0.2631578947368421,0.4166666666666667,19.0
gastritis,0.9967105263157895,0.9869706840390879,0.9918166939443536,614.0
hepatitis,0.9933554817275747,0.9739413680781759,0.9835526315789473,614.0
hepatitis B,0.7978723404255319,0.9868421052631579,0.8823529411764706,76.0
hyperbilirubinemia,1.0,0.8421052631578947,0.9142857142857143,76.0
hyperglycemia,0.9934533551554828,0.988599348534202,0.9910204081632653,614.0
hypertension pulmonary,0.8823529411764706,0.9868421052631579,0.9316770186335404,76.0
hypertensive disease,0.9895245769540693,1.0,0.9947347104090725,1228.0
infection,0.9725806451612903,0.9820846905537459,0.9773095623987034,614.0
kidney disease,1.0,0.2222222222222222,0.36363636363636365,9.0
melanoma,1.0,0.8421052631578947,0.9142857142857143,76.0
migraine disorders,1.0,0.3157894736842105,0.48,19.0
osteomyelitis,0.9741100323624595,0.9804560260586319,0.9772727272727273,614.0
pancreatitis,0.90625,0.7631578947368421,0.8285714285714286,76.0
pancytopenia,0.8857142857142857,0.8157894736842105,0.8493150684931506,38.0
paroxysmal dyspnea,0.9678972712680578,0.9820846905537459,0.9749393694421988,614.0
pneumothorax,0.9696969696969697,0.8421052631578947,0.9014084507042254,76.0
pyelonephritis,0.9459459459459459,0.9150326797385621,0.9302325581395349,153.0
thrombocytopaenia,1.0,0.881578947368421,0.9370629370629371,76.0
tricuspid valve insufficiency,1.0,0.954248366013072,0.9765886287625418,153.0
accuracy,0.9869258473531008,0.9869258473531008,0.9869258473531008,0.9869258473531008
macro avg,0.9343844268362275,0.8453965700330346,0.869175661898838,20269.0
weighted avg,0.9870913506599611,0.9869258473531008,0.9862856436487402,20269.0
