,precision,recall,f1-score,support
accident cerebrovascular,1.0,0.8157894736842105,0.8985507246376812,38.0
affect labile,0.8148148148148148,0.868421052631579,0.8407643312101911,76.0
aphasia,0.825,0.868421052631579,0.8461538461538461,38.0
asthma,0.8170731707317073,0.881578947368421,0.8481012658227848,76.0
benign prostatic hypertrophy,0.9841269841269841,0.8157894736842105,0.8920863309352518,76.0
biliary calculus,0.9733333333333334,0.9511400651465798,0.9621087314662273,614.0
carcinoma breast,0.9951298701298701,0.998371335504886,0.9967479674796748,614.0
carcinoma colon,0.9989837398373984,1.0,0.9994916115912558,4915.0
carcinoma of lung,0.9987802398861557,0.9995930824008138,0.9991864958307911,4915.0
cirrhosis,0.9854838709677419,0.995114006514658,0.9902755267423015,614.0
colitis,0.9870340356564019,0.99185667752443,0.9894394800974817,1228.0
decubitus ulcer,0.0,0.0,0.0,2.0
deep vein thrombosis,0.9885807504078303,0.9869706840390879,0.9877750611246944,614.0
effusion pericardial,0.9983606557377049,0.99185667752443,0.9950980392156863,614.0
failure heart congestive,0.35714285714285715,0.2631578947368421,0.30303030303030304,19.0
gastritis,0.9950657894736842,0.9853420195439739,0.9901800327332242,614.0
hepatitis,0.9753694581280788,0.9674267100977199,0.9713818479149632,614.0
hepatitis B,0.7978723404255319,0.9868421052631579,0.8823529411764706,76.0
hyperbilirubinemia,1.0,0.8552631578947368,0.9219858156028369,76.0
hyperglycemia,0.9950576606260296,0.9837133550488599,0.9893529893529893,614.0
hypertension pulmonary,0.872093023255814,0.9868421052631579,0.9259259259259259,76.0
hypertensive disease,0.9911003236245954,0.997557003257329,0.9943181818181818,1228.0
infection,0.9739413680781759,0.9739413680781759,0.9739413680781759,614.0
kidney disease,1.0,0.2222222222222222,0.36363636363636365,9.0
melanoma,0.9315068493150684,0.8947368421052632,0.912751677852349,76.0
migraine disorders,0.6666666666666666,0.631578947368421,0.6486486486486487,19.0
osteomyelitis,0.967741935483871,0.9771986970684039,0.9724473257698542,614.0
pancreatitis,0.6444444444444445,0.7631578947368421,0.6987951807228916,76.0
pancytopenia,0.7209302325581395,0.8157894736842105,0.7654320987654321,38.0
paroxysmal dyspnea,0.961352657004831,0.9723127035830619,0.9668016194331984,614.0
pneumothorax,0.9420289855072463,0.8552631578947368,0.896551724137931,76.0
pyelonephritis,0.8853503184713376,0.9084967320261438,0.896774193548387,153.0
thrombocytopaenia,0.9384615384615385,0.8026315789473685,0.8652482269503546,76.0
tricuspid valve insufficiency,0.9865771812080537,0.9607843137254902,0.9735099337748344,153.0
accuracy,0.9844590260989688,0.9844590260989688,0.9844590260989688,0.9844590260989688
macro avg,0.8814530910442916,0.852034141505912,0.8576131120935643,20269.0
weighted avg,0.9848126659813051,0.9844590260989688,0.9843252884578714,20269.0
