,precision,recall,f1-score,support
accident cerebrovascular,0.8378378378378378,0.8157894736842105,0.8266666666666667,38.0
affect labile,0.8552631578947368,0.8552631578947368,0.8552631578947368,76.0
aphasia,0.7804878048780488,0.8421052631578947,0.810126582278481,38.0
asthma,0.788235294117647,0.881578947368421,0.8322981366459627,76.0
benign prostatic hypertrophy,0.9682539682539683,0.8026315789473685,0.8776978417266187,76.0
biliary calculus,0.9915110356536503,0.9511400651465798,0.970906068162926,614.0
carcinoma breast,0.99836867862969,0.996742671009772,0.9975550122249389,614.0
carcinoma colon,0.9987807356228409,1.0,0.9993899959333062,4915.0
carcinoma of lung,1.0,0.9993896236012207,0.9996947186323395,4915.0
cirrhosis,0.9838187702265372,0.990228013029316,0.987012987012987,614.0
colitis,1.0,0.990228013029316,0.9950900163666121,1228.0
decubitus ulcer,0.0,0.0,0.0,2.0
deep vein thrombosis,0.9837133550488599,0.9837133550488599,0.9837133550488599,614.0
effusion pericardial,0.9983471074380166,0.9837133550488599,0.9909762100082035,614.0
failure heart congestive,0.4722222222222222,0.8947368421052632,0.6181818181818182,19.0
gastritis,1.0,0.9788273615635179,0.9893004115226337,614.0
hepatitis,0.9949664429530202,0.9657980456026058,0.9801652892561984,614.0
hepatitis B,0.7708333333333334,0.9736842105263158,0.8604651162790697,76.0
hyperbilirubinemia,0.9710144927536232,0.881578947368421,0.9241379310344827,76.0
hyperglycemia,1.0,0.9788273615635179,0.9893004115226337,614.0
hypertension pulmonary,0.8604651162790697,0.9736842105263158,0.9135802469135802,76.0
hypertensive disease,0.9967453213995118,0.997557003257329,0.9971509971509972,1228.0
infection,0.9852700490998363,0.9804560260586319,0.9828571428571429,614.0
kidney disease,0.3333333333333333,0.5555555555555556,0.4166666666666667,9.0
melanoma,0.9324324324324325,0.9078947368421053,0.92,76.0
migraine disorders,0.6818181818181818,0.7894736842105263,0.7317073170731707,19.0
osteomyelitis,0.9787581699346405,0.9755700325732899,0.9771615008156607,614.0
pancreatitis,0.532258064516129,0.868421052631579,0.66,76.0
pancytopenia,0.6888888888888889,0.8157894736842105,0.7469879518072289,38.0
paroxysmal dyspnea,0.9834162520729685,0.9657980456026058,0.9745275267050123,614.0
pneumothorax,0.9444444444444444,0.8947368421052632,0.918918918918919,76.0
pyelonephritis,0.8809523809523809,0.9673202614379085,0.9221183800623053,153.0
thrombocytopaenia,0.835820895522388,0.7368421052631579,0.7832167832167832,76.0
tricuspid valve insufficiency,0.9736842105263158,0.9673202614379085,0.9704918032786886,153.0
accuracy,0.9849030539247127,0.9849030539247127,0.9849030539247127,0.9849030539247127
macro avg,0.8529982934730752,0.8871292816730172,0.8648037341725185,20269.0
weighted avg,0.9870606736639013,0.9849030539247127,0.9855741488930638,20269.0
