disease,source,cause
diabetes,MayoClinic,"To understand diabetes, it's important to understand how the body normally uses glucose.

How insulin works:
Insulin is a hormone that comes from a gland behind and below the stomach (pancreas).

The pancreas releases insulin into the bloodstream.
The insulin circulates, letting sugar enter the cells.
Insulin lowers the amount of sugar in the bloodstream.
As the blood sugar level drops, so does the secretion of insulin from the pancreas.

The role of glucose:
Glucose — a sugar — is a source of energy for the cells that make up muscles and other tissues.

Glucose comes from two major sources: food and the liver.
Sugar is absorbed into the bloodstream, where it enters cells with the help of insulin.
The liver stores and makes glucose.
When glucose levels are low, such as when you haven't eaten in a while, the liver breaks down stored glycogen into glucose. This keeps your glucose level within a typical range.

The exact cause of most types of diabetes is unknown. In all cases, sugar builds up in the bloodstream. This is because the pancreas doesn't produce enough insulin. Both type 1 and type 2 diabetes may be caused by a combination of genetic or environmental factors. It is unclear what those factors may be."
diabetes,MedlinePlus,"The different types of diabetes have different causes:

Researchers think type 1 diabetes is caused by genes and factors in the environment that might trigger the disease.
Type 2 diabetes is caused by several factors, including lifestyle factors and genes. The lifestyle factors include not being physically active and being overweight or having obesity.
Researchers think gestational diabetes is caused by the hormonal changes of pregnancy along with genetic and lifestyle factors."
diabetes,Healthline,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes."
pneumonia,MayoClinic,"Many germs can cause pneumonia. The most common are bacteria and viruses in the air we breathe. Your body usually prevents these germs from infecting your lungs. But sometimes these germs can overpower your immune system, even if your health is generally good.

Pneumonia is classified according to the types of germs that cause it and where you got the infection.

Community-acquired pneumonia:
Community-acquired pneumonia is the most common type of pneumonia. It occurs outside of hospitals or other health care facilities. It may be caused by:

- Bacteria. The most common cause of bacterial pneumonia in the U.S. is Streptococcus pneumoniae. This type of pneumonia can occur on its own or after you've had a cold or the flu. It may affect one part (lobe) of the lung, a condition called lobar pneumonia.
- Bacteria-like organisms. Mycoplasma pneumoniae also can cause pneumonia. It typically produces milder symptoms than do other types of pneumonia. Walking pneumonia is an informal name given to this type of pneumonia, which typically isn't severe enough to require bed rest.
- Fungi. This type of pneumonia is most common in people with chronic health problems or weakened immune systems, and in people who have inhaled large doses of the organisms. The fungi that cause it can be found in soil or bird droppings and vary depending upon geographic location.
- Viruses, including COVID-19. Some of the viruses that cause colds and the flu can cause pneumonia. Viruses are the most common cause of pneumonia in children younger than 5 years. Viral pneumonia is usually mild. But in some cases it can become very serious. Coronavirus 2019 (COVID-19) may cause pneumonia, which can become severe.

Hospital-acquired pneumonia
Some people catch pneumonia during a hospital stay for another illness. Hospital-acquired pneumonia can be serious because the bacteria causing it may be more resistant to antibiotics and because the people who get it are already sick. People who are on breathing machines (ventilators), often used in intensive care units, are at higher risk of this type of pneumonia.

Health care-acquired pneumonia
Health care-acquired pneumonia is a bacterial infection that occurs in people who live in long-term care facilities or who receive care in outpatient clinics, including kidney dialysis centers. Like hospital-acquired pneumonia, health care-acquired pneumonia can be caused by bacteria that are more resistant to antibiotics.

Aspiration pneumonia
Aspiration pneumonia occurs when you inhale food, drink, vomit or saliva into your lungs. Aspiration is more likely if something disturbs your normal gag reflex, such as a brain injury or swallowing problem, or excessive use of alcohol or drugs."
pneumonia,MedlinePlus,"Bacterial, viral, and fungal infections can cause pneumonia.

Bacteria are the most common cause. Bacterial pneumonia can occur on its own. It can also develop after you've had certain viral infections such as a cold or the flu. Several different types of bacteria can cause pneumonia, including:

Streptococcus pneumoniae
Legionella pneumophila; this type of pneumonia is often called Legionnaires' disease
Mycoplasma pneumoniae
Chlamydia pneumoniae
Haemophilus influenzae type b (Hib)

Viruses that infect the respiratory tract may cause pneumonia. Viral pneumonia is often mild and goes away on its own within a few weeks. But sometimes it is serious enough that you need to get treatment in a hospital. If you have viral pneumonia, you are at risk of also getting bacterial pneumonia. The different viruses that can cause pneumonia include:

Respiratory syncytial virus (RSV)
Some common cold and flu viruses
SARS-CoV-2, the virus that causes COVID-19

Fungal pneumonia is more common in people who have chronic health problems or weakened immune systems. Some of the types include:

Pneumocystis pneumonia (PCP)
Valley fever (Coccidioidomycosis)
Histoplasmosis
Cryptococcal pneumonia

Aspiration can also cause pneumonia. It can happen when you aspirate (accidentally breathe in) food or fluid into the lungs. If you are not able to cough out the food or fluid, it may cause an infection."
pneumonia,Healthline,"Pneumonia happens when germs get into your lungs and cause an infection. The immune system’s reaction to clear the infection results in inflammation of the lung’s air sacs (alveoli). This inflammation can eventually cause the air sacs to fill up with pus and liquids, causing pneumonia symptoms.

Several types of infectious agents can cause pneumonia, including bacteria, viruses, and fungi.

Bacterial pneumonia
The most common cause of bacterial pneumonia is Streptococcus pneumoniae. Other causes include:

Mycoplasma pneumoniae
Haemophilus influenzae
Legionella pneumophila

Viral pneumonia
Respiratory viruses are often the cause of pneumonia. Examples of viral infections that can cause pneumonia include:

influenza (flu)
respiratory syncytial virus (RSV)
rhinoviruses (common cold)
human parainfluenza virus (HPIV) infection
human metapneumovirus (HMPV) infection
measles
chickenpox (varicella-zoster virus)
adenovirus infection
coronavirus infection
SARS-CoV-2 infection (the virus that causes COVID-19)

Although the symptoms of viral and bacterial pneumonia are very similar, viral pneumonia is usually milder. It can improve in 1 to 3 weeks without treatment.

According to the National Heart, Lung, and Blood InstituteTrusted Source, people with viral pneumonia are at risk of developing bacterial pneumonia.

Fungal pneumonia
Fungi from soil or bird droppings can cause pneumonia. They most often cause pneumonia in people with weakened immune systems. Examples of fungi that can cause pneumonia include:

Pneumocystis jirovecii
Cryptococcus species
Histoplasmosis species
Coccidioides species"
asthma,MayoClinic,"It isn't clear why some people get asthma and others don't, but it's probably due to a combination of environmental and inherited (genetic) factors.

Asthma triggers
Exposure to various irritants and substances that trigger allergies (allergens) can trigger signs and symptoms of asthma. Asthma triggers are different from person to person and can include:

Airborne allergens, such as pollen, dust mites, mold spores, pet dander or particles of cockroach waste
Respiratory infections, such as the common cold
Physical activity
Cold air
Air pollutants and irritants, such as smoke
Certain medications, including beta blockers, aspirin, and nonsteroidal anti-inflammatory drugs, such as ibuprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve)
Strong emotions and stress
Sulfites and preservatives added to some types of foods and beverages, including shrimp, dried fruit, processed potatoes, beer and wine
Gastroesophageal reflux disease (GERD), a condition in which stomach acids back up into your throat"
asthma,MedlinePlus,"The exact cause of asthma is unknown. Genetics and your environment likely play a role in who gets asthma.

An asthma attack can happen when you are exposed to an asthma trigger. An asthma trigger is something that can set off or worsen your asthma symptoms. Different triggers can cause different types of asthma:

Allergic asthma is caused by allergens. Allergens are substances that cause an allergic reaction. They can include
Dust mites
Mold
Pets
Pollen from grass, trees, and weeds
Waste from pests such as cockroaches and mice

Nonallergic asthma is caused by triggers that are not allergens, such as
Breathing in cold air
Certain medicines
Household chemicals
Infections such as colds and the flu
Outdoor air pollution
Tobacco smoke

Occupational asthma is caused by breathing in chemicals or industrial dusts at work
Exercise-induced asthma happens during physical exercise, especially when the air is dry

Asthma triggers may be different for each person and can change over time."
asthma,Healthline,"Although asthma is especially common in children, many people don’t develop asthma until adulthood.

Health experts have not identified a specific cause of asthma. Instead, researchers believe it’s caused by a variety of factors, including:

-Genetics: If your parent or sibling has asthma, you’re more likely to develop it.
-History of viral infections: People with a history of severe viral infections during childhood, such as respiratory syncytial virus infection (RSV), may be more likely to develop asthma.
-Hygiene hypothesis: When babies are not exposed to enough bacteria in their early months and years, their immune systems may not become strong enough to fight off asthma and other allergic conditions.

Many factors can also trigger asthma, causing the symptoms to worsen. Triggers for asthma can vary, and some people may be more sensitive to certain triggers than others.

The most common triggers include:

health conditions such as respiratory infections
exercise
environmental irritants
allergens
intense emotions
extreme weather conditions
pests
certain medications, including aspirin and nonsteroidal anti-inflammatory drugs (NSAIDs)"
gout,MayoClinic,"Gout occurs when urate crystals accumulate in your joint, causing the inflammation and intense pain of a gout attack. Urate crystals can form when you have high levels of uric acid in your blood. Your body produces uric acid when it breaks down purines — substances that are found naturally in your body.

Purines are also found in certain foods, including red meat and organ meats, such as liver. Purine-rich seafood includes anchovies, sardines, mussels, scallops, trout and tuna. Alcoholic beverages, especially beer, and drinks sweetened with fruit sugar (fructose) promote higher levels of uric acid.

Normally, uric acid dissolves in your blood and passes through your kidneys into your urine. But sometimes either your body produces too much uric acid or your kidneys excrete too little uric acid. When this happens, uric acid can build up, forming sharp, needlelike urate crystals in a joint or surrounding tissue that cause pain, inflammation and swelling."
