disease,cause
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes."
pneumonia,"Pneumonia happens when germs get into your lungs and cause an infection. The immune system’s reaction to clear the infection results in inflammation of the lung’s air sacs (alveoli). This inflammation can eventually cause the air sacs to fill up with pus and liquids, causing pneumonia symptoms.

Several types of infectious agents can cause pneumonia, including bacteria, viruses, and fungi.

Bacterial pneumonia
The most common cause of bacterial pneumonia is Streptococcus pneumoniae. Other causes include:

Mycoplasma pneumoniae
Haemophilus influenzae
Legionella pneumophila

Viral pneumonia
Respiratory viruses are often the cause of pneumonia. Examples of viral infections that can cause pneumonia include:

influenza (flu)
respiratory syncytial virus (RSV)
rhinoviruses (common cold)
human parainfluenza virus (HPIV) infection
human metapneumovirus (HMPV) infection
measles
chickenpox (varicella-zoster virus)
adenovirus infection
coronavirus infection
SARS-CoV-2 infection (the virus that causes COVID-19)

Although the symptoms of viral and bacterial pneumonia are very similar, viral pneumonia is usually milder. It can improve in 1 to 3 weeks without treatment.

According to the National Heart, Lung, and Blood InstituteTrusted Source, people with viral pneumonia are at risk of developing bacterial pneumonia.

Fungal pneumonia
Fungi from soil or bird droppings can cause pneumonia. They most often cause pneumonia in people with weakened immune systems. Examples of fungi that can cause pneumonia include:

Pneumocystis jirovecii
Cryptococcus species
Histoplasmosis species
Coccidioides species"
asthma,"Although asthma is especially common in children, many people don’t develop asthma until adulthood.

Health experts have not identified a specific cause of asthma. Instead, researchers believe it’s caused by a variety of factors, including:

-Genetics: If your parent or sibling has asthma, you’re more likely to develop it.
-History of viral infections: People with a history of severe viral infections during childhood, such as respiratory syncytial virus infection (RSV), may be more likely to develop asthma.
-Hygiene hypothesis: When babies are not exposed to enough bacteria in their early months and years, their immune systems may not become strong enough to fight off asthma and other allergic conditions.

Many factors can also trigger asthma, causing the symptoms to worsen. Triggers for asthma can vary, and some people may be more sensitive to certain triggers than others.

The most common triggers include:

health conditions such as respiratory infections
exercise
environmental irritants
allergens
intense emotions
extreme weather conditions
pests
certain medications, including aspirin and nonsteroidal anti-inflammatory drugs (NSAIDs)"
gout,"The buildup of uric acid in your blood from the breakdown of purines causes gout.

Certain conditions, such as blood and metabolism disorders or dehydration, make your body produce too much uric acid.

A kidney or thyroid problem, or an inherited disorder, can make it harder for your body to remove excess uric acid.

You’re more likely to get gout if you:

are a middle-aged man or postmenopausal woman
have parents, siblings, or other family members with gout
drink alcohol
take medications such as diuretics and cyclosporine
have a condition like high blood pressure, kidney disease, thyroid disease, diabetes, or sleep apnea
For some people, gout is caused by consuming foods that are high in gout-producing purines."
malaria,"Malaria can occur if a mosquito infected with the Plasmodium parasite bites you. There are four kinds of malaria parasites that can infect humans: Plasmodium vivax, P. ovale, P. malariae, and P. falciparum.

P. falciparum causes a more severe form of the disease and those who contract this form of malaria have a higher risk of death. An infected mother can also pass the disease to her baby at birth. This is known as congenital malaria.

Malaria is transmitted by blood, so it can also be transmitted through:

an organ transplant
a transfusion
use of shared needles or syringes"
migraine,"Researchers haven’t identified a definitive cause for migraine. But experts believe a combination of genetics, hormones, and irregular brain activity all play a role. These factors likely contribute to affecting nerve signaling, chemicals, and blood vessels in the brain.

What can trigger a migraine attack?
More than three-quarters of people with migraine report that something triggers their migraine attacks. These could be things in their diet, changes in their environment, or other events.

While migraine triggers can be very personal, commonly reported triggers include:

bright lights
severe heat, or other extremes in weather
dehydration
changes in barometric pressure
hormone changes in people assigned female at birth, like estrogen and progesterone fluctuations during menstruation, pregnancy, or menopause
excess stress
loud sounds
intense physical activity
skipping meals
changes in sleep patterns
use of certain medications, like oral contraceptives or nitroglycerin
unusual smells
certain foods
smoking
alcohol use
traveling

If you experience a migraine attack, a doctor may ask you to keep a headache journal. Writing down what you were doing, what foods you ate, and what medications you took before your migraine attack began can help identify your triggers."
appendicitis,"In many cases, the exact cause of appendicitis is unknown. Experts believe it develops when part of the appendix becomes obstructed or blocked.

Many things can potentially blockTrusted Source your appendix, including:

a buildup of hardened stool
enlarged lymphoid follicles
intestinal worms
traumatic injury
tumors"
diarrhea,"You may experience diarrhea because of several conditions or circumstances. Potential causes of diarrhea include:

viral infections including rotavirus, norovirus, and viral gastroenteritis
bacterial infections, including Salmonella and E. coli
parasitic infections
intestinal diseases
a food intolerance, such as lactose intolerance
an adverse reaction to a medication
gallbladder or stomach surgery

Rotavirus is the most common cause of acute diarrhea globally. According to the Centers for Disease Control and Prevention (CDC), this infection causes around 40 percent of hospitalizations in children under 5 years old. Globally, most diarrhea deaths are the result of contaminated water supplies and insufficient sanitation.

In the United States, you are more likely to develop diarrhea due to food poisoning from eating contaminated foodstuffs. According to the CDC, annually there are close to 48 million diarrheal illnesses caused by contaminated food in the United States.

Chronic diarrhea may be a symptom of a more severe condition such as irritable bowel syndrome or inflammatory bowel disease. Frequent and severe diarrhea could be a sign of intestinal disease or a functional bowel disorder."
endometriosis,"During a regular menstrual cycle, your body sheds the lining of your uterus. This allows menstrual blood to flow from your uterus through the small opening in the cervix and out through your vagina.

The exact cause of endometriosis isn’t known. There are severa theories regarding the cause, although no one theory has been scientifically proven.

One of the oldest theories is that endometriosis occurs due to a process called retrograde menstruation, which 90 percent of women experience, according to research. This happens when menstrual blood flows back through your fallopian tubes into your pelvic cavity instead of leaving your body through the vagina.

Another theory is that hormones transform the cells outside the uterus into cells similar to those lining the inside of the uterus, which are known as endometrial cells.

Others believe the condition may occur if small areas of your abdomen convert into endometrial-like tissue. This may happen because cells in your abdomen grow from embryonic cells, which can change shape and act like endometrial cells. It’s not known why this occurs.

These displaced endometrial cells may be on your pelvic walls and the surfaces of your pelvic organs, such as your bladder, ovaries, and rectum. They continue to grow, thicken, and bleed over the course of your menstrual cycle in response to the hormones of your cycle.

It’s also possible for the menstrual blood to leak into the pelvic cavity through a surgical scar, such as after a cesarean delivery, also commonly called a C-section.

Another theory is that the endometrial cells are transported out of the uterus through the lymphatic system. Still another theory purports it may be due to the immune system not working properly in destroying errant endometrial cells.

Some believe endometriosis might start in the fetal period with misplaced cell tissue that begins to respond to the hormones of puberty. This is often called Mullerian theory.

The development of endometriosis might also be linked to genetics or even environmental toxins."
epilepsy,"In about half of people with epilepsy, the cause cannot be determined, per the WHO. A variety of factors can contribute to the development of seizures, such as:

traumatic brain injury or other head trauma
brain scarring after a brain injury (post-traumatic epilepsy)
serious illness or very high fever
stroke, which causes about half of epilepsy cases in older adults when there’s no identifiable cause, according to the CDC
lack of oxygen to the brain
brain tumor or cyst
dementia, including Alzheimer’s disease
maternal use of some drugs, prenatal injury, brain malformation, or lack of oxygen at birth
infectious conditions like HIV and AIDS and meningitis
genetic or developmental disorders or neurological diseases"
