disease,cause
diabetes,"To understand diabetes, it's important to understand how the body normally uses glucose.

How insulin works:
Insulin is a hormone that comes from a gland behind and below the stomach (pancreas).

The pancreas releases insulin into the bloodstream.
The insulin circulates, letting sugar enter the cells.
Insulin lowers the amount of sugar in the bloodstream.
As the blood sugar level drops, so does the secretion of insulin from the pancreas.

The role of glucose:
Glucose — a sugar — is a source of energy for the cells that make up muscles and other tissues.

Glucose comes from two major sources: food and the liver.
Sugar is absorbed into the bloodstream, where it enters cells with the help of insulin.
The liver stores and makes glucose.
When glucose levels are low, such as when you haven't eaten in a while, the liver breaks down stored glycogen into glucose. This keeps your glucose level within a typical range.

The exact cause of most types of diabetes is unknown. In all cases, sugar builds up in the bloodstream. This is because the pancreas doesn't produce enough insulin. Both type 1 and type 2 diabetes may be caused by a combination of genetic or environmental factors. It is unclear what those factors may be."
pneumonia,"Many germs can cause pneumonia. The most common are bacteria and viruses in the air we breathe. Your body usually prevents these germs from infecting your lungs. But sometimes these germs can overpower your immune system, even if your health is generally good.

Pneumonia is classified according to the types of germs that cause it and where you got the infection.

Community-acquired pneumonia:
Community-acquired pneumonia is the most common type of pneumonia. It occurs outside of hospitals or other health care facilities. It may be caused by:

- Bacteria. The most common cause of bacterial pneumonia in the U.S. is Streptococcus pneumoniae. This type of pneumonia can occur on its own or after you've had a cold or the flu. It may affect one part (lobe) of the lung, a condition called lobar pneumonia.
- Bacteria-like organisms. Mycoplasma pneumoniae also can cause pneumonia. It typically produces milder symptoms than do other types of pneumonia. Walking pneumonia is an informal name given to this type of pneumonia, which typically isn't severe enough to require bed rest.
- Fungi. This type of pneumonia is most common in people with chronic health problems or weakened immune systems, and in people who have inhaled large doses of the organisms. The fungi that cause it can be found in soil or bird droppings and vary depending upon geographic location.
- Viruses, including COVID-19. Some of the viruses that cause colds and the flu can cause pneumonia. Viruses are the most common cause of pneumonia in children younger than 5 years. Viral pneumonia is usually mild. But in some cases it can become very serious. Coronavirus 2019 (COVID-19) may cause pneumonia, which can become severe.

Hospital-acquired pneumonia
Some people catch pneumonia during a hospital stay for another illness. Hospital-acquired pneumonia can be serious because the bacteria causing it may be more resistant to antibiotics and because the people who get it are already sick. People who are on breathing machines (ventilators), often used in intensive care units, are at higher risk of this type of pneumonia.

Health care-acquired pneumonia
Health care-acquired pneumonia is a bacterial infection that occurs in people who live in long-term care facilities or who receive care in outpatient clinics, including kidney dialysis centers. Like hospital-acquired pneumonia, health care-acquired pneumonia can be caused by bacteria that are more resistant to antibiotics.

Aspiration pneumonia
Aspiration pneumonia occurs when you inhale food, drink, vomit or saliva into your lungs. Aspiration is more likely if something disturbs your normal gag reflex, such as a brain injury or swallowing problem, or excessive use of alcohol or drugs."
asthma,"It isn't clear why some people get asthma and others don't, but it's probably due to a combination of environmental and inherited (genetic) factors.

Asthma triggers
Exposure to various irritants and substances that trigger allergies (allergens) can trigger signs and symptoms of asthma. Asthma triggers are different from person to person and can include:

Airborne allergens, such as pollen, dust mites, mold spores, pet dander or particles of cockroach waste
Respiratory infections, such as the common cold
Physical activity
Cold air
Air pollutants and irritants, such as smoke
Certain medications, including beta blockers, aspirin, and nonsteroidal anti-inflammatory drugs, such as ibuprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve)
Strong emotions and stress
Sulfites and preservatives added to some types of foods and beverages, including shrimp, dried fruit, processed potatoes, beer and wine
Gastroesophageal reflux disease (GERD), a condition in which stomach acids back up into your throat"
gout,"Gout occurs when urate crystals accumulate in your joint, causing the inflammation and intense pain of a gout attack. Urate crystals can form when you have high levels of uric acid in your blood. Your body produces uric acid when it breaks down purines — substances that are found naturally in your body.

Purines are also found in certain foods, including red meat and organ meats, such as liver. Purine-rich seafood includes anchovies, sardines, mussels, scallops, trout and tuna. Alcoholic beverages, especially beer, and drinks sweetened with fruit sugar (fructose) promote higher levels of uric acid.

Normally, uric acid dissolves in your blood and passes through your kidneys into your urine. But sometimes either your body produces too much uric acid or your kidneys excrete too little uric acid. When this happens, uric acid can build up, forming sharp, needlelike urate crystals in a joint or surrounding tissue that cause pain, inflammation and swelling."
malaria,"Malaria is caused by a single-celled parasite of the genus plasmodium. The parasite is transmitted to humans most commonly through mosquito bites.

Mosquito transmission cycle:
Malaria spreads when a mosquito becomes infected with the disease after biting an infected person, and the infected mosquito then bites a noninfected person. The malaria parasites enter that person's bloodstream and travel to the liver. When the parasites mature, they leave the liver and infect red blood cells.

-Uninfected mosquito. A mosquito becomes infected by feeding on a person who has malaria.
-Transmission of parasite. If this mosquito bites you in the future, it can transmit malaria parasites to you.
-In the liver. Once the parasites enter your body, they travel to your liver — where some types can lie dormant for as long as a year.
-Into the bloodstream. When the parasites mature, they leave the liver and infect your red blood cells. This is when people typically develop malaria symptoms.
-On to the next person. If an uninfected mosquito bites you at this point in the cycle, it will become infected with your malaria parasites and can spread them to the other people it bites.

Other modes of transmission
Because the parasites that cause malaria affect red blood cells, people can also catch malaria from exposure to infected blood, including:

From mother to unborn child
Through blood transfusions
By sharing needles used to inject drugs"
migraine,"Though migraine causes aren't fully understood, genetics and environmental factors appear to play a role.

Changes in the brainstem and its interactions with the trigeminal nerve, a major pain pathway, might be involved. So might imbalances in brain chemicals — including serotonin, which helps regulate pain in your nervous system.

Researchers are studying the role of serotonin in migraines. Other neurotransmitters play a role in the pain of migraine, including calcitonin gene-related peptide (CGRP).

Migraine triggers
There are a number of migraine triggers, including:

Hormonal changes in women. Fluctuations in estrogen, such as before or during menstrual periods, pregnancy and menopause, seem to trigger headaches in many women.

Hormonal medications, such as oral contraceptives, also can worsen migraines. Some women, however, find that their migraines occur less often when taking these medications.

Drinks. These include alcohol, especially wine, and too much caffeine, such as coffee.
Stress. Stress at work or home can cause migraines.
Sensory stimuli. Bright or flashing lights can induce migraines, as can loud sounds. Strong smells — such as perfume, paint thinner, secondhand smoke and others — trigger migraines in some people.
Sleep changes. Missing sleep or getting too much sleep can trigger migraines in some people.
Physical strain. Intense physical exertion, including sexual activity, might provoke migraines.
Weather changes. A change of weather or barometric pressure can prompt a migraine.
Medications. Oral contraceptives and vasodilators, such as nitroglycerin, can aggravate migraines.
Foods. Aged cheeses and salty and processed foods might trigger migraines. So might skipping meals.
Food additives. These include the sweetener aspartame and the preservative monosodium glutamate (MSG), found in many foods."
appendicitis,"A blockage in the lining of the appendix, called the lumen, is the likely cause of appendicitis. This blockage can cause an infection. The bacteria then multiply quickly, causing the appendix to become inflamed, swollen and filled with pus. If not treated right away, the appendix may burst or break open."
diarrhea,"A number of diseases and conditions can cause diarrhea, including:

Viruses. Viruses that can cause diarrhea include Norwalk virus, also known as norovirus, enteric adenoviruses, astrovirus, cytomegalovirus and viruses that cause hepatitis. Rotavirus is a common cause of sudden childhood diarrhea. The virus that causes coronavirus disease 2019 (COVID-19) also has been linked to gastrointestinal symptoms, including nausea, vomiting and diarrhea.
Bacteria and parasites. Exposure to certain bacteria, such as Escherichia coli, or parasites through contaminated food or water can lead to diarrhea. When traveling in developing countries, diarrhea caused by bacteria or parasites is often called traveler's diarrhea. Clostridioides difficile, also known as C. diff, is another bacterium that causes diarrhea, and it can occur after a course of antibiotics or during a hospital stay.
Medicines. Many medicines, such as antibiotics, can cause diarrhea. Antibiotics get rid of infections by killing bacteria that cause illness, but they also kill good bacteria that are helpful in the body. This disturbs the natural balance of bacteria in the intestines, leading to diarrhea or an infection such as C. diff. Other medicines that cause diarrhea are anticancer drugs and antacids with magnesium.
Lactose intolerance. Lactose is a sugar found in milk and other dairy products. People who have trouble digesting lactose often have diarrhea after eating dairy products. Lactose intolerance can increase with age because levels of the enzyme that helps digest lactose become lower as people get older.
Fructose. Fructose is a sugar found naturally in fruits and honey. It's sometimes added as a sweetener to certain beverages. Fructose can lead to diarrhea in people who have trouble digesting it.
Artificial sweeteners. Sorbitol, erythritol and mannitol — nonabsorbable sugars used as artificial sweeteners in chewing gum and other sugar-free products — can cause diarrhea in some otherwise healthy people.
Surgery. Partial intestine or gallbladder removal surgeries can sometimes cause diarrhea.
Other digestive disorders. Chronic diarrhea has a number of other causes, such as IBS, Crohn's disease, ulcerative colitis, celiac disease, microscopic colitis and small intestinal bacterial overgrowth (SIBO)."
endometriosis,"The exact cause of endometriosis isn't clear. But some possible causes include:

Retrograde menstruation. This is when menstrual blood flows back through the fallopian tubes and into the pelvic cavity instead of out of the body. The blood contains endometrial cells from the inner lining of the uterus. These cells may stick to the pelvic walls and surfaces of pelvic organs. There, they might grow and continue to thicken and bleed over the course of each menstrual cycle.
Transformed peritoneal cells. Experts suggest that hormones or immune factors might help transform cells that line the inner side of the abdomen, called peritoneal cells, into cells that are like those that line the inside of the uterus.
Embryonic cell changes. Hormones such as estrogen may transform embryonic cells — cells in the earliest stages of development — into endometrial-like cell growths during puberty.
Surgical scar complication. Endometrial cells may attach to scar tissue from a cut made during surgery to the stomach area, such as a C-section.
Endometrial cell transport. The blood vessels or tissue fluid system may move endometrial cells to other parts of the body.
Immune system condition. A problem with the immune system may make the body unable to recognize and destroy endometriosis tissue."
epilepsy,"Epilepsy has no identifiable cause in about half the people with the condition. In the other half, the condition may be traced to various factors, including:

Genetic influence. Some types of epilepsy run in families. In these instances, it's likely that there's a genetic influence. Researchers have linked some types of epilepsy to specific genes. But some people have genetic epilepsy that isn't hereditary. Genetic changes can occur in a child without being passed down from a parent.

For most people, genes are only part of the cause of epilepsy. Certain genes may make a person more sensitive to environmental conditions that trigger seizures.

Head trauma. Head trauma as a result of a car accident or other traumatic injury can cause epilepsy.
Factors in the brain. Brain tumors can cause epilepsy. Epilepsy also may be caused by the way blood vessels form in the brain. People with blood vessel conditions such as arteriovenous malformations and cavernous malformations can have seizures. And in adults older than age 35, stroke is a leading cause of epilepsy.
Infections. Meningitis, HIV, viral encephalitis and some parasitic infections can cause epilepsy.
Injury before birth. Before they're born, babies are sensitive to brain damage that could be caused by several factors. They might include an infection in the mother, poor nutrition or not enough oxygen. This brain damage can result in epilepsy or cerebral palsy.
Developmental conditions. Epilepsy can sometimes occur with developmental conditions. People with autism are more likely to have epilepsy than are people without autism. Research also has found that people with epilepsy are more likely to have attention-deficit/hyperactivity disorder (ADHD) and other developmental conditions. Having both conditions may be related to genes."
