Index,LLM Response,MayoClinic Similarity,Healthline Similarity,MedlinePlus Similarity,MayoClinic Missing Points,Healthline Missing Points,MedlinePlus Missing Points,MayoClinic Extra Points,Healthline Extra Points,MedlinePlus Extra Points
0,"**1. Genetic Factors:**

* Strong family history of diabetes
* Certain genes associated with insulin resistance and impaired insulin production


**2. Environmental Factors:**

* Diet composition and consumption habits
* Physical inactivity
* Exposure to high-stress levels
* Sleep disturbances


**3. Lifestyle Choices:**

* Excessive consumption of sugary drinks and processed foods
* Sedentary lifestyle
* Tobacco use
* Excessive alcohol consumption


**4. Medical Conditions:**

* Polycystic Ovary Syndrome (PCOS)
* Cushing's syndrome
* Acromegaly (a hormonal disorder)
* Certain medications, such as steroids


**5. Other Factors:**

* Age (risk increases with age)
* Race and ethnicity (African Americans and Hispanics have a higher risk)
* Certain geographical regions


**6. Other Potential Causes:**

* Environmental toxins
* Emotional stress
* Certain infections",0.522232174873352,0.5996384024620056,0.6018166542053223,"Sugar, Glucose, Insulin, two","1.5, Gestational",,"Hispanics, Cushing, 6, African Americans, 4, Diet, 3, 5","Hispanics, Cushing, 6, African Americans, 4, Diet, 3, 5","Hispanics, Cushing, 6, African Americans, 4, Diet, 3, 5"
1,"**1. Bacterial infections:**

* Streptococcus pneumoniae (most common)
* Staphylococcus aureus
* Pseudomonas aeruginosa
* Bordatella bronchiseptica
* Haemophilus influenzae

**2. Viral infections:**

* Influenza virus (Types A, B, and C)
* Respiratory syncytial virus (RSV)
* Rhinoviruses
* Coronavirus (SARS, MERS-CoV)

**3. Fungal infections:**

* Aspergillus
* Candida albicans

**4. Other causes:**

* Chemical exposure (e.g., industrial solvents)
* Radiation therapy
* Aspiration pneumonia (ingestion of foreign objects into the lung)
* Pulmonary embolism (blood clot in lung)
* Trauma to the chest or chest wall
* Surgery complications
* Foreign body in the lung",0.6221355199813843,0.641455352306366,0.6497880220413208,"Bacteria, 5 years, one, Streptococcus, U.S., COVID-19, 2019","Coccidioides, the National Heart, Pneumocystis, Mycoplasma, Haemophilus, Cryptococcus, Histoplasmosis, Respiratory, 1 to 3 weeks, Lung, COVID-19, Blood InstituteTrusted Source, Pneumonia, Fungal, Fungi","Chlamydia, Bacteria, a few weeks, Pneumocystis, Mycoplasma, PCP, Haemophilus, Histoplasmosis
Cryptococcal, Legionnaires, COVID-19, Valley, Fungal","RSV, Influenza, Coronavirus, 4., 1, 3, 2, Bordatella","Influenza, Coronavirus, 4., 1, 3, 2, Bordatella","Influenza, Coronavirus, 4., 1, 3, 2, Bordatella"
2,"**1. Genetic Factors:**

* Strong family history of asthma
* Genes that affect airway responsiveness to allergens and irritants


**2. Environmental Triggers:**

* Allergens (dust mites, pollen, pet dander, food allergens)
* Air pollution (fine particulate matter, ozone)
* Irritants (smoke, industrial emissions, pollution)
* Weather changes (temperature, humidity)


**3. Immune System Imbalances:**

* Overactive immune system that overreacts to allergens
* Increased production of inflammatory mediators
* Reduced production of protective antibodies


**4. Anatomical Factors:**

* Narrowed airways
* Increased mucus production
* Weakened muscles around airways


**5. Inflammation:**

* Chronic low-grade inflammation in the airways
* Airway hyperresponsiveness to various triggers
* Increased airway responsiveness to histamine and other bronchoconstrictors


**6. Other Factors:**

* Psychological factors (stress, anxiety)
* Sleep disorders
* Diet
* Pregnancy complications",0.6184483170509338,0.6886616945266724,0.7470927834510803,"Sulfites, GERD","RSV, -Hygiene, NSAIDs, their early months and years","Household, Mold
Pets, Nonallergic, Allergic, Asthma, Infections","Allergens, 6, Immune System Imbalances:*, 4, 1, 3, 2, 5","Allergens, 6, Immune System Imbalances:*, 4, 1, 3, 2, 5","Allergens, 6, Immune System Imbalances:*, 4, 1, 3, 2, 5"
3,"**1. Genetic Predisposition:**

* Genetic factors are strongly associated with gout.
* Certain genes related to purine metabolism and uric acid transport influence the risk of gout attacks.


**2. Dietary Factors:**

* Consuming foods rich in purines, such as meat, shellfish, and organ meats.
* Alcohol consumption can also increase uric acid production.


**3. Medical Conditions:**

* Medical conditions that affect uric acid metabolism, such as kidney disease, hypothyroidism, and medications (e.g., diuretics).
* Diseases that cause inflammation, such as arthritis or infections.


**4. Changes in Fluid and Electrolyte Balance:**

* Dehydration or rapid changes in fluid intake can affect uric acid levels.
* Hypovolemia (low blood volume) can dilute uric acid in the blood, leading to hyperuricemia.


**5. Impaired Uric Acid Elimination:**

* Uric acid is excreted through urine. If the body is unable to eliminate uric acid effectively, it can accumulate in the blood. 


**6. Increased Production of Uric Acid:**

* Certain medical conditions or medications can cause an increase in uric acid production.


**7. Rapid Crystallization of Uric Acid:**

* Uric acid can spontaneously crystallize in the joints or other tissues, causing a gout attack.


**8. Trauma or Surgery:**

* Physical trauma or surgery can sometimes trigger a gout attack by causing tissue damage",0.7170351147651672,0.8090329170227051,0.7293241024017334,,,,"Fluid, Impaired Uric Acid Elimination:*, 8, 6, Genetic Predisposition:*, 4., 1, 3, Surgery, 2, 5, 7","Fluid, Impaired Uric Acid Elimination:*, 8, 6, Genetic Predisposition:*, 4., 1, 3, Surgery, 2, 5, 7","Fluid, Impaired Uric Acid Elimination:*, 8, 6, Genetic Predisposition:*, 4., 1, 3, Surgery, 2, 5, 7"
4,"**1. Environmental factors:**

* Tropical and subtropical climate with high humidity
* Standing water bodies
* Overcrowded and impoverished communities


**2. Mosquito bites:**

* Female Anopheles mosquitoes are the primary vectors of malaria parasites.
* They bite humans and feed on their blood, injecting microscopic parasites into the bloodstream.


**3. Parasite transmission:**

* The parasite causing malaria, Plasmodium, multiplies inside human red blood cells.
* When infected red blood cells break down, they release more parasites into the bloodstream, continuing the infection.


**4. Human factors:**

* Poverty and lack of access to healthcare
* Overuse of pesticides, affecting mosquito populations
* Travel to endemic areas without adequate prophylaxis


**5. Genetic factors:**

* Certain genes can influence susceptibility to malaria.
* Some people may have natural immunity or be less likely to develop severe infections.


**6. Other factors:**

* Deforestation and habitat changes
* Climate change and extreme weather events
* Ozone depletion and increased UV exposure",0.7330893278121948,0.6776014566421509,0.6909281015396118,"Mosquito, Malaria","four, P., Malaria","48 to 72 hours, 2 to 4 weeks, The Centers for Disease Control and Prevention, as early as 8 days, about 241 million, Malaria, first, the winter, About 627,000, 2020","6, 4., 1, 3, 2, 5, Plasmodium","6, 4., 1, 3, 2, 5","6, 4., 1, 3, 2, 5, Plasmodium"
5,"**1. Neurotransmitter Imbalances:**

* Alterations in serotonin, norepinephrine, and glutamate neurotransmitter levels contribute to pain, nausea, vomiting, and sensitivity to light and sound.


**2. Blood Vessel Changes:**

* Dilatation and constriction of blood vessels in the trigeminal nerve area can cause pain and sensitivity to light.


**3. Genetic Predisposition:**

* Genes play a role in migraine susceptibility, with a strong family history increasing the risk.


**4. Environmental Triggers:**

* Triggers can include:
    * Bright lights
    * Strong odors
    * Changes in weather
    * Caffeine withdrawal
    * Emotional stress


**5. Medical Conditions:**

* Certain medical conditions, such as sinus infections, dental problems, and sleep disorders, can trigger migraines.


**6. Lifestyle Factors:**

* Diet, caffeine intake, alcohol consumption, sleep habits, and physical activity can affect migraine frequency and severity.


**7. Brain Abnormalities:**

* Structural and functional abnormalities in the brain have been implicated in migraine, including:
    * Gray matter changes
    * Increased brain activity in certain areas
    * Abnormalities in pain processing pathways


**8. Hormonal Influences:**

* Hormonal changes, such as those during menstruation, menopause, and pregnancy, can trigger migraines.


**9. Neurovascular Interactions:**

* Activation of the trigeminal nerve, which supplies blood to",0.7797479629516602,0.704971969127655,0.6906445026397705,"Sensory, Hormonal",More than three-quarters,"Fermented, Sudden, Medicines","8, Lifestyle Factors:*, 6, 4, Genetic Predisposition:*, Neurotransmitter Imbalances:*, Diet, 9, Neurovascular Interactions:*, 1, 3, 2, 5, Hormonal Influences:*, 7","8, Lifestyle Factors:*, 6, 4, Genetic Predisposition:*, Neurotransmitter Imbalances:*, Diet, 9, Neurovascular Interactions:*, 1, 3, 2, 5, Hormonal Influences:*, 7","8, Lifestyle Factors:*, 6, 4, Genetic Predisposition:*, Neurotransmitter Imbalances:*, Diet, 9, Neurovascular Interactions:*, 1, 3, 2, 5, Hormonal Influences:*, 7"
6,"**1. Bacterial Infection:**
- Most common cause (95%)
- Bacteria enter the appendix through a break in the gut or through the ileocecal valve

**2. Obstruction:**
- Foreign bodies (such as food debris)
- Gallstones
- Scar tissue or inflammation
- Narrowing of the appendix

**3. Inflammation:**
- Autoimmune disorders
- Infection in other parts of the body that spreads to the appendix
- Direct trauma to the appendix

**4. Lymphatic obstruction:**
- Infection or inflammation in the lymphatic system
- Scar tissue or tumors

**5. Other factors:**
- Genetic factors
- Diet
- Stress and emotional factors
- Age (most common in adolescents)",0.705483078956604,0.759212851524353,0.6602437496185303,,appendicitis,Appendicitis,"1, 95%, 3, 5, 4, 2, Bacterial Infection:*","4, Bacterial Infection:*, 1, 95%, 3, 2, 5","4, Bacterial Infection:*, 1, 95%, 3, 2, 5"
7,"**1. Infectious causes:**

* Viral infections like norovirus, rotavirus, and adenovirus
* Bacterial infections such as Salmonella, Shigella, and Campylobacter
* Parasitic infections like Giardia lamblia and Cryptosporidium

**2. Irritable bowel syndrome (IBS):**

* Changes in diet
* Stress
* Anxiety
* Certain medications
* Food sensitivities

**3. Inflammatory bowel disease (IBD):**

* An autoimmune condition that causes inflammation and damage to the digestive tract
* Ulcerative colitis and Crohn's disease are two main types

**4. Post-gastrointestinal surgery:**

* Damage to the gastrointestinal tract during surgery
* Alterations in gut bacteria

**5. Food-related:**

* Food poisoning caused by contaminated food
* Eating fatty or spicy foods
* Lactose intolerance
* Overconsumption of alcohol or caffeine

**6. Other medical conditions:**

* Pancreatitis
* Gallstones
* Celiac disease
* Diabetes
* Hypothyroidism

**7. Certain medications:**

* Some antibiotics
* Antidepressants
* Chemotherapy drugs

**8. Psychological factors:**

* Anxiety disorders
* Stress
* Emotional distress

**9. Other factors:**

* Travel-related diarrhea
* Rapid changes in diet
* Exposure to radiation",0.5721974968910217,0.6607807278633118,0.6529327630996704,"C., Bacteria, Sorbitol, IBS, SIBO, mannitol, Escherichia, COVID-19, 2019","the Centers for Disease Control and Prevention, CDC, annually, under 5 years old, 48 million, around 40 percent, the United States",a few days,"Salmonella, Shigella, 8, 6, 4, 9, Campylobacter, Giardia, 1, 3, two, 2, 5, 7","Shigella, 8, 6, 4, 9, Crohn, Campylobacter, Giardia, 1, 3, two, 2, 5, 7","Shigella, Salmonella, 8, 6, 4, 9, Campylobacter, Giardia, 1, 3, two, 2, 5, 7"
8,"**1. Genetic factors:**

* Family history of endometriosis
* Genetic mutations affecting hormone signaling and immune response


**2. Hormonal factors:**

* Elevated estrogen levels and abnormal estrogen-progesterone balance
* Reproductive history (especially multiple pregnancies)
* Pregnancy and childbirth
* Postpartum period (within one year of delivery)


**3. Immune factors:**

* Dysregulation of the immune system leading to inflammation and tissue damage
* Autoimmune response targeting pelvic organs
* Increased permeability of blood vessels in the pelvic region


**4. Anatomical factors:**

* Abnormalities in the development of the uterus and surrounding structures
* presence of uterine adhesions (scar tissue)


**5. Environmental factors:**

* Diet and nutrition
* Stress
* Exposure to certain chemicals and toxins
* Smoking


**6. Other factors:**

* Genetic disorders affecting the pelvic organs
* Pelvic floor disorders
* Psychological factors (anxiety, depression)",0.6530447602272034,0.6235707402229309,0.6717023253440857,Embryonic,"90 percent, Mullerian, One","fallopian, 7 or more days, ages 25 to 35, Fallopian, One, Every month, about 10%, the month, Started, Endometriosis","Hormonal, 6, 4, Diet, 1, 3, 5, Postpartum, one year, 2","estrogen, Hormonal, 6, 4, Diet, 1, 3, 5, Postpartum, one year, 2","estrogen, Hormonal, 6, 4, Diet, 1, 3, 5, Postpartum, one year, 2"
9,"**1. Structural abnormalities in the brain:**

* Birth defects (e.g., holoprosencephaly, cerebral atrophy)
* Cranial malformations (e.g., tumors, cysts)
* Stroke
* Traumatic brain injury


**2. Genetic factors:**

* Mutations in genes involved in seizure production
* Family history of epilepsy


**3. Metabolic disorders:**

* Hypoglycemia (low blood sugar)
* Hypoathyroidism (low levels of thyroid hormone)
* Hypomagnesemia (low levels of magnesium)


**4. Infections and toxins:**

* Viral and bacterial infections of the central nervous system
* Exposure to certain medications and recreational drugs
* Lead poisoning


**5. Neurodegenerative diseases:**

* Alzheimer's disease
* Parkinson's disease
* Creutzfeldt-Jakob disease


**6. Other causes:**

* Sleep disorders
* Stress
* Emotional factors",0.622407078742981,0.6526260375976562,0.6392826437950134,"about half, older than age 35, Epilepsy, Injury, half","about half, CDC, WHO","about half, Hormonal, Illness, Brain, Epilepsy, 35, half","6, Creutzfeldt-Jakob, 4, 1, 3, holoprosencephaly, 2, 5, Birth","6, Creutzfeldt-Jakob, 4, 1, 3, holoprosencephaly, 2, 5, Infections, Birth","6, Creutzfeldt-Jakob, 4, 1, 3, holoprosencephaly, 2, 5, Birth"
