Index,LLM Response,MayoClinic Similarity,Healthline Similarity,MedlinePlus Similarity,MayoClinic Missing Points,Healthline Missing Points,MedlinePlus Missing Points,MayoClinic Extra Points,Healthline Extra Points,MedlinePlus Extra Points
0,"Diabetes is a chronic disease that occurs when the body cannot properly produce or use insulin, a hormone that regulates blood sugar levels. There are several main causes of diabetes:

1. Genetics and family history: If you have a parent, brother, or sister with diabetes, you are more likely to develop the disease. Certain genes have been linked to an increased risk of type 1 and type 2 diabetes.

2. Excess body weight and obesity: Being overweight or obese is a major risk factor for type 2 diabetes. Extra body fat can make it harder for the body to use insulin effectively, leading to high blood sugar levels.

3. Physical inactivity: Lack of physical activity can contribute to weight gain and make it harder for the body to use insulin effectively. This can increase the risk of developing type 2 diabetes.

4. Poor diet: Eating a diet that is high in processed foods, sugar, and unhealthy fats can increase the risk of developing type 2 diabetes. Eating a balanced diet that includes plenty of fruits, vegetables, and whole grains can help reduce the risk.

5. Age: The risk of developing type 2 diabetes increases with age. People over the age of 45 are at higher risk, but type 2 diabetes can occur at any age, even in children and adolescents.

6. Gest",0.7469660639762878,0.8067226409912109,0.7930148839950562,"Sugar, Glucose, Insulin, two","1.5, Gestational",,"obese, the age of 45, 6, 4, 3, 5","obese, the age of 45, 6, 4, 3, 5","obese, the age of 45, 6, 4, 3, 5"
1,"Pneumonia is primarily caused by bacterial or viral infections, but it can also be a result of other factors such as fungi, parasites, or chemical irritants. Here are the main causes:

1. Bacteria: The most common cause of community-acquired pneumonia is the bacterium Streptococcus pneumoniae. Other bacteria that can cause pneumonia include Haemophilus influenzae, Chlamydophila pneumoniae, and Legionella pneumophila.

2. Viruses: Viral pneumonia is often caused by respiratory viruses, such as influenza viruses, respiratory syncytial virus, and adenoviruses. Viral pneumonia can sometimes lead to bacterial pneumonia.

3. Fungi: Pneumonia caused by fungi is most common in people with weakened immune systems, such as those with HIV/AIDS or those who have received organ transplants. Common fungal causes include Histoplasma capsulatum, Coccidioides immitis, and Pneumocystis jirovecii.

4. Parasites: Parasitic pneumonia is rare in the United States, but it's more common in tropical and subtropical regions. Parasites that can cause pneumonia include",0.8348870873451233,0.8458457589149475,0.8678010106086731,"Bacteria, 5 years, one, U.S., COVID-19, 2019","the National Heart, Mycoplasma, RSV, Histoplasmosis, Cryptococcus, Respiratory, 1 to 3 weeks, Lung, COVID-19, Blood InstituteTrusted Source, Fungal","Chlamydia, Bacteria, a few weeks, Mycoplasma, RSV, PCP, Histoplasmosis
Cryptococcal, Legionnaires, COVID-19, Valley, Fungal","Coccidioides, Histoplasma, Pneumocystis, 4, Haemophilus, Chlamydophila, 1, 3, Legionella, Pneumonia, 2, Fungi, the United States","Histoplasma, Streptococcus, 4, Chlamydophila, 1, 3, Legionella, 2, the United States","Coccidioides, Histoplasma, Streptococcus, 4, Chlamydophila, 1, 3, Legionella, Pneumonia, 2, Fungi, the United States"
2,"The exact causes of asthma are not fully understood, but several factors are known to increase the risk of developing this condition:

1. Genetics: A family history of asthma or other allergic conditions can increase the risk of developing asthma.

2. Childhood exposure to allergens or viral infections: Exposure to certain allergens or viral infections during childhood can increase the risk of developing asthma.

3. Atopy: Atopy refers to a genetic predisposition to develop allergic conditions such as eczema, hay fever, and asthma.

4. Occupational exposures: Certain occupations expose individuals to dust, chemicals, or fumes that can increase the risk of developing asthma.

5. Obesity: Obesity is a risk factor for developing asthma, and it can also worsen asthma symptoms.

6. Smoking: Both active and passive smoking can increase the risk of developing asthma and worsen asthma symptoms.

7. Air pollution: Exposure to air pollution, including outdoor pollutants such as ozone and particulate matter, as well as indoor pollutants such as secondhand smoke and allergens, can increase the risk of developing asthma.

8. Certain medications: Some medications, such as beta blockers and nonsteroidal",0.6208937764167786,0.8013265132904053,0.819382905960083,"Sulfites, GERD","RSV, -Hygiene, NSAIDs, their early months and years","Household, Mold
Pets, Nonallergic, Allergic, Asthma, Infections","8, 6, 4, 1, 3, 2, 5, 7","8, 6, 4, 1, 3, 2, 5, 7","8, 6, 4, 1, 3, 2, 5, 7"
3,"Gout is a type of arthritis that is primarily caused by an excess of uric acid in the body. Uric acid is a waste product that is formed when the body breaks down purines, which are substances found in certain foods, such as red meat, organ meats, and seafood, as well as in certain beverages, such as alcohol, especially beer.

Here are the main causes of gout:

1. Diet: Consuming a diet high in purines can increase the risk of gout. Foods high in purines include red meat, organ meats (such as liver and kidney), seafood (such as shellfish, anchovies, and sardines), and alcohol, especially beer.
2. Genetics: Gout tends to run in families, and certain genetic factors can increase the risk of developing gout.
3. Medical conditions: Certain medical conditions can increase the risk of gout, including high blood pressure, diabetes, kidney disease, and certain metabolic disorders.
4. Medications: Certain medications can increase the risk of gout, including diuretics (which are used to treat high blood pressure and edema), aspirin, and some chemotherapy drugs.
5. Obesity: Being overweight or obese can increase the risk of gout, as well as make gout symptoms worse.
6. Age and gender: G",0.7812886238098145,0.8302859663963318,0.7045249342918396,,,,"obese, 1, 3, 5, 6, 4, 2","obese, 1, 3, 5, 6, 4, 2","obese, 1, 3, 5, 6, 4, 2"
4,"Malaria is caused by Plasmodium parasites, which are transmitted to people through the bites of infected Anopheles mosquitoes. Here are the main causes:

1. Plasmodium Parasites: There are five parasite species that cause malaria in humans, and two of these species - Plasmodium falciparum and Plasmodium vivax - pose the greatest threat.

2. Anopheles Mosquitoes: These are the mosquitoes that transmit malaria parasites. They acquire the parasites when they feed on infected people.

3. Bite of an Infected Mosquito: When a mosquito bites an infected person, it ingests parasites in the blood. These parasites develop and multiply in the mosquito's body. When the mosquito then bites another person, it injects the parasites into that person's blood.

4. Lack of Protection: People who live in areas where malaria is common and who do not have access to protective measures, such as insecticide-treated bed nets, are at greatest risk of contracting the disease.

5. Travel to Malaria-Endemic Areas: People who travel to areas where malaria is common and do not take protective measures are also at risk.

6. Failure to Complete Malaria Treat",0.8391262292861938,0.826988697052002,0.7749248743057251,Mosquito,"four, P.","48 to 72 hours, 2 to 4 weeks, The Centers for Disease Control and Prevention, as early as 8 days, about 241 million, first, the winter, About 627,000, 2020","6, 4, 1, mosquito, 3, malaria, Complete Malaria Treat, two, 2, 5, Plasmodium, five","6, five, 4, 1, Complete Malaria Treat, 3, 5, two, malaria, 2, mosquito","6, five, 4, 1, Complete Malaria Treat, 3, 5, two, malaria, 2, Plasmodium, mosquito"
5,"The exact causes of migraines are not fully understood, but they're thought to be the result of abnormal brain activity temporarily affecting nerve signals, chemicals and blood flow in the brain.

There are a number of factors that can trigger migraines, including:

1. Emotional triggers: Stress, anxiety, tension, excitement, depression, shock or fear.
2. Physical triggers: Tiredness, insufficient sleep, poor posture, neck or shoulder tension, physical overexertion, jet lag.
3. Dietary triggers: Missed, delayed or irregular meals, dehydration, alcohol, particularly red wine, the artificial sweetener aspartame, caffeine, chocolate, citrus fruits, cheese, monosodium glutamate (MSG), found in many processed foods.
4. Environmental triggers: Bright lights, flickering screens, loud noises, strong smells, smoke, changes in weather or environment, e.g. going to higher altitudes or into different temperature zones.
5. Medication triggers: Some types of medication can trigger migraines, including oral contraceptives and hormone replacement therapy (HRT).
6. Hormonal triggers: Fluctuations in hormones during the menstrual cycle, pregnancy and menopause can also trigger migraines.
7. Genetic factors: If you have a close relative with",0.7985395193099976,0.8348171710968018,0.8328050374984741,"Sensory, Hormonal",More than three-quarters,"Fermented, Sudden, Medicines","6, 4, 1, 3, 5, 2, HRT, 7","HRT, 6, 4, 1, 3, 2, 5, 7","6, 4, 1, 3, 5, 2, HRT, 7"
6,"The exact cause of appendicitis is not always known, but it's often thought to occur when the appendix becomes blocked, possibly by:

1. Fecal matter (stool)
2. Foreign body
3. Inflammatory bowel disease
4. Tumors

This blockage can lead to increased pressure, inflammation, and infection inside the appendix, which can cause its wall to rupture. A ruptured appendix can lead to peritonitis, a serious inflammation of the lining of the abdominal cavity.

It's important to note that appendicitis can occur at any age, but it's more common in people between the ages of 10 and 30.",0.7776018381118774,0.8546059131622314,0.7939534187316895,,,Appendicitis,"1, 3, 4, 2, appendicitis, between the ages of 10 and 30","4, between the ages of 10 and 30, 1, 3, 2","4, between the ages of 10 and 30, 1, 3, 2, appendicitis"
7,"Diarrhea can be caused by a variety of factors. Here are some of the most common causes:

1. Infections: Bacterial, viral, or parasitic infections are the most common causes of diarrhea. These infections can be contracted through contaminated food or water, or by coming into contact with someone who is already infected.

2. Food intolerances or allergies: Some people may experience diarrhea after consuming foods that their body cannot tolerate or is allergic to. This can include lactose intolerance, gluten intolerance, or other food sensitivities.

3. Medications: Certain medications, such as antibiotics, can cause diarrhea as a side effect. This occurs because antibiotics can disrupt the balance of bacteria in the gut, leading to loose stools.

4. Digestive disorders: Chronic digestive disorders, such as irritable bowel syndrome (IBS), inflammatory bowel disease (IBD), or celiac disease, can cause diarrhea.

5. Surgery: Some surgical procedures, particularly those that involve the gut, can lead to diarrhea.

6. Other medical conditions: Diarrhea can also be caused by other medical conditions, such as diabetes, hyperthyroidism, or kidney disease.",0.7908051013946533,0.8326497077941895,0.8465999364852905,"C., Bacteria, Sorbitol, IBS, SIBO, mannitol, Escherichia, Crohn, COVID-19, 2019","the Centers for Disease Control and Prevention, Salmonella, CDC, annually, under 5 years old, 48 million, around 40 percent, the United States","Crohn, a few days","6, 4, 1, 3, 2, 5","6, 4, 1, 3, 2, 5","6, 4, 1, 3, 2, 5"
8,"The exact cause of endometriosis is still not fully understood by medical professionals. However, several theories have been proposed regarding its development. Here are the most accepted potential causes:

1. Retrograde menstruation: This is the most widely accepted theory. It suggests that endometrial tissue, which normally lines the inside of the uterus, flows back through the fallopian tubes into the pelvic cavity during menstruation. This displaced tissue can then implant and grow on other pelvic organs, leading to endometriosis.
2. Embryonic cell transformation: Another theory suggests that during embryonic development, cells in the pelvic cavity may transform into endometrial-like cells under certain conditions. These cells can then proliferate and cause endometriosis.
3. Coelomic metaplasia: This theory proposes that certain cells in the peritoneum (the lining of the abdominal cavity) can transform into endometrial cells due to exposure to specific hormones or inflammatory factors.
4. Lymphatic or vascular spread: Endometrial cells may spread to other parts of the body through the lymphatic system or blood vessels. However, this theory does not fully explain why endometrial tissue primarily affects the pelvic cavity.
5. Immune system dysfunction: Some researchers believe",0.8828750848770142,0.8307161331176758,0.7664003372192383,"Embryonic, estrogen","90 percent, Mullerian, One","fallopian, 7 or more days, ages 25 to 35, Fallopian, One, Every month, about 10%, the month, Started, Endometriosis","4, 1, 3, 2, 5","4, 1, 3, 2, 5","4, 1, 3, 2, 5"
9,"Epilepsy is a neurological condition characterized by recurrent, unprovoked seizures. It is not caused by a single factor and can have various causes. Here are some of the main causes of epilepsy:

1. Genetic factors: Some types of epilepsy are linked to specific genes and can be passed down through families. However, it's important to note that inheriting a genetic predisposition does not guarantee that a person will develop epilepsy.

2. Brain injury or trauma: Head injuries, strokes, brain tumors, and other conditions that cause damage to the brain can lead to epilepsy.

3. Infectious diseases: Some infections, such as meningitis, encephalitis, and AIDS, can affect the brain and cause epilepsy.

4. Prenatal injuries and infections: Conditions that damage the brain before birth, such as fetal alcohol syndrome, maternal infections, or a lack of oxygen during delivery, can lead to epilepsy.

5. Developmental disorders: Certain developmental disorders, such as autism and neurofibromatosis, are associated with an increased risk of epilepsy.

6. Age-related changes: Seizures can occasionally occur in older adults as a result of age-related changes in the brain.

In many cases, the exact cause of ep",0.9139864444732666,0.8582004308700562,0.9071455001831055,"about half, older than age 35, Injury, half, Infections","about half, CDC, WHO","about half, Hormonal, Illness, Brain, 35, half, Infections","6, 4, 1, 3, 2, 5","6, 4, 1, 3, Epilepsy, 2, 5","6, 4, 1, 3, 2, 5"
10,"A fever is not a disease but a symptom that indicates your body is fighting an infection or illness. The main causes of fever include:

1. Infections: Bacterial and viral infections are the most common causes of fever. These include pneumonia, ear infections, urinary tract infections, meningitis, and the flu.

2. Inflammatory conditions: Certain inflammatory diseases like rheumatoid arthritis and inflammatory bowel disease can cause a fever.

3. Immunizations: Some vaccinations can cause a fever as a side effect.

4. Certain medications: Some drugs, like antibiotics and chemotherapy, can cause a fever.

5. Illnesses in other parts of the body: A fever can be a sign of a problem elsewhere in the body, such as a heart attack or a blood clot.

6. Heat exhaustion or sunstroke: Overexposure to heat can cause a fever.

7. Other causes: Less common causes of fever include cancer, hormonal disorders, and autoimmune diseases.

It's important to note that while a fever itself is usually not harmful, it can be a sign of a serious underlying condition. If you have a fever that lasts for more than a few days, or if it's accompanied by other symptoms like severe head",0.6432110071182251,0.8011513948440552,0.8257192969322205,"the day, 40, evening, 104, DTaP, late afternoon","Crohn, RA","98.6, Autoimmune, Infections, 37","6, more than a few days, 4, 1, 3, 2, 5, 7","6, more than a few days, 4, 1, 3, 2, 5, 7","6, more than a few days, 4, 1, 3, 2, 5, 7"
