disease,cause,bad_response,missing_point
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.","Type 1 diabetes occurs due to an attack on insulin-producing beta cells, but the exact cause is unclear. 
Type 2 diabetes is linked to lifestyle factors like being overweight or obese.
 Gestational diabetes arises due to hormonal changes in pregnancy, causing higher blood sugar.","The role of genetics and viruses in Type 1 diabetes is omitted. 
No mention of genetics in Type 2 diabetes or its familial connection. 
Type 1.5 diabetes is entirely missing. Details about weight gain during pregnancy contributing to gestational diabetes are excluded."
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.","Type 1 diabetes might result from the immune system mistakenly attacking beta cells. Type 2 diabetes is associated with being overweight, particularly in the belly area. Gestational diabetes stems from hormonal changes during pregnancy.",The role of genes and viruses in Type 1 diabetes is not mentioned. Genetic predisposition for Type 2 diabetes is left out. Type 1.5 diabetes is not addressed. The influence of excess pregnancy weight on gestational diabetes is not discussed.
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.",Type 1 diabetes happens due to immune system issues. Type 2 diabetes is related to excess weight and genetic factors. Gestational diabetes results from pregnancy hormones interfering with insulin.,Type 1 diabetes lacks reference to viruses as a trigger. Type 2 diabetes does not explain the familial sharing of genes linked to the condition. Type 1.5 diabetes is omitted. Specifics about weight gain during pregnancy increasing gestational diabetes risk are missing.
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.","Doctors believe Type 1 diabetes is caused by an immune system attack on insulin-producing cells. Type 2 diabetes comes from lifestyle factors, while gestational diabetes arises during pregnancy due to hormonal shifts.",Type 1 diabetes lacks mention of genetic involvement or viral triggers. No explanation of genetic and familial contributions to Type 2 diabetes. Type 1.5 diabetes is completely omitted. Specifics about weight gain during pregnancy and its role in gestational diabetes are missing.
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.","Type 1 diabetes is caused by an immune system attack on the pancreas. Type 2 diabetes is due to genetic and lifestyle factors, such as obesity. Gestational diabetes happens due to hormones during pregnancy.",Type 1 diabetes omits the mention of genes and possible viral triggers. Type 1.5 diabetes is not included. Details about weight gain during pregnancy contributing to gestational diabetes are missing.
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.",Type 1 diabetes stems from an immune system attack on insulin-producing cells. Type 2 diabetes is influenced by lifestyle and being overweight. Gestational diabetes results from pregnancy hormones interfering with insulin.,The role of genetics and viruses in Type 1 diabetes is missing. Genetic factors in Type 2 diabetes are excluded. Type 1.5 diabetes is omitted. The impact of excess weight during pregnancy on gestational diabetes is not addressed.
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.","Type 1 diabetes results from immune system dysfunction. Type 2 diabetes is linked to lifestyle habits, and gestational diabetes is caused by pregnancy-related hormonal changes.",Type 1 diabetes excludes mention of genetic and viral factors. Type 2 diabetes does not discuss familial gene sharing. Type 1.5 diabetes is missing. Weight-related risks for gestational diabetes are not mentioned.
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.",The immune system attacking beta cells leads to Type 1 diabetes. Type 2 diabetes results from obesity and unhealthy lifestyle choices. Gestational diabetes happens due to hormonal changes during pregnancy.,Type 1 diabetes omits genetics and viral factors. Type 2 diabetes lacks the mention of genetic predisposition. Type 1.5 diabetes is missing. The effect of pregnancy weight gain on gestational diabetes is not discussed.
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.","Type 1 diabetes is caused by the immune system damaging insulin-producing cells. Type 2 diabetes is linked to being overweight, while gestational diabetes occurs due to hormones.",The role of genetics and viruses in Type 1 diabetes is not mentioned. Genetic and familial links in Type 2 diabetes are missing. Type 1.5 diabetes is entirely absent. Weight gain's impact on gestational diabetes risk is excluded.
diabetes,"Different causes are associated with each type of diabetes.

Type 1 diabetes
Doctors don’t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.

Genes may play a role in some people. It’s also possible that a virus sets off an immune system attack.

Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.

This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.

Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.

Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person’s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.

People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.",Type 1 diabetes occurs due to an immune system malfunction. Type 2 diabetes is tied to lifestyle and obesity. Gestational diabetes stems from hormones during pregnancy.,Genetic and viral factors in Type 1 diabetes are omitted. Type 2 diabetes lacks familial and genetic aspects. Type 1.5 diabetes is not mentioned. The impact of weight gain during pregnancy on gestational diabetes is excluded.
