Disease,Cause,BERTScore_Healthline,BERTScore_MedlinePlus,BERTScore_MayoClinic,ROUGE1_Healthline,ROUGE2_Healthline,ROUGEL_Healthline,ROUGE1_MedlinePlus,ROUGE2_MedlinePlus,ROUGEL_MedlinePlus,ROUGE1_MayoClinic,ROUGE2_MayoClinic,ROUGEL_MayoClinic
diabetes,"The main causes of diabetes are multifaceted and vary depending on the type of diabetes. Here are the primary causes:

1. **Type 1 Diabetes:** 
   - Genes: May play a role in triggering the disease
   - Environmental factors: May trigger an immune system attack against the insulin-producing beta cells in the pancreas
   - Virus: May set off an immune system attack

2. **Type 2 Diabetes:** 
   - Combination of genetics and lifestyle factors
   - Lifestyle factors:
     - Not being physically active
     - Being overweight or having obesity
     - Carrying extra weight, especially in the belly, which makes cells more resistant to insulin
   - Genetics: Family members sharing genes that increase the likelihood of developing type 2 diabetes and being overweight

3. **Type 1.5 Diabetes (also known as Latent Autoimmune Diabetes in Adults - LADA):** 
   - May be genetic
   - Autoimmune condition: The pancreas is attacked by a person's own antibodies

4. **Gestational Diabetes:** 
   - Hormonal changes during pregnancy
   - Lifestyle factors during pregnancy:
     - Being overweight at the start of pregnancy
     - Gaining too much weight during pregnancy

It's essential to note that researchers are still working to understand the exact causes of diabetes and how environmental and genetic factors interact to contribute to the development of this condition.",0.8672623038291931,0.8426908254623413,0.8195944428443909,0.6443914081145584,0.33093525179856115,0.4486873508353222,0.40449438202247195,0.18867924528301885,0.28464419475655434,0.3694581280788178,0.10396039603960397,0.14778325123152708
pneumonia,"According to the provided sources, the main causes of pneumonia are:

1. **Bacteria:**
   - Streptococcus pneumoniae
   - Mycoplasma pneumoniae
   - Legionella pneumophila (Legionnaires' disease)
   - Chlamydia pneumoniae
   - Haemophilus influenzae type b (Hib)

2. **Viruses:**
   - Influenza (flu)
   - Respiratory syncytial virus (RSV)
   - Rhinoviruses (common cold)
   - Human parainfluenza virus (HPIV) infection
   - Human metapneumovirus (HMPV) infection
   - Measles
   - Chickenpox (varicella-zoster virus)
   - Adenovirus infection
   - Coronavirus infection
   - SARS-CoV-2 infection (the virus that causes COVID-19)

3. **Fungi:**
   - Pneumocystis jirovecii
   - Cryptococcus species
   - Histoplasmosis species
   - Coccidioides species

Note that additional causes of pneumonia mentioned in the sources include:

- **Aspiration**: caused by inhaling food, drink, vomit, or saliva into the lungs.
- **Fungi from soil or bird droppings**: often causing pneumonia in people with weakened immune systems.",0.8595167994499207,0.8499112129211426,0.8084365129470825,0.56047197640118,0.4035608308605341,0.4247787610619469,0.41566265060240964,0.18181818181818182,0.2771084337349398,0.22661870503597123,0.10108303249097474,0.13309352517985612
asthma,"Based on the provided information from trusted sources (MayoClinic, MedlinePlus, and Healthline), the main causes of asthma are not clear-cut and are thought to be a combination of environmental and inherited factors. Some potential contributing factors mentioned include:

1. **Genetics**: If a parent or sibling has asthma, the individual is more likely to develop it.
2. **History of viral infections**: Severe viral infections during childhood, such as RSV infection, may contribute to the development of asthma.
3. **Hygiene hypothesis**: A lack of exposure to beneficial bacteria in early childhood may weaken the immune system and increase the risk of developing asthma and other allergic conditions.

While these specific causes are not definitively proven, they are commonly discussed among researchers and health experts.

It's essential to note that asthma is a complex condition, and multiple factors can influence its development and triggering. Each person may have unique triggers and risk factors, and environmental and genetic factors can interact in complex ways to contribute to the development of asthma.",0.8855707049369812,0.8413034081459045,0.8334123492240906,0.5117647058823529,0.20118343195266272,0.3352941176470588,0.29179331306990886,0.04281345565749235,0.15197568389057753,0.3302180685358255,0.07523510971786834,0.161993769470405
gout,"According to the trusted sources, the main causes of gout are:

1. **High levels of uric acid in the blood**: Uric acid can build up in the blood when the body produces too much of it or when the kidneys do not excrete enough of it.
2. **Purine metabolic disorders or conditions**: Certain conditions or disorders can make the body produce too much uric acid. These include:
	* Blood and metabolism disorders
	* Dehydration
	* Kidney problems
	* Thyroid problems
	* Inherited disorders
	* Certain medications (e.g., diuretics and cyclosporine)
3. **Dietary factors**: Consuming foods that are high in purines, such as:
	* Red meat and organ meats (e.g., liver)
	* Certain seafood (e.g., anchovies, sardines, mussels, scallops, trout, tuna)
	* Alcoholic beverages (especially beer)
	* Drinks sweetened with fruit sugar (fructose)
4. **Genetic predisposition**: Having a family history of gout, particularly if a parent, sibling, or other family member has the condition.
5. **Age and sex**: Being a middle-aged man or postmenopausal woman increases the likelihood of developing gout.
6. **Other health conditions**: Certain health conditions, such as:
	* High blood pressure
	* Kidney disease
	* Thyroid disease",0.8582178354263306,0.8154943585395813,0.8401164412498474,0.5733333333333334,0.3087248322147651,0.2866666666666667,0.3492063492063492,0.09042553191489362,0.16931216931216933,0.46706586826347307,0.2108433734939759,0.2754491017964072
malaria,"The main causes of malaria are:

1. **Mosquito bites**: Specifically, the bite of an infected Anopheles mosquito that transmits the Plasmodium parasite to a human. This is the most common mode of transmission.

2. **Transmission of parasite from infected individual**: An infected mosquito bites an individual, and the parasites then travel to the individual's liver and bloodstream, infecting red blood cells.

3. **Exposure to infected blood**: In addition to mosquito bites, malaria can be transmitted through:
   - Direct contact with infected blood, such as from:
     - Congenital transmission: from mother to unborn child
     - Blood transfusions
     - Organ transplants
     - Use of shared needles or syringes

These routes of transmission highlight the importance of mosquito prevention and control, as well as proper handling and safety of blood products.",0.8470432162284851,0.8319870233535767,0.8522222638130188,0.4304932735426009,0.12669683257918551,0.25112107623318386,0.3932038834951456,0.0975609756097561,0.21359223300970875,0.4636871508379889,0.16292134831460672,0.2569832402234637
migraine,"According to the provided information, the main causes and contributing factors of migraine are:

1. **Genetics**: It is believed that genetics play a significant role in the development of migraines, although the exact mechanism is not fully understood.
2. **Hormonal changes**: Fluctuations in estrogen levels, such as during menstruation, pregnancy, and menopause, can trigger migraines in many women.
3. **Brain chemistry imbalances**: Imbalances in brain chemicals, including serotonin, CGRP, and other neurotransmitters, may contribute to the development of migraines.
4. **Environmental factors**: Changes in the brainstem, its interactions with the trigeminal nerve, and external factors such as stress, sensory stimuli, weather changes, and physical strain may also play a role.

While there is no definitive cause of migraine, a combination of genetics, hormones, and irregular brain activity is believed to contribute to the development of migraines.",0.8491727113723755,0.8292185664176941,0.8720673322677612,0.37538461538461537,0.11145510835913312,0.16615384615384612,0.2868217054263566,0.03125,0.1317829457364341,0.42786069651741293,0.195,0.208955223880597
appendicitis,"Based on the provided information from trusted sources (Mayo Clinic, MedlinePlus, and Healthline), the main causes of appendicitis are:

1. Blockage in the lining of the appendix: Specifically, the blockage is more likely to be caused by hardened stool, but can also be blockage by other factors such as:
2. Buildup of hardened stool
3. Enlarged lymphoid follicles
4. Intestinal worms (or parasites)
5. Tumors
6. Traumatic injury

In rare cases, the appendix can also be blocked by a foreign object. However, the exact cause of appendicitis in many cases is unknown.",0.8798007965087891,0.8617697954177856,0.8554670214653015,0.45255474452554745,0.2518518518518518,0.2773722627737227,0.25806451612903225,0.09836065573770493,0.1774193548387097,0.3636363636363636,0.1276595744680851,0.2097902097902098
diarrhea,"According to the provided information from MayoClinic, MedlinePlus, and Healthline, the main causes of diarrhea can be categorized into the following groups:

1. **Infections**: 
   - Viruses (such as rotavirus, norovirus, cytomegalovirus, astrovirus, enteric adenoviruses, and COVID-19)
   - Bacteria (such as E. coli, Salmonella, and Clostridioides difficile)
   - Parasites (found in contaminated food or water)

2. **Medications**: 
   - Antibiotics (can disrupt the balance of good bacteria in the intestines)
   - Anticancer drugs
   - Antacids with magnesium
   - Other medicines (may cause diarrhea as a side effect)

3. **Food-related issues**: 
   - Lactose intolerance (difficulty digesting lactose found in milk and dairy products)
   - Fructose intolerance (difficulty digesting fructose found in fruits and honey)
   - Artificial sweeteners (such as sorbitol, erythritol, and mannitol)
   - Food intolerances or sensitivities (problems digesting certain ingredients or foods)

4. **Digestive disorders**: 
   - Irritable bowel syndrome (IBS)
   - Crohn's disease
   - Ulcerative colitis
   - Celiac disease
   - Microscopic colitis
   - Small intestinal bacterial overgrowth (SIBO)",0.8129727840423584,0.8339861631393433,0.8494058847427368,0.3584905660377359,0.0949367088607595,0.16352201257861634,0.47887323943661975,0.1702127659574468,0.22535211267605634,0.4306418219461698,0.2079002079002079,0.3105590062111801
endometriosis,"Based on the provided information from Mayo Clinic, MedlinePlus, and Healthline, the main possible causes of endometriosis include:

1. **Retrograde menstruation**: When menstrual blood flows back through the fallopian tubes and into the pelvic cavity instead of out of the body, carrying endometrial cells with it. These cells may stick to the pelvic walls and surfaces of pelvic organs, leading to growth and thickening.

2. **Transformed peritoneal cells**: Hormones or immune factors may transform cells that line the inner side of the abdomen (peritoneal cells) into cells similar to those that line the inside of the uterus (endometrial cells).

3. **Embryonic cell changes**: Hormones such as estrogen may transform embryonic cells into endometrial-like cell growths during puberty.

4. **Surgical scar complication**: Endometrial cells may attach to scar tissue from a cut made during surgery, such as a C-section.

5. **Endometrial cell transport**: The blood vessels or tissue fluid system may move endometrial cells to other parts of the body.

6. **Immune system condition**: A problem with the immune system may make the body unable to recognize and destroy endometriosis tissue.

Additionally, some other variables that can contribute to the development of endometriosis include:

- Starting periods at a young age
- Never having children
- Frequent periods (lasting 7 or more days)",0.8655219674110413,0.8537317514419556,0.9319678544998169,0.5036764705882353,0.19188191881918817,0.2794117647058823,0.4686868686868687,0.13387423935091278,0.23030303030303031,0.784688995215311,0.6442307692307692,0.7272727272727273
epilepsy,"According to the provided trusted sources, the main causes of epilepsy can be categorized as follows:

1. **Unknown cause**: In about half of the cases, the cause of epilepsy cannot be determined.
2. **Genetic factors**: Genetic influence is a contributing factor in some cases, with certain types of epilepsy running in families. Some people may have genetic epilepsy that is not hereditary due to spontaneous genetic mutations.
3. **Head trauma**: Severe head injuries, such as those sustained in car accidents or other traumatic events, can lead to epilepsy.
4. **Brain-related factors**: 
   - **Brain tumors**: Tumors can cause epilepsy.
   - **Blood vessel formation abnormalities**: Abnormalities in blood vessel formation, such as arteriovenous or cavernous malformations, can cause epilepsy.
   - **Stroke**: In adults over 35, strokes are a leading cause of epilepsy.
5. **Infections**: Conditions such as meningitis, HIV, viral encephalitis, and certain parasitic infections can result in epilepsy.
6. **Prenatal injury**: The developing brain of a fetus is particularly vulnerable to damage from maternal infections, poor nutrition, or oxygen deprivation, potentially leading to epilepsy or cerebral palsy.
7. **Developmental conditions**: Epilepsy often occurs alongside developmental disorders, such as:
   - **Autism**: Individuals with autism are at a higher risk of epilepsy.
   - **Attention-deficit/hyperactivity disorder (AD",0.8351483941078186,0.8389573693275452,0.8847166895866394,0.4353312302839117,0.1015873015873016,0.21451104100946372,0.12669683257918554,0.018264840182648404,0.06334841628959277,0.5708418891170431,0.27628865979381445,0.4024640657084189
