Disease,Cause
diabetes,"The main causes of diabetes are multifaceted and vary depending on the type of diabetes. Here are the primary causes:

1. **Type 1 Diabetes:** 
   - Genes: May play a role in triggering the disease
   - Environmental factors: May trigger an immune system attack against the insulin-producing beta cells in the pancreas
   - Virus: May set off an immune system attack

2. **Type 2 Diabetes:** 
   - Combination of genetics and lifestyle factors
   - Lifestyle factors:
     - Not being physically active
     - Being overweight or having obesity
     - Carrying extra weight, especially in the belly, which makes cells more resistant to insulin
   - Genetics: Family members sharing genes that increase the likelihood of developing type 2 diabetes and being overweight

3. **Type 1.5 Diabetes (also known as Latent Autoimmune Diabetes in Adults - LADA):** 
   - May be genetic
   - Autoimmune condition: The pancreas is attacked by a person's own antibodies

4. **Gestational Diabetes:** 
   - Hormonal changes during pregnancy
   - Lifestyle factors during pregnancy:
     - Being overweight at the start of pregnancy
     - Gaining too much weight during pregnancy

It's essential to note that researchers are still working to understand the exact causes of diabetes and how environmental and genetic factors interact to contribute to the development of this condition."
pneumonia,"According to the provided sources, the main causes of pneumonia are:

1. **Bacteria:**
   - Streptococcus pneumoniae
   - Mycoplasma pneumoniae
   - Legionella pneumophila (Legionnaires' disease)
   - Chlamydia pneumoniae
   - Haemophilus influenzae type b (Hib)

2. **Viruses:**
   - Influenza (flu)
   - Respiratory syncytial virus (RSV)
   - Rhinoviruses (common cold)
   - Human parainfluenza virus (HPIV) infection
   - Human metapneumovirus (HMPV) infection
   - Measles
   - Chickenpox (varicella-zoster virus)
   - Adenovirus infection
   - Coronavirus infection
   - SARS-CoV-2 infection (the virus that causes COVID-19)

3. **Fungi:**
   - Pneumocystis jirovecii
   - Cryptococcus species
   - Histoplasmosis species
   - Coccidioides species

Note that additional causes of pneumonia mentioned in the sources include:

- **Aspiration**: caused by inhaling food, drink, vomit, or saliva into the lungs.
- **Fungi from soil or bird droppings**: often causing pneumonia in people with weakened immune systems."
asthma,"Based on the provided information from trusted sources (MayoClinic, MedlinePlus, and Healthline), the main causes of asthma are not clear-cut and are thought to be a combination of environmental and inherited factors. Some potential contributing factors mentioned include:

1. **Genetics**: If a parent or sibling has asthma, the individual is more likely to develop it.
2. **History of viral infections**: Severe viral infections during childhood, such as RSV infection, may contribute to the development of asthma.
3. **Hygiene hypothesis**: A lack of exposure to beneficial bacteria in early childhood may weaken the immune system and increase the risk of developing asthma and other allergic conditions.

While these specific causes are not definitively proven, they are commonly discussed among researchers and health experts.

It's essential to note that asthma is a complex condition, and multiple factors can influence its development and triggering. Each person may have unique triggers and risk factors, and environmental and genetic factors can interact in complex ways to contribute to the development of asthma."
gout,"According to the trusted sources, the main causes of gout are:

1. **High levels of uric acid in the blood**: Uric acid can build up in the blood when the body produces too much of it or when the kidneys do not excrete enough of it.
2. **Purine metabolic disorders or conditions**: Certain conditions or disorders can make the body produce too much uric acid. These include:
	* Blood and metabolism disorders
	* Dehydration
	* Kidney problems
	* Thyroid problems
	* Inherited disorders
	* Certain medications (e.g., diuretics and cyclosporine)
3. **Dietary factors**: Consuming foods that are high in purines, such as:
	* Red meat and organ meats (e.g., liver)
	* Certain seafood (e.g., anchovies, sardines, mussels, scallops, trout, tuna)
	* Alcoholic beverages (especially beer)
	* Drinks sweetened with fruit sugar (fructose)
4. **Genetic predisposition**: Having a family history of gout, particularly if a parent, sibling, or other family member has the condition.
5. **Age and sex**: Being a middle-aged man or postmenopausal woman increases the likelihood of developing gout.
6. **Other health conditions**: Certain health conditions, such as:
	* High blood pressure
	* Kidney disease
	* Thyroid disease"
malaria,"The main causes of malaria are:

1. **Mosquito bites**: Specifically, the bite of an infected Anopheles mosquito that transmits the Plasmodium parasite to a human. This is the most common mode of transmission.

2. **Transmission of parasite from infected individual**: An infected mosquito bites an individual, and the parasites then travel to the individual's liver and bloodstream, infecting red blood cells.

3. **Exposure to infected blood**: In addition to mosquito bites, malaria can be transmitted through:
   - Direct contact with infected blood, such as from:
     - Congenital transmission: from mother to unborn child
     - Blood transfusions
     - Organ transplants
     - Use of shared needles or syringes

These routes of transmission highlight the importance of mosquito prevention and control, as well as proper handling and safety of blood products."
migraine,"According to the provided information, the main causes and contributing factors of migraine are:

1. **Genetics**: It is believed that genetics play a significant role in the development of migraines, although the exact mechanism is not fully understood.
2. **Hormonal changes**: Fluctuations in estrogen levels, such as during menstruation, pregnancy, and menopause, can trigger migraines in many women.
3. **Brain chemistry imbalances**: Imbalances in brain chemicals, including serotonin, CGRP, and other neurotransmitters, may contribute to the development of migraines.
4. **Environmental factors**: Changes in the brainstem, its interactions with the trigeminal nerve, and external factors such as stress, sensory stimuli, weather changes, and physical strain may also play a role.

While there is no definitive cause of migraine, a combination of genetics, hormones, and irregular brain activity is believed to contribute to the development of migraines."
appendicitis,"Based on the provided information from trusted sources (Mayo Clinic, MedlinePlus, and Healthline), the main causes of appendicitis are:

1. Blockage in the lining of the appendix: Specifically, the blockage is more likely to be caused by hardened stool, but can also be blockage by other factors such as:
2. Buildup of hardened stool
3. Enlarged lymphoid follicles
4. Intestinal worms (or parasites)
5. Tumors
6. Traumatic injury

In rare cases, the appendix can also be blocked by a foreign object. However, the exact cause of appendicitis in many cases is unknown."
diarrhea,"According to the provided information from MayoClinic, MedlinePlus, and Healthline, the main causes of diarrhea can be categorized into the following groups:

1. **Infections**: 
   - Viruses (such as rotavirus, norovirus, cytomegalovirus, astrovirus, enteric adenoviruses, and COVID-19)
   - Bacteria (such as E. coli, Salmonella, and Clostridioides difficile)
   - Parasites (found in contaminated food or water)

2. **Medications**: 
   - Antibiotics (can disrupt the balance of good bacteria in the intestines)
   - Anticancer drugs
   - Antacids with magnesium
   - Other medicines (may cause diarrhea as a side effect)

3. **Food-related issues**: 
   - Lactose intolerance (difficulty digesting lactose found in milk and dairy products)
   - Fructose intolerance (difficulty digesting fructose found in fruits and honey)
   - Artificial sweeteners (such as sorbitol, erythritol, and mannitol)
   - Food intolerances or sensitivities (problems digesting certain ingredients or foods)

4. **Digestive disorders**: 
   - Irritable bowel syndrome (IBS)
   - Crohn's disease
   - Ulcerative colitis
   - Celiac disease
   - Microscopic colitis
   - Small intestinal bacterial overgrowth (SIBO)"
endometriosis,"Based on the provided information from Mayo Clinic, MedlinePlus, and Healthline, the main possible causes of endometriosis include:

1. **Retrograde menstruation**: When menstrual blood flows back through the fallopian tubes and into the pelvic cavity instead of out of the body, carrying endometrial cells with it. These cells may stick to the pelvic walls and surfaces of pelvic organs, leading to growth and thickening.

2. **Transformed peritoneal cells**: Hormones or immune factors may transform cells that line the inner side of the abdomen (peritoneal cells) into cells similar to those that line the inside of the uterus (endometrial cells).

3. **Embryonic cell changes**: Hormones such as estrogen may transform embryonic cells into endometrial-like cell growths during puberty.

4. **Surgical scar complication**: Endometrial cells may attach to scar tissue from a cut made during surgery, such as a C-section.

5. **Endometrial cell transport**: The blood vessels or tissue fluid system may move endometrial cells to other parts of the body.

6. **Immune system condition**: A problem with the immune system may make the body unable to recognize and destroy endometriosis tissue.

Additionally, some other variables that can contribute to the development of endometriosis include:

- Starting periods at a young age
- Never having children
- Frequent periods (lasting 7 or more days)"
epilepsy,"According to the provided trusted sources, the main causes of epilepsy can be categorized as follows:

1. **Unknown cause**: In about half of the cases, the cause of epilepsy cannot be determined.
2. **Genetic factors**: Genetic influence is a contributing factor in some cases, with certain types of epilepsy running in families. Some people may have genetic epilepsy that is not hereditary due to spontaneous genetic mutations.
3. **Head trauma**: Severe head injuries, such as those sustained in car accidents or other traumatic events, can lead to epilepsy.
4. **Brain-related factors**: 
   - **Brain tumors**: Tumors can cause epilepsy.
   - **Blood vessel formation abnormalities**: Abnormalities in blood vessel formation, such as arteriovenous or cavernous malformations, can cause epilepsy.
   - **Stroke**: In adults over 35, strokes are a leading cause of epilepsy.
5. **Infections**: Conditions such as meningitis, HIV, viral encephalitis, and certain parasitic infections can result in epilepsy.
6. **Prenatal injury**: The developing brain of a fetus is particularly vulnerable to damage from maternal infections, poor nutrition, or oxygen deprivation, potentially leading to epilepsy or cerebral palsy.
7. **Developmental conditions**: Epilepsy often occurs alongside developmental disorders, such as:
   - **Autism**: Individuals with autism are at a higher risk of epilepsy.
   - **Attention-deficit/hyperactivity disorder (AD"
