Disease,Cause
diabetes,"Based on the information provided by trusted sources (MayoClinic, MedlinePlus, and Healthline), the main causes of diabetes include:

1. **Genetic factors**: Genes may play a role in several types of diabetes, including type 1, type 2, and type 1.5. Family members can share genes that increase the risk of developing diabetes.
2. **Environmental factors**: Researchers think that certain environmental factors can trigger the development of diabetes. For type 1 diabetes, it may be a combination of genetic and environmental factors.
3. **Lifestyle factors**: Having a lifestyle that contributes to excess weight, obesity, and physical inactivity (e.g., type 2 diabetes) increases your risk of developing diabetes.
4. **Imbalanced hormones**: Hormonal changes during pregnancy (gestational diabetes) can cause a decrease in insulin sensitivity and lead to high blood sugar levels.
5. **Autoimmune conditions**: In autoimmune conditions like type 1 and type 1.5, the immune system mistakenly attacks and destroys insulin-producing cells in the pancreas.

It's worth noting that the exact cause of most types of diabetes is still unknown, and the current understanding of diabetes etiology is likely to evolve as new research emerges."
pneumonia,"Based on the information provided, the main causes of pneumonia can be classified into three main categories:

1. Bacterial pneumonia, which includes:
   - Streptococcus pneumoniae
   - Mycoplasma pneumoniae
   - Haemophilus influenzae type b (Hib)
   - Legionella pneumophila
   - Chlamydia pneumoniae
   - Other types of bacteria can also cause pneumonia

2. Viral pneumonia, which includes:
   - Respiratory viruses such as RSV, flu, and other common cold and flu viruses
   - Infections caused by human viruses, such as adenovirus, human metapneumovirus, and SARS-CoV-2 infection

3. Fungal pneumonia, which includes:
   - Fungi from soil or bird droppings that can cause pneumonia, such as Pneumocystis jirovecii, Cryptococcus species, Histoplasmosis species, and Coccidioides species.

Note that aspiration pneumonia, which occurs when food, drink, vomit, or saliva is inhaled into the lungs, can also cause pneumonia, but the above categories include the main pathogens that cause pneumonia."
asthma,"According to the provided information, the main causes of asthma are:

1. Genetics: Having a parent or sibling with asthma increases the likelihood of developing asthma.
2. Environmental factors: Exposure to various substances and conditions, such as mold, dust mites, pet dander, pollen, and air pollutants.
3. Inherited (genetic) factors: The exact cause of asthma is unknown, but researchers believe it may be related to a combination of environmental and genetic factors.

Additionally, certain health conditions, allergic reactions, physical activity, stress, and extreme weather conditions can trigger asthma symptoms and worsen asthma.

Note that MedlinePlus and Mayo Clinic mention that asthma triggers can be different for each person and can change over time, while Healthline suggests that viral infections, especially in childhood, may contribute to the development of asthma, but the exact cause is still unknown."
gout,"Based on the provided information, the main causes of gout include:

1. High levels of uric acid in the blood, which can be caused by:
   - An overproduction of uric acid by the body
   - Inadequate removal of uric acid by the kidneys
   - Genetic disorders that affect uric acid production or removal

2. Factors that contribute to high uric acid levels in the blood:
   - Certain conditions (e.g., blood and metabolism disorders, dehydration)
   - Medications (e.g., diuretics, cyclosporine)
   - Kidney or thyroid problems
   - Inherited disorders that affect uric acid production or removal

3. Dietary factors that can contribute to gout:
   - Consuming foods high in purines (e.g., red meat, organ meats, certain seafood, alcoholic beverages)
   - Drinking sweetened beverages (e.g., beer, fruit sugar-sweetened drinks)

The development of gout is often caused by a combination of these factors, rather than a single cause."
malaria,"According to the information provided from trusted sources (Mayo Clinic, MedlinePlus, and Healthline), the main causes of malaria are:

1. Mosquito bites: Malaria is primarily transmitted through the bite of an infected Anopheles mosquito.
2. Infected mosquito bites: When an uninfected mosquito bites an infected person, it can pick up the parasite and become infected.
3. Contact with infected blood: People can also catch malaria from exposure to contaminated blood, including:
   a. Mother to unborn child (congenitally)
   b. Through blood transfusions
   c. By sharing needles used to inject drugs.

These transmission methods allow the parasites to enter the body, where they can cause the disease."
migraine,"According to the information, the main causes of migraine include:

1. Genetics: There appears to be a genetic component to migraine, but the exact relationship is not fully understood.
2. Hormonal changes: Fluctuations in estrogen, such as during menstrual periods, pregnancy, and menopause, can trigger headaches in many women.
3. Imbalances in brain chemicals: Imbalances in neurotransmitters like serotonin, calcitonin gene-related peptide (CGRP), and others may contribute to migraine.
4. Environmental factors: Various environmental factors such as stress, weather changes, loud noises, strong smells, and physical strain can trigger migraines.
5. Triggers: Certain triggers can be present in a person's environment, diet, or life, such as;
   - Stress and anxiety
   - Hormonal changes
   - Bright lights
   - Loud noises
   - Strong smells
   - Certain foods
   - Certain medications
   - Changes in sleep patterns
   - Travel
   - Smoking and alcohol use"
appendicitis,"According to the trusted sources (MayoClinic, MedlinePlus, and Healthline), the main causes of appendicitis are:

1. A blockage in the appendix's lining (lumen) due to:
   - A buildup of hardened stool
   - Enlarged lymphoid follicles
   - Intestinal worms
   - Traumatic injury
   - Tumors (or parasites in rare cases)

Note that the exact cause of appendicitis is unknown in many cases, and they believe it develops when part of the appendix becomes obstructed or blocked."
diarrhea,"The main causes of diarrhea, as mentioned in the provided trusted information from reputable sources (MayoClinic, MedlinePlus, and Healthline), can be summarized into the following categories:

1. **Infections**: 
   - Viral infections (rotavirus, norovirus, viral gastroenteritis)
   - Bacterial infections (Salmonella, E. coli, C. difficile)
   - Parasitic infections

2. **Medications**: 
   - Antibiotics (cause diarrhea by killing good bacteria)
   - Anticancer drugs
   - Antacids with magnesium

3. **Food and Water**:
   - Bacteria from contaminated food or water
   - Viruses from contaminated food or water (e.g., rotavirus)
   - Parasites from contaminated food or water

4. **Dietary Issues**:
   - Lactose intolerance (difficulty digesting lactose in milk and dairy products)
   - Fructose malabsorption (trouble digesting fructose, a sugar found in fruits and some beverages)
   - Artificial sweeteners (sorbitol, erythritol, and mannitol can cause diarrhea)

5. **Surgery and Other Conditions**:
   - Partial intestine or gallbladder removal surgeries
   - Chronic diseases such as:
     - Irritable bowel syndrome (IBS)
     - Crohn's disease
     - Ulcerative colitis
     - Celiac disease
     - Micro"
endometriosis,"Based on the provided information from MayoClinic and MedlinePlus, the main causes of endometriosis are not definitively known, but the following are some possible contributing factors:

1. **Retrograde menstruation**: When menstrual blood flows back through the fallopian tubes and into the pelvic cavity instead of out of the body, it may carry endometrial cells that attach and grow, leading to endometriosis.

2. **Transformed peritoneal cells**: Hormones or immune factors might transform cells that line the inner side of the abdomen into cells that are similar to those that line the inside of the uterus.

3. **Embryonic cell changes**: Hormones such as estrogen may transform embryonic cells into endometrial-like cell growths during puberty.

4. **Surgical scar complication**: Endometrial cells may attach to scar tissue from a cut made during surgery, such as a C-section.

5. **Endometrial cell transport**: The blood vessels or tissue fluid system may move endometrial cells to other parts of the body.

6. **Immune system condition**: A problem with the immune system may make the body unable to recognize and destroy endometriosis tissue.

Other factors that may contribute to the development of endometriosis include:

7. **Genetics**: Some research suggests that endometriosis may run in families.

8. **Environmental toxins**: There is some evidence to suggest a link between endometriosis"
epilepsy,"The main causes of epilepsy can be classified into two main categories: undetermined causes and identifiable causes. Undetermined causes account for about half of the cases and include:

1. Genetic factors (e.g., genetic changes, inherited disorders)
2. Environmental factors (e.g., prenatal injury, brain malformation, or lack of oxygen at birth)

Identifiable causes account for the other half and include:

1. Head trauma (e.g., car accidents, falls)
2. Brain-related factors (e.g., brain tumors, blood vessel abnormalities, strokes)
3. Infections (e.g., meningitis, viral encephalitis, certain parasitic infections)
4. Developmental conditions (e.g., autism, ADHD)
5. Seizure triggers (e.g., alcohol, flashing lights, sleep deprivation, stress)

It's worth noting that genetic factors are often only part of the cause, and environmental factors can trigger seizures in genetically predisposed individuals."
