Disease,BERTScore_Healthline,BERTScore_MedlinePlus,BERTScore_MayoClinic,ROUGE1_Healthline,ROUGE2_Healthline,ROUGEL_Healthline,ROUGE1_MedlinePlus,ROUGE2_MedlinePlus,ROUGEL_MedlinePlus,ROUGE1_MayoClinic,ROUGE2_MayoClinic,ROUGEL_MayoClinic
diabetes,0.662063849,0.667050244,0.683534054,0.204627698,0.090000487,0.228868107,0.177899704,0.11818414,0.23090238,0.305155923,0.11869665,0.222262979
pneumonia,0.690872559,0.648957453,0.678774463,0.262245117,0.053814905,0.219348926,0.15310435,0.09145248,0.232249379,0.335585123,0.103516377,0.229103967
asthma,0.67993654,0.688193961,0.658668369,0.240373081,0.132287922,0.179136737,0.210372088,0.062045313,0.22834296,0.279551822,0.080567974,0.176959331
gout,0.673269767,0.678471371,0.662791984,0.227039535,0.112842742,0.187383967,0.199683557,0.063063292,0.173872391,0.280236616,0.042934007,0.166499829
malaria,0.651137775,0.686689677,0.658968872,0.182775551,0.129279354,0.179737743,0.15456353,0.100737902,0.138402183,0.358761853,0.082312179,0.223817349
migraine,0.651136569,0.684456097,0.689217933,0.182773139,0.124812195,0.240235866,0.177280301,0.11785336,0.229688377,0.312520862,0.080497768,0.229439348
appendicitis,0.646241024,0.669609729,0.673115211,0.172982048,0.095119457,0.208030423,0.240242243,0.116850977,0.179674936,0.289207849,0.050470778,0.247806388
diarrhea,0.686645651,0.685808441,0.682825947,0.253791301,0.127516883,0.227451894,0.173371844,0.106129889,0.233522003,0.328726123,0.076535756,0.190017642
endometriosis,0.673392594,0.644139355,0.702775736,0.227285188,0.04417871,0.267351472,0.163905142,0.092345499,0.233218519,0.353501153,0.073001065,0.185957683
epilepsy,0.678740472,0.649513873,0.669862024,0.237980944,0.054927746,0.201524047,0.198360931,0.036556331,0.222157467,0.2980839,0.094735601,0.22639717
fever,0.644366068,0.641976094,0.677916558,0.169232136,0.039852188,0.217633117,0.2479807,0.044305206,0.16630141,0.338790845,0.096659956,0.182836228
fibromyalgia,0.691832336,0.655981246,0.695174969,0.264164672,0.067862493,0.252149938,0.173621182,0.117997753,0.175366294,0.285036544,0.037680992,0.241831607
gallstones,0.684958975,0.659148594,0.668837321,0.250417951,0.074197188,0.199474641,0.21662921,0.08878524,0.221970188,0.281669969,0.070611853,0.234597149
GERD,0.653953799,0.653282181,0.661246408,0.188407598,0.062464363,0.184292815,0.225577616,0.029062039,0.168548722,0.329637261,0.095736583,0.191655277
heart attack,0.652428092,0.681151605,0.671884985,0.185356183,0.11820321,0.20556997,0.173179409,0.038289489,0.153805796,0.33056531,0.083464217,0.223842981
hemorrhoids,0.652507069,0.657552396,0.665458477,0.185514137,0.071004792,0.192716953,0.22223729,0.094492511,0.192536647,0.340244788,0.118799575,0.224210162
hepatitis A,0.658548955,0.653761455,0.703882295,0.197597911,0.06342291,0.26956459,0.186193968,0.028648493,0.230471999,0.349110931,0.099019954,0.159068261
hepatitis B,0.669574665,0.666849534,0.697803431,0.21964933,0.089599068,0.257406862,0.212646238,0.044223139,0.206459501,0.374087005,0.049444034,0.239011165
hepatitis C,0.664934094,0.646760941,0.6890676,0.210368188,0.049421882,0.2399352,0.212768626,0.083015713,0.193862638,0.328131832,0.040207466,0.199281111
hernia,0.6578983,0.679824579,0.700970442,0.196296601,0.115549158,0.263740883,0.202993123,0.097331854,0.146574171,0.308797445,0.097392519,0.231401621
HIV,0.673929488,0.643442262,0.697581016,0.228358976,0.042784524,0.256962032,0.158444632,0.09333846,0.198357244,0.356020417,0.035801722,0.180760834
hives,0.650311536,0.689059077,0.666725915,0.181123073,0.134018153,0.19525183,0.232945904,0.050569265,0.235861906,0.303585022,0.091728149,0.238308197
kidney stones,0.657944076,0.678326968,0.702025362,0.196388151,0.112553936,0.265850724,0.181493661,0.099360256,0.150864923,0.320398939,0.127173615,0.187676042
obesity,0.661654935,0.649650514,0.684364524,0.203809871,0.055201028,0.230529049,0.168067506,0.051867243,0.188689486,0.284347435,0.090698009,0.149839639
osteoarthritis,0.666140342,0.639990836,0.69776942,0.212780685,0.035881671,0.25733884,0.153493169,0.060682304,0.224593828,0.279036872,0.071967584,0.239294072
osteoporosis,0.682595641,0.680487801,0.702201977,0.245691283,0.116875602,0.266203954,0.208504949,0.102791475,0.210933383,0.372766639,0.097479413,0.157884542
Parkinson's disease,0.653320532,0.675057597,0.673297586,0.187141065,0.106015194,0.208395172,0.217172091,0.093105624,0.206558095,0.360099809,0.07897588,0.180687238
psoriatic arthritis,0.669048565,0.676165088,0.662900008,0.21859713,0.108230176,0.187600017,0.151074438,0.113064675,0.20710493,0.346099218,0.08771227,0.243762071
cirrhosis,0.672957572,0.678278247,0.66879417,0.226415143,0.112456494,0.199388341,0.200624961,0.093903623,0.172805636,0.317397092,0.127297072,0.243816589
delirium,0.645659364,0.643416962,0.678752802,0.171818728,0.042733925,0.219305603,0.172065232,0.084973195,0.166215706,0.293831229,0.071760855,0.206099663
epilepsy,0.673714086,0.657638016,0.698298151,0.227928172,0.071176032,0.258396301,0.213932934,0.037509811,0.217792637,0.292145502,0.129269648,0.211939595
heart failure,0.651863049,0.645508183,0.700433941,0.184226099,0.046916365,0.262667883,0.166852298,0.064913915,0.217867861,0.301526087,0.123685655,0.193600426
peptic ulcer,0.646589423,0.682869901,0.657745019,0.173678846,0.121639802,0.177290038,0.218509429,0.054662571,0.223563753,0.331424464,0.052729705,0.178076951
urinary tract infection (UTI),0.69078112,0.670879636,0.682934777,0.26206224,0.097659272,0.227669555,0.188089189,0.052541299,0.228180576,0.34796139,0.040086721,0.181622329
melanoma,0.691618445,0.656259631,0.678267962,0.26373689,0.068419262,0.218335925,0.243088654,0.12544339,0.187990761,0.342521535,0.043228391,0.21600772
gastritis,0.683756711,0.642892647,0.668502803,0.248013421,0.041685295,0.198805606,0.163167749,0.067452107,0.187008151,0.304495187,0.034972774,0.223993327
glaucoma,0.658567532,0.655263846,0.663390681,0.197635063,0.066427692,0.188581361,0.18352229,0.11734699,0.216686039,0.371988325,0.042594887,0.227913779
tachycardia,0.648220449,0.655973896,0.674278171,0.176940898,0.067847792,0.210356342,0.160763007,0.091256197,0.201852914,0.350291489,0.101451269,0.227717688
anemia,0.677548495,0.676195039,0.704542897,0.235596989,0.108290077,0.270885795,0.241885017,0.107623465,0.207053209,0.331937203,0.040269456,0.157876484
pancreatitis,0.665344468,0.671592603,0.673557559,0.211188936,0.099085207,0.208915118,0.23714959,0.078406044,0.216435788,0.337673872,0.065048154,0.198197905
tuberculosis,0.649438755,0.684075367,0.683336943,0.17937751,0.124050734,0.228473887,0.175209818,0.085832723,0.225857055,0.318461804,0.117638122,0.15451175
chickenpox,0.668095689,0.663325476,0.69254836,0.216691378,0.082550952,0.24689672,0.215414059,0.077394104,0.170656037,0.301274896,0.035477785,0.203708762
mumps,0.645056269,0.645694442,0.675578892,0.170612539,0.047288884,0.212957785,0.231137875,0.047666633,0.174414816,0.312099065,0.114597439,0.192908924
tetanus,0.688802863,0.675376969,0.705986516,0.258105727,0.106653938,0.273773033,0.204935736,0.100387546,0.146254715,0.352286408,0.061336069,0.237526292
polio,0.656275842,0.677753982,0.705519777,0.193051685,0.111407964,0.272839554,0.202380713,0.05621957,0.194684535,0.277941146,0.044967074,0.183847375
lupus,0.676462957,0.66777859,0.669986527,0.233425915,0.091457179,0.201773054,0.173600884,0.030573931,0.140450749,0.288109061,0.102824308,0.160462576
hemophilia,0.658922397,0.678263089,0.682259838,0.198344794,0.112426177,0.226319675,0.158725932,0.092689564,0.183416323,0.281102062,0.096044876,0.163055042
Chronic Fatigue Syndrome (CFS),0.669340244,0.66440451,0.672441328,0.219180489,0.084709019,0.206682655,0.239137231,0.045853402,0.191120985,0.280574678,0.120897793,0.224906937
,,,,,,,,,,,,
